rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,3,2,0,2,1,1,1,0,0,0,0,0,3,5,0,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,35,29,19,11,5,21,49,28,20,4,16,32,67,37,0,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,5.2,3,2,0,2,1,0,1,1,0,0,0,2,5,0,0,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,18.8,27,13,17,10,0,14,23,9,15,7,8,25,52,72,0,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,5.1,11,8,9,2,0,6,11,5,11,5,6,6,17,21,0,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,10.6,29,21,8,18,3,9,35,26,10,0,10,17,46,5,0,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,3.4,17,13,4,12,1,7,14,7,3,1,2,9,26,3,0,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,19.0,19,8,4,13,2,11,21,10,21,4,17,23,42,21,0,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,15.8,26,17,14,8,4,8,34,26,19,1,18,13,39,22,0,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,5.3,2,1,0,2,0,0,1,1,3,0,3,0,2,5,0,Matches
11,Jonathan Agudelo,co COL,FW,Gimnasia–LP,26,1992,2.2,2,2,1,1,0,0,1,1,1,0,1,0,2,1,0,Matches
12,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,0,0,0,0,0,0,2,2,2,0,2,1,1,3,2,Matches
13,Jonás Aguirre,ar ARG,FW,Rosario Central,27,1992,0.1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Matches
14,Nicolás Aguirre,ar ARG,MF,Atlé Tucumán,29,1990,1.7,4,4,0,3,1,1,3,2,2,0,2,2,6,1,0,Matches
15,Jorge Agustín Rodríguez,ar ARG,MF,Banfield,23,1995,21.7,56,36,28,26,2,26,53,27,26,7,19,33,89,39,2,Matches
16,Gabriel Alanís,ar ARG,"DF,MF",Godoy Cruz,25,1994,11.6,31,22,21,7,3,13,27,14,9,2,7,7,38,34,0,Matches
17,Lucas Albertengo,ar ARG,FW,Newell's OB,28,1991,15.8,15,8,4,6,5,5,16,11,26,3,23,5,20,23,1,Matches
18,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,18,2000,0.5,0,0,0,0,0,0,1,1,2,2,0,0,0,2,0,Matches
19,Carlos Alcaraz,ar ARG,MF,Racing Club,16,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Brahian Alemán,uy URU,"MF,FW",Gimnasia–LP,29,1989,6.6,8,4,2,6,0,3,6,3,5,0,5,6,14,6,0,Matches
21,Agustín Aleo,ar ARG,DF,Godoy Cruz,21,1998,10.0,24,16,12,8,4,11,23,12,10,4,6,14,38,36,0,Matches
22,Rodrigo Aliendro,ar ARG,MF,Colón,28,1991,7.2,17,11,7,7,3,7,26,19,20,5,15,9,26,13,0,Matches
