rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,25,2,1,2,0,22.0,0.25,-3.0,-0.13,155,359,43.2,596,45,42.3,36.8,180,59.4,45.1,324,10,3.1,15,0.65,13.9,Matches
2,Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20.0,7,0,1,0,0,13.5,0.21,+6.5,+0.33,125,322,38.8,484,66,40.1,34.2,175,73.1,49.8,265,18,6.8,20,1.00,16.2,Matches
3,Mariano Andújar,ar ARG,GK,Estudiantes–LP,36,1983,23.0,22,3,1,1,1,19.9,0.22,-1.1,-0.05,85,227,37.4,448,116,33.3,32.9,199,39.2,35.9,296,12,4.1,22,0.96,15.1,Matches
4,Iván Arboleda,co COL,GK,Banfield,23,1996,13.0,14,2,1,0,0,14.4,0.23,+0.4,+0.03,83,225,36.9,215,58,57.2,43.9,140,72.9,52.2,228,12,5.3,5,0.38,11.6,Matches
5,Gabriel Arias,cl CHI,GK,Racing Club,31,1987,21.4,22,1,1,1,1,19.6,0.29,-1.4,-0.07,99,322,30.7,473,81,43.3,37.8,193,60.6,47.4,270,20,7.4,16,0.75,12.5,Matches
6,Franco Armani,ar ARG,GK,River Plate,32,1986,21.0,15,1,0,2,1,14.0,0.22,0.0,0.00,97,244,39.8,414,133,37.2,34.0,158,57.0,46.4,237,9,3.8,10,0.48,12.8,Matches
7,Fabián Assmann,ar ARG,GK,Aldosivi,33,1986,1.0,0,0,0,0,0,0.3,0.15,+0.3,+0.29,12,27,44.4,20,2,65.0,42.2,15,93.3,62.1,15,0,0.0,1,1.00,18.3,Matches
8,Juan Bolado,ar ARG,GK,Godoy Cruz,22,1997,3.4,6,1,0,1,1,4.6,0.16,-0.4,-0.12,19,78,24.4,73,9,61.6,44.4,38,86.8,59.8,64,2,3.1,4,1.18,13.8,Matches
9,Enrique Bologna,ar ARG,GK,River Plate,37,1982,2.0,3,0,0,1,0,3.4,0.29,+0.4,+0.18,8,33,24.2,43,12,51.2,40.8,23,47.8,43.3,42,1,2.4,0,0.00,14.2,Matches
10,Jorge Broun,ar ARG,GK,Gimnasia–LP,33,1986,7.0,4,0,0,0,0,5.5,0.24,+1.5,+0.21,48,96,50.0,121,25,52.1,40.3,52,63.5,47.6,106,4,3.8,2,0.29,12.8,Matches
11,Leonardo Burián,uy URU,GK,Colón,35,1984,22.0,37,4,1,3,2,28.4,0.25,-6.6,-0.30,141,405,34.8,392,73,54.3,39.8,228,84.2,54.8,368,18,4.9,9,0.41,11.8,Matches
