rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23,23,2070,23.0,25,1.09,77,51,70.1,9,8,6,8,34.8,3,2,1,0,33.3,Matches
2,Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20,20,1800,20.0,7,0.35,66,59,89.4,12,5,3,14,70.0,0,0,0,0,,Matches
3,Mariano Andújar,ar ARG,GK,Estudiantes–LP,36,1983,23,23,2070,23.0,22,0.96,72,50,73.6,8,6,9,9,39.1,4,3,1,0,25.0,Matches
4,Iván Arboleda,co COL,GK,Banfield,23,1996,13,13,1170,13.0,14,1.08,54,40,77.8,4,6,3,5,38.5,3,2,0,1,0.0,Matches
5,Gabriel Arias,cl CHI,GK,Racing Club,31,1987,22,22,1929,21.4,22,1.03,69,48,69.6,9,11,2,7,31.8,1,1,0,0,0.0,Matches
6,Franco Armani,ar ARG,GK,River Plate,32,1986,21,21,1890,21.0,15,0.71,61,47,77.0,13,4,4,8,38.1,1,1,0,0,0.0,Matches
7,Fabián Assmann,ar ARG,GK,Aldosivi,33,1986,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
8,Juan Bolado,ar ARG,GK,Godoy Cruz,22,1997,4,4,305,3.4,6,1.77,22,17,77.3,1,0,3,1,25.0,1,1,0,0,0.0,Matches
9,Enrique Bologna,ar ARG,GK,River Plate,37,1982,2,2,180,2.0,3,1.50,12,9,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
10,Jorge Broun,ar ARG,GK,Gimnasia–LP,33,1986,7,7,630,7.0,4,0.57,23,19,82.6,2,3,2,3,42.9,0,0,0,0,,Matches
11,Leonardo Burián,uy URU,GK,Colón,35,1984,22,22,1980,22.0,37,1.68,101,66,67.3,5,3,14,2,9.1,4,4,0,0,0.0,Matches
12,Martín Campaña,uy URU,GK,Independiente,30,1989,23,23,2070,23.0,25,1.09,75,50,68.0,8,5,10,7,30.4,1,1,0,0,0.0,Matches
13,Mauricio Caranta,ar ARG,GK,Talleres,41,1978,2,2,180,2.0,5,2.50,8,3,50.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches
14,Maximiliano Cavallotti,ar ARG,GK,Cen. Córdoba–SdE,34,1984,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,Matches
15,Lucas Chávez,ar ARG,GK,Arg Juniors,23,1995,23,23,2070,23.0,17,0.74,73,56,78.1,10,9,4,10,43.5,1,1,0,0,0.0,Matches
16,Ignacio Chicco,ar ARG,GK,Colón,23,1996,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
17,Esteban Conde,uy URU,GK,Banfield,36,1983,10,10,900,10.0,9,0.90,26,18,69.2,2,2,6,4,40.0,1,1,0,0,0.0,Matches
18,Alexander Domínguez,ec ECU,GK,Vélez Sarsfield,32,1987,4,4,360,4.0,0,0.00,10,10,100.0,1,3,0,4,100.0,0,0,0,0,,Matches
19,Maximiliano Gagliardo,ar ARG,GK,Arsenal,36,1983,12,12,1080,12.0,18,1.50,57,40,68.4,5,2,5,4,33.3,0,0,0,0,,Matches
20,Marcos Guillermo Díaz,ar ARG,GK,Boca Juniors,33,1986,3,3,270,3.0,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,,Matches
21,Javier Hernán García,ar ARG,GK,Racing Club,32,1987,2,1,138,1.5,1,0.65,7,6,85.7,0,1,0,1,100.0,0,0,0,0,,Matches
22,Guido Herrera,ar ARG,GK,Talleres,27,1992,21,21,1887,21.0,25,1.19,76,50,68.4,9,4,8,7,33.3,3,1,2,0,66.7,Matches
23,Lucas Hoyos,ar ARG,GK,Vélez Sarsfield,30,1989,19,19,1710,19.0,14,0.74,55,40,78.2,10,3,6,8,42.1,4,2,2,0,50.0,Matches
24,Matías Ibáñez,ar ARG,GK,Patronato,32,1986,23,23,2070,23.0,34,1.48,115,82,73.0,5,8,10,3,13.0,4,3,0,1,0.0,Matches
25,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,24,1995,2,2,118,1.3,1,0.76,1,0,0.0,1,1,0,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Jeremías Ledesma,ar ARG,GK,Rosario Central,26,1993,23,23,2070,23.0,29,1.26,100,72,71.0,9,9,5,5,21.7,1,0,0,1,,Matches
27,Cristian Lucchetti,ar ARG,GK,Atlé Tucumán,41,1978,14,14,1215,13.5,17,1.26,48,32,70.8,3,6,5,2,14.3,3,3,0,0,0.0,Matches
28,Alexis Martin Arias,ar ARG,GK,Gimnasia–LP,27,1992,15,14,1319,14.7,18,1.23,50,32,68.0,3,1,10,2,14.3,3,2,0,1,0.0,Matches
29,Diego Matías Rodríguez,ar ARG,GK,Cen. Córdoba–SdE,30,1989,22,22,1980,22.0,27,1.23,89,62,69.7,6,8,8,7,31.8,2,0,2,0,100.0,Matches
30,Andrés Mehring,ar ARG,GK,Godoy Cruz,25,1994,7,6,595,6.6,18,2.72,43,25,60.5,0,0,6,0,0.0,2,1,1,0,50.0,Matches
31,Alejandro Miguel Sánchez,ar ARG,GK,Atlé Tucumán,32,1986,10,9,855,9.5,8,0.84,33,26,78.8,4,2,3,4,44.4,1,1,0,0,0.0,Matches
32,Sebastián Moyano,ar ARG,GK,Unión,28,1990,20,20,1800,20.0,25,1.25,76,51,69.7,6,5,9,7,35.0,2,2,0,0,0.0,Matches
33,Nicolás Navarro,ar ARG,GK,San Lorenzo,34,1985,11,11,990,11.0,18,1.64,56,38,69.6,5,1,5,3,27.3,1,1,0,0,0.0,Matches
34,Marcos Peano,ar ARG,GK,Unión,20,1998,3,3,270,3.0,5,1.67,8,3,37.5,1,1,1,1,33.3,0,0,0,0,,Matches
35,Fernando Pellegrino,ar ARG,GK,Huracán,33,1986,3,3,270,3.0,4,1.33,11,7,63.6,2,0,1,2,66.7,0,0,0,0,,Matches
36,Luciano Pocrnjic,ar ARG,GK,Aldosivi,37,1981,22,22,1980,22.0,35,1.59,96,61,66.7,5,4,13,7,31.8,3,3,0,0,0.0,Matches
37,Roberto Ramírez,ar ARG,GK,Godoy Cruz,23,1996,6,6,540,6.0,12,2.00,30,18,66.7,2,0,4,0,0.0,2,2,0,0,0.0,Matches
38,Rodrigo Rey,ar ARG,GK,Godoy Cruz,28,1991,7,7,630,7.0,10,1.43,31,21,74.2,3,0,4,2,28.6,2,2,0,0,0.0,Matches
39,Agustín Rossi,ar ARG,GK,Lanús,23,1995,23,23,2070,23.0,29,1.26,109,79,75.2,9,9,5,5,21.7,4,2,2,0,50.0,Matches
