rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,1,0,0,2,0,0,9,0,2,0,0,0,10,4,0,100.0,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,8,0,0,29,16,3,106,32,29,0,0,0,96,40,15,72.7,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,5.2,3,0,0,4,2,9,2,2,2,1,0,0,10,5,19,20.8,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,18.8,4,1,0,16,13,0,0,25,13,0,0,0,79,37,23,61.7,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,5.1,0,0,0,9,5,0,1,6,8,0,0,1,26,14,11,56.0,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,10.6,4,0,0,18,20,0,2,17,21,0,0,0,98,7,12,36.8,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,3.4,2,0,0,7,3,0,1,9,13,0,0,0,30,1,3,25.0,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,19.0,3,1,0,34,20,0,53,23,8,0,0,1,145,32,33,49.2,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,15.8,2,0,0,25,48,7,20,13,17,1,0,1,70,28,32,46.7,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,5.3,1,0,0,5,5,8,9,0,1,0,0,0,11,19,43,30.6,Matches
11,Jonathan Agudelo,co COL,FW,Gimnasia–LP,26,1992,2.2,1,0,0,3,4,1,0,0,2,0,0,0,5,2,4,33.3,Matches
12,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,2,0,0,0,3,0,0,1,0,0,0,0,29,2,1,66.7,Matches
13,Jonás Aguirre,ar ARG,FW,Rosario Central,27,1992,0.1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,,Matches
14,Nicolás Aguirre,ar ARG,MF,Atlé Tucumán,29,1990,1.7,1,0,0,4,4,0,6,2,4,0,0,0,5,5,2,71.4,Matches
15,Jorge Agustín Rodríguez,ar ARG,MF,Banfield,23,1995,21.7,2,0,0,31,22,0,5,33,36,0,0,0,176,34,26,56.7,Matches
16,Gabriel Alanís,ar ARG,"DF,MF",Godoy Cruz,25,1994,11.6,4,0,0,15,11,1,24,7,22,0,0,0,64,26,28,48.1,Matches
17,Lucas Albertengo,ar ARG,FW,Newell's OB,28,1991,15.8,0,0,0,25,27,13,31,5,8,1,0,0,57,41,71,36.6,Matches
18,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,18,2000,0.5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
19,Carlos Alcaraz,ar ARG,MF,Racing Club,16,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
20,Brahian Alemán,uy URU,"MF,FW",Gimnasia–LP,29,1989,6.6,2,0,0,9,32,0,46,6,4,0,0,0,52,12,24,33.3,Matches
21,Agustín Aleo,ar ARG,DF,Godoy Cruz,21,1998,10.0,3,0,0,11,5,0,19,14,16,0,0,0,53,6,13,31.6,Matches
22,Rodrigo Aliendro,ar ARG,MF,Colón,28,1991,7.2,1,1,0,14,15,0,5,9,11,0,0,0,55,6,19,24.0,Matches
