rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,41,61,67.2,595,156,23,27,13,28,1,2,0,0.0,0.0,0.0,0,3,1,1,3,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,351,672,52.2,8616,5757,104,147,135,245,106,246,3,2.5,2.6,+0.5,25,43,11,5,55,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,5.2,59,92,64.1,779,158,34,52,16,25,2,4,1,1.3,0.8,-0.3,8,3,1,1,5,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,18.8,996,1131,88.1,19073,6480,307,333,605,637,73,134,0,0.1,0.2,-0.1,2,59,3,0,111,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,5.1,163,217,75.1,3159,1329,59,67,83,99,20,45,0,0.0,0.0,0.0,0,10,0,0,20,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,10.6,441,562,78.5,7555,3174,198,233,198,235,37,62,0,2.5,1.8,-2.5,15,70,7,1,90,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,3.4,145,171,84.8,2664,1118,55,62,72,79,16,23,0,0.0,0.1,0.0,0,15,0,0,17,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,19.0,623,852,73.1,10047,3795,293,340,221,297,61,109,2,2.6,2.6,-0.6,26,72,24,10,94,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,15.8,308,442,69.7,4170,1173,206,264,80,119,13,19,2,2.8,2.6,-0.8,33,18,16,5,43,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,5.3,66,101,65.3,721,158,44,57,11,18,0,4,0,0.3,0.2,-0.3,3,7,3,1,6,Matches
11,Jonathan Agudelo,co COL,FW,Gimnasia–LP,26,1992,2.2,25,38,65.8,257,30,18,24,3,5,0,1,0,0.0,0.0,0.0,0,0,0,0,1,Matches
12,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,557,783,71.1,17653,12510,51,51,279,283,227,442,0,0.0,0.1,0.0,1,16,0,0,1,Matches
13,Jonás Aguirre,ar ARG,FW,Rosario Central,27,1992,0.1,4,7,57.1,96,36,1,1,2,3,1,1,0,0.1,0.1,-0.1,2,0,1,1,0,Matches
14,Nicolás Aguirre,ar ARG,MF,Atlé Tucumán,29,1990,1.7,27,43,62.8,474,217,14,16,8,15,4,7,1,0.1,0.1,+0.9,1,3,1,0,6,Matches
15,Jorge Agustín Rodríguez,ar ARG,MF,Banfield,23,1995,21.7,742,949,78.2,14302,4893,274,335,344,397,102,166,2,0.3,0.6,+1.7,8,107,7,1,120,Matches
16,Gabriel Alanís,ar ARG,"DF,MF",Godoy Cruz,25,1994,11.6,153,285,53.7,2971,1342,54,85,74,120,21,52,0,0.6,0.3,-0.6,4,8,4,2,23,Matches
17,Lucas Albertengo,ar ARG,FW,Newell's OB,28,1991,15.8,217,359,60.4,2816,534,132,181,58,100,7,17,0,0.7,0.8,-0.7,16,10,12,4,24,Matches
18,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,18,2000,0.5,18,24,75.0,344,168,8,8,8,10,2,5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
19,Carlos Alcaraz,ar ARG,MF,Racing Club,16,2002,0.1,6,6,100.0,111,21,3,3,2,2,1,1,0,0.0,0.0,0.0,0,1,0,0,2,Matches
20,Brahian Alemán,uy URU,"MF,FW",Gimnasia–LP,29,1989,6.6,182,284,64.1,3426,1452,88,99,57,93,32,72,0,1.1,1.5,-1.1,18,23,9,2,40,Matches
21,Agustín Aleo,ar ARG,DF,Godoy Cruz,21,1998,10.0,163,321,50.8,2845,1430,71,99,68,131,17,66,1,0.6,0.4,+0.4,7,8,8,5,11,Matches
22,Rodrigo Aliendro,ar ARG,MF,Colón,28,1991,7.2,170,241,70.5,2715,822,91,112,60,75,11,28,0,0.5,0.1,-0.5,5,16,2,1,23,Matches
23,Ignacio Aliseda,ar ARG,"FW,MF",Defensa y Just,19,2000,7.9,125,175,71.4,1730,449,71,85,42,49,5,8,2,1.6,0.4,+0.4,13,11,4,1,15,Matches
24,Agustín Allione,ar ARG,"FW,MF",Rosario Central,24,1994,0.7,34,49,69.4,643,153,11,16,15,20,5,7,1,0.6,0.4,+0.4,4,3,1,0,7,Matches
25,Facundo Almada,ar ARG,DF,Rosario Central,21,1998,1.9,47,70,67.1,967,387,15,20,25,37,7,11,0,0.0,0.0,0.0,0,2,0,0,7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Thiago Almada,ar ARG,"FW,MF",Vélez Sarsfield,18,2001,13.4,552,700,78.9,9603,1692,270,310,202,265,64,85,0,3.6,2.5,-3.6,29,26,21,8,48,Matches
27,Christian Almeida,uy URU,DF,Godoy Cruz,29,1989,3.9,78,133,58.6,1593,1051,31,38,33,58,13,27,0,0.4,0.2,-0.4,3,10,1,1,12,Matches
28,Agustín Almendra,ar ARG,MF,Boca Juniors,19,2000,4.8,159,200,79.5,2750,813,73,80,58,72,19,29,0,0.1,0.2,-0.1,3,17,3,2,21,Matches
29,Júnior Alonso,py PAR,DF,Boca Juniors,26,1993,12.8,550,693,79.4,11020,4776,170,190,292,344,73,132,1,0.9,1.0,+0.1,6,35,6,0,49,Matches
30,Matías Alustiza,mx MEX,"FW,MF",Atlé Tucumán,35,1984,2.2,42,54,77.8,897,183,22,25,4,7,15,19,0,0.0,0.1,0.0,0,6,1,1,4,Matches
31,Braian Álvarez,ar ARG,MF,Unión,21,1997,1.5,28,56,50.0,440,158,13,20,13,25,1,6,0,0.1,0.1,-0.1,2,2,2,2,4,Matches
32,Juan Álvarez,ar ARG,"MF,FW",Banfield,23,1996,8.4,134,223,60.1,1856,542,77,99,39,73,6,18,0,1.0,1.3,-1.0,12,8,8,4,22,Matches
33,Julián Álvarez,ar ARG,"FW,MF",River Plate,19,2000,4.3,129,196,65.8,2299,786,66,83,33,53,23,41,0,0.9,1.4,-0.9,11,10,10,3,16,Matches
34,Ricky Álvarez,ar ARG,MF,Vélez Sarsfield,31,1988,0.1,7,10,70.0,120,10,3,3,3,5,1,2,0,0.0,0.0,0.0,0,0,0,0,2,Matches
35,Gastón Álvarez Suárez,ae UAE,MF,Arsenal,26,1993,20.7,797,1041,76.6,13426,4191,415,470,258,334,92,168,1,3.5,2.1,-2.5,31,64,12,6,91,Matches
36,Tomás Álvarez,ar ARG,DF,Godoy Cruz,19,2000,1.1,27,46,58.7,380,233,15,17,7,13,2,8,0,0.0,0.0,0.0,0,0,0,0,1,Matches
37,Lisandro Alzugaray,ar ARG,MF,Cen. Córdoba–SdE,29,1990,10.7,218,337,64.7,4066,1805,87,111,78,120,37,70,2,2.6,1.5,-0.6,22,39,23,6,56,Matches
