rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,61,48,13,1,0,0,9,12,0,0,0,0,41,0,1,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,672,404,263,76,0,8,106,130,57,14,39,0,351,5,15,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,5.2,92,86,6,0,0,1,2,0,0,0,0,0,59,0,3,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,18.8,1131,1100,29,26,0,12,0,1,0,0,0,0,996,2,8,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,5.1,217,209,7,7,0,1,1,0,0,0,0,0,163,1,1,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,10.6,562,534,23,23,7,0,2,0,0,0,0,0,441,5,10,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,3.4,171,166,5,5,0,1,1,0,0,0,0,0,145,0,4,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,19.0,852,753,94,16,0,6,53,64,14,3,11,0,623,5,33,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,15.8,442,430,10,3,0,1,20,7,0,0,0,0,308,2,16,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,5.3,101,92,9,0,0,0,9,0,0,0,0,0,66,0,7,Matches
11,Jonathan Agudelo,co COL,FW,Gimnasia–LP,26,1992,2.2,38,35,3,1,0,0,0,0,0,0,0,0,25,0,1,Matches
12,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,783,512,264,84,0,5,0,0,0,0,0,0,557,7,0,Matches
13,Jonás Aguirre,ar ARG,FW,Rosario Central,27,1992,0.1,7,6,1,0,0,0,3,0,1,0,1,0,4,0,2,Matches
14,Nicolás Aguirre,ar ARG,MF,Atlé Tucumán,29,1990,1.7,43,38,5,1,0,1,6,1,3,1,1,0,27,0,2,Matches
15,Jorge Agustín Rodríguez,ar ARG,MF,Banfield,23,1995,21.7,949,895,51,45,0,7,5,6,0,0,0,0,742,3,16,Matches
16,Gabriel Alanís,ar ARG,"DF,MF",Godoy Cruz,25,1994,11.6,285,235,50,2,0,2,24,48,0,0,0,0,153,0,17,Matches
17,Lucas Albertengo,ar ARG,FW,Newell's OB,28,1991,15.8,359,332,23,0,0,2,31,0,0,0,0,0,217,4,21,Matches
18,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,18,2000,0.5,24,14,10,0,0,0,0,10,0,0,0,0,18,0,1,Matches
19,Carlos Alcaraz,ar ARG,MF,Racing Club,16,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
