rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,78,7,14,30,35,1,78,6,3,50.0,3,50.0,36,108,49,1,3,0,5,0,38,8,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,857,43,257,367,243,16,857,23,7,30.4,16,69.6,272,1402,780,19,10,3,24,3,249,33,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,5.2,141,0,3,56,83,35,140,14,6,42.9,8,57.1,64,426,151,9,4,11,15,1,103,45,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,18.8,1292,99,547,738,12,5,1292,5,2,40.0,3,60.0,804,5871,4215,29,6,0,6,2,945,1,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,5.1,273,35,136,132,10,7,273,5,2,40.0,3,60.0,156,1015,642,3,1,0,3,1,158,0,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,10.6,668,7,102,498,75,1,668,8,5,62.5,3,37.5,375,1910,1077,14,9,0,15,11,410,8,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,3.4,213,6,64,138,15,0,213,2,1,50.0,1,50.0,108,657,352,3,3,0,3,0,119,0,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,19.0,1033,21,159,561,333,24,1033,28,11,39.3,17,60.7,432,2287,1228,28,28,2,27,17,571,100,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,15.8,636,33,111,278,261,62,636,57,32,56.1,25,43.9,394,2751,1629,50,26,17,35,10,427,114,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,5.3,176,7,7,74,98,20,176,22,9,40.9,13,59.1,107,532,180,9,4,2,31,10,139,36,Matches
