rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14.0,0,13,2,15.4,0.93,0.14,0.00,0.00,20.9,3,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,5.2,5,11,6,54.5,2.12,1.16,0.36,0.67,10.3,0,1,1,4.6,3.8,0.35,+0.4,+0.2,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,18.8,0,4,0,0.0,0.21,0.00,0.00,,10.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,5.1,0,2,0,0.0,0.39,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,10.6,0,4,1,25.0,0.38,0.09,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,19.0,0,26,2,7.7,1.37,0.11,0.00,0.00,20.9,1,0,0,1.6,1.6,0.06,-1.6,-1.6,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,15.8,2,11,4,36.4,0.70,0.25,0.18,0.50,14.4,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,5.3,0,6,4,66.7,1.14,0.76,0.00,0.00,15.9,0,0,0,1.1,1.1,0.18,-1.1,-1.1,Matches
11,Jonathan Agudelo,co COL,FW,Gimnasia–LP,26,1992,2.2,1,5,1,20.0,2.26,0.45,0.20,1.00,17.0,0,0,0,0.9,0.9,0.17,+0.1,+0.1,Matches
12,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Jonás Aguirre,ar ARG,FW,Rosario Central,27,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
