rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Luciano Abecasis,ar ARG,DF,Lanús,29,1990,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Mathías Abero,uy URU,DF,Patronato,29,1990,14,14,1260,14.0,0,3,3,0,0,0,8,0,0.9,0.9,2.5,3.4,19,55,33,0.00,0.21,0.21,0.00,0.21,0.06,0.18,0.24,0.06,0.24,Matches
3,Ramón Ábila,ar ARG,FW,Boca Juniors,29,1989,12,5,466,5.2,5,1,6,4,1,1,3,0,4.6,3.8,1.3,5.1,9,5,45,0.97,0.19,1.16,0.77,0.97,0.89,0.25,1.14,0.74,0.99,Matches
4,Luis Abram,pe PER,DF,Vélez Sarsfield,23,1996,19,19,1690,18.8,0,0,0,0,0,0,4,1,0.5,0.5,0.1,0.6,29,111,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,27,1991,6,5,459,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,20,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
6,Nelson Acevedo,ar ARG,MF,Unión,31,1988,15,11,955,10.6,0,0,0,0,0,0,4,0,0.1,0.1,2.5,2.6,14,90,8,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.24,0.01,0.24,Matches
7,Nelson Acevedo,ar ARG,MF,Defensa y Just,31,1988,6,4,302,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Guillermo Acosta,ar ARG,"MF,DF",Atlé Tucumán,30,1988,22,19,1713,19.0,0,2,2,0,0,0,3,1,1.6,1.6,2.6,4.1,28,94,100,0.00,0.11,0.11,0.00,0.11,0.08,0.14,0.22,0.08,0.22,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,31,1988,17,17,1420,15.8,2,2,4,2,0,0,2,0,1.4,1.4,2.8,4.2,50,43,114,0.13,0.13,0.25,0.13,0.25,0.09,0.17,0.26,0.09,0.26,Matches
10,José Adolfo Valencia,co COL,FW,Cen. Córdoba–SdE,27,1991,8,6,473,5.3,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,9,6,36,0.00,0.00,0.00,0.00,0.00,0.21,0.06,0.27,0.21,0.27,Matches
11,Jonathan Agudelo,co COL,FW,Gimnasia–LP,26,1992,4,3,199,2.2,1,0,1,1,0,0,1,0,0.9,0.9,0.0,0.9,2,1,9,0.45,0.00,0.45,0.45,0.45,0.40,0.00,0.40,0.40,0.40,Matches
12,Alan Aguerre,ar ARG,GK,Newell's OB,28,1990,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Jonás Aguirre,ar ARG,FW,Rosario Central,27,1992,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,1.32,1.32,0.00,1.32,Matches
14,Nicolás Aguirre,ar ARG,MF,Atlé Tucumán,29,1990,4,2,151,1.7,1,1,2,1,0,0,1,0,0.3,0.3,0.1,0.4,1,6,2,0.60,0.60,1.19,0.60,1.19,0.18,0.06,0.23,0.18,0.23,Matches
15,Jorge Agustín Rodríguez,ar ARG,MF,Banfield,23,1995,22,22,1952,21.7,1,2,3,1,0,0,2,0,0.9,0.8,0.3,1.2,25,120,10,0.05,0.09,0.14,0.05,0.14,0.04,0.02,0.06,0.04,0.05,Matches
16,Gabriel Alanís,ar ARG,"DF,MF",Godoy Cruz,25,1994,14,12,1046,11.6,0,0,0,0,0,0,4,0,0.4,0.4,0.6,1.0,20,23,47,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08,Matches
17,Lucas Albertengo,ar ARG,FW,Newell's OB,28,1991,21,16,1422,15.8,3,0,3,3,0,0,0,0,4.1,4.1,0.7,4.7,19,24,112,0.19,0.00,0.19,0.19,0.19,0.26,0.04,0.30,0.26,0.30,Matches
18,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,18,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Carlos Alcaraz,ar ARG,MF,Racing Club,16,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Brahian Alemán,uy URU,"MF,FW",Gimnasia–LP,29,1989,11,6,595,6.6,0,0,0,0,0,0,2,0,1.8,1.8,1.1,2.9,17,40,33,0.00,0.00,0.00,0.00,0.00,0.27,0.17,0.44,0.27,0.44,Matches
21,Agustín Aleo,ar ARG,DF,Godoy Cruz,21,1998,12,10,901,10.0,0,1,1,0,0,0,3,0,0.1,0.1,0.6,0.6,14,11,26,0.00,0.10,0.10,0.00,0.10,0.01,0.06,0.06,0.01,0.06,Matches
22,Rodrigo Aliendro,ar ARG,MF,Colón,28,1991,11,8,651,7.2,1,0,1,1,0,0,1,1,0.5,0.5,0.5,1.0,7,23,24,0.14,0.00,0.14,0.14,0.14,0.06,0.07,0.14,0.06,0.14,Matches
23,Ignacio Aliseda,ar ARG,"FW,MF",Defensa y Just,19,2000,11,7,710,7.9,1,2,3,1,0,0,0,0,2.6,2.6,1.6,4.3,25,15,64,0.13,0.25,0.38,0.13,0.38,0.33,0.21,0.54,0.33,0.54,Matches
24,Agustín Allione,ar ARG,"FW,MF",Rosario Central,24,1994,5,0,64,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.7,0,7,5,0.00,1.41,1.41,0.00,1.41,0.06,0.87,0.93,0.06,0.93,Matches
25,Facundo Almada,ar ARG,DF,Rosario Central,21,1998,3,2,175,1.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,7,0,0.51,0.00,0.51,0.51,0.51,0.20,0.00,0.20,0.20,0.20,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Thiago Almada,ar ARG,"FW,MF",Vélez Sarsfield,18,2001,22,10,1203,13.4,4,0,4,3,1,1,0,0,2.9,2.2,3.6,5.7,50,48,143,0.30,0.00,0.30,0.22,0.22,0.22,0.27,0.49,0.16,0.43,Matches
27,Christian Almeida,uy URU,DF,Godoy Cruz,29,1989,5,4,354,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,1,12,4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
28,Agustín Almendra,ar ARG,MF,Boca Juniors,19,2000,6,6,435,4.8,1,0,1,1,0,0,2,1,1.1,1.1,0.1,1.3,5,21,1,0.21,0.00,0.21,0.21,0.21,0.24,0.03,0.27,0.24,0.27,Matches
29,Júnior Alonso,py PAR,DF,Boca Juniors,26,1993,14,11,1152,12.8,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,5,49,2,0.00,0.08,0.08,0.00,0.08,0.02,0.07,0.10,0.02,0.10,Matches
30,Matías Alustiza,mx MEX,"FW,MF",Atlé Tucumán,35,1984,4,2,200,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,4,7,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
31,Braian Álvarez,ar ARG,MF,Unión,21,1997,5,1,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,4,11,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16,0.09,0.16,Matches
32,Juan Álvarez,ar ARG,"MF,FW",Banfield,23,1996,11,9,756,8.4,0,0,0,0,0,0,2,0,0.7,0.7,1.0,1.7,20,22,55,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches
33,Julián Álvarez,ar ARG,"FW,MF",River Plate,19,2000,7,4,390,4.3,0,0,0,0,0,0,0,0,1.0,1.0,0.9,1.9,18,16,50,0.00,0.00,0.00,0.00,0.00,0.24,0.20,0.44,0.24,0.44,Matches
34,Ricky Álvarez,ar ARG,MF,Vélez Sarsfield,31,1988,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Gastón Álvarez Suárez,ae UAE,MF,Arsenal,26,1993,22,22,1861,20.7,6,1,7,5,1,1,5,1,4.0,3.2,3.5,6.7,51,91,86,0.29,0.05,0.34,0.24,0.29,0.19,0.17,0.36,0.15,0.32,Matches
36,Tomás Álvarez,ar ARG,DF,Godoy Cruz,19,2000,2,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Lisandro Alzugaray,ar ARG,MF,Cen. Córdoba–SdE,29,1990,18,10,965,10.7,4,2,6,4,0,0,1,0,2.9,2.9,2.6,5.5,32,56,60,0.37,0.19,0.56,0.37,0.56,0.27,0.25,0.51,0.27,0.51,Matches
38,Lucas Ambrogio,ar ARG,FW,Arg Juniors,20,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
