wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
1,Sat,2019-07-27,13:15 (18:15),Colón,1.2,0–1,0.8,Patronato,,Estadio Brigadier General Estanislao Lóp...,Silvio Trucco,Match Report,
1,Sat,2019-07-27,15:30 (20:30),San Lorenzo,2.3,3–2,0.9,Godoy Cruz,,Estadio Pedro Bidegaín,Andrés Merlos,Match Report,
1,Sat,2019-07-27,17:45 (22:45),Lanús,0.9,1–1,0.8,Gimnasia–LP,,Estadio Ciudad de Lanús,Darío Herrera,Match Report,
1,Sat,2019-07-27,20:00 (01:00),Arg Juniors,0.8,1–1,0.9,River Plate,,Estadio Diego Armando Maradona,Fernando Rapallini,Match Report,
1,Fri,2019-07-26,21:00 (02:00),Racing Club,0.9,0–0,0.2,Unión,,Estadio Presidente Juan Domingo Perón,Nicolás Lamolina,Match Report,
1,Sun,2019-07-28,11:00 (16:00),Estudiantes–LP,1.1,1–0,0.5,Aldosivi,,Estadio Ciudad de La Plata,Fernando Espinoza,Match Report,
1,Sun,2019-07-28,13:15 (18:15),Newell's OB,0.9,2–0,0.2,Cen. Córdoba–SdE,,Estadio Marcelo Alberto Bielsa,Facundo Tello,Match Report,
1,Sun,2019-07-28,15:30 (20:30),Talleres,0.3,1–0,0.3,Vélez Sarsfield,,Estadio Mario Alberto Kempes,Ariel Penel,Match Report,
1,Sun,2019-07-28,17:45 (22:45),Defensa y Just,0.1,0–1,1.0,Independiente,,Estadio Norberto Tito Tomaghello,Patricio Loustau,Match Report,
1,Sun,2019-07-28,20:00 (01:00),Boca Juniors,1.6,0–0,0.7,Huracán,,Estadio Alberto José Armando,Diego Abal,Match Report,
1,Mon,2019-07-29,19:00 (00:00),Arsenal,2.1,1–0,0.8,Banfield,,Estadio Julio Humberto Grondona,Hernán Mastrángelo,Match Report,
1,Mon,2019-07-29,21:10 (02:10),Atlé Tucumán,0.9,1–2,1.1,Rosario Central,,Estadio Monumental Presidente José Fierr...,Néstor Pitana,Match Report,
2,Sat,2019-08-03,13:15 (18:15),Aldosivi,0.6,0–0,0.9,Arg Juniors,,Estadio José María Minella,Diego Abal,Match Report,
2,Sat,2019-08-03,15:30 (20:30),Rosario Central,1.8,1–0,0.3,Talleres,,Estadio Dr. Lisandro de la Torre,Facundo Tello,Match Report,
2,Sat,2019-08-03,17:45 (22:45),Cen. Córdoba–SdE,2.3,1–0,0.1,Atlé Tucumán,,Estadio Victor Antonio Aguirre,Pablo Echavarría,Match Report,
2,Sat,2019-08-03,20:00 (01:00),Vélez Sarsfield,1.5,2–2,1.4,Racing Club,,Estadio José Amalfitani,Néstor Pitana,Match Report,
2,Fri,2019-08-02,21:00 (02:00),Huracán,1.7,2–0,0.6,Colón,,Estadio Tomás Adolfo Ducó,Hernán Mastrángelo,Match Report,
2,Sun,2019-08-04,11:00 (16:00),Unión,1.3,2–1,1.2,Defensa y Just,,Estadio 15 de Abril,Darío Herrera,Match Report,
2,Sun,2019-08-04,13:15 (18:15),Gimnasia–LP,1.4,0–1,0.9,San Lorenzo,,Estadio Juan Carmelo Zerillo,Fernando Espinoza,Match Report,
2,Sun,2019-08-04,15:30 (20:30),Banfield,2.6,1–0,1.0,Estudiantes–LP,,Estadio Florencio Solá,Nazareno Arasa,Match Report,
2,Sun,2019-08-04,17:45 (22:45),River Plate,3.9,3–0,0.1,Lanús,,Estadio Monumental Antonio Vespucio Libe...,Germán Delfino,Match Report,
2,Sun,2019-08-04,20:00 (01:00),Patronato,0.4,0–2,1.3,Boca Juniors,,Estadio Presbítero Bartolomé Grella,Fernando Rapallini,Match Report,
2,Mon,2019-08-05,21:10 (02:10),Godoy Cruz,0.4,0–2,1.7,Arsenal,,Estadio Malvinas Argentinas,Patricio Loustau,Match Report,
3,Fri,2019-08-16,19:00 (00:00),Arg Juniors,0.9,3–2,1.4,Banfield,,Estadio Diego Armando Maradona,Andrés Merlos,Match Report,
3,Sat,2019-08-17,15:30 (20:30),Newell's OB,1.9,2–0,0.3,Unión,,Estadio Marcelo Alberto Bielsa,Ariel Penel,Match Report,
3,Sat,2019-08-17,17:45 (22:45),San Lorenzo,2.2,2–2,1.3,Rosario Central,,Estadio Pedro Bidegaín,Fernando Rapallini,Match Report,
