rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Boca Juniors,23,14,6,3,35,8,27,48,2.09,36.1,22.6,13.5,0.59,,Carlos Tevez - 9,Esteban Andrada,
2,River Plate,23,14,5,4,41,18,23,47,2.04,49.7,19.2,30.6,1.33,,Rafael Borré - 12,Franco Armani,
3,Vélez Sarsfield,23,11,6,6,27,14,13,39,1.7,29.0,23.1,6.0,0.26,,Maximiliano Romero - 7,Lucas Hoyos,
4,Racing Club,23,9,12,2,28,23,5,39,1.7,26.3,29.7,-3.5,-0.15,,"Lisandro López, Federico Zaracho - 4",Gabriel Arias,
5,Arg Juniors,23,10,9,4,22,17,5,39,1.7,24.0,27.7,-3.8,-0.16,,Gabriel Hauche - 7,Lucas Chávez,
6,Defensa y Just,23,10,6,7,26,18,8,36,1.57,34.2,28.6,5.6,0.24,,Juan Martín Lucero - 5,Ezequiel Unsain,
7,Lanús,23,9,9,5,32,29,3,36,1.57,31.6,28.6,3.1,0.13,,José Sand - 10,Agustín Rossi,
8,San Lorenzo,23,11,3,9,32,30,2,36,1.57,27.8,36.2,-8.3,-0.36,,Bruno Pittón - 7,Sebastián Torrico,
9,Rosario Central,23,9,9,5,31,29,2,36,1.57,31.1,26.4,4.7,0.2,,"Marco Ruben, Ciro Rius - 4",Jeremías Ledesma,
10,Newell's OB,23,9,8,6,33,25,8,35,1.52,30.6,23.4,7.2,0.31,,Maxi Rodríguez - 6,Alan Aguerre,
11,Arsenal,23,9,7,7,37,32,5,34,1.48,36.5,32.5,4.0,0.18,,Nicolás Giménez - 7,Maximiliano Gagliardo,
12,Talleres,23,10,4,9,34,30,4,34,1.48,35.8,30.9,4.9,0.21,,Nahuel Bustos - 9,Guido Herrera,
13,Estudiantes–LP,23,8,6,9,23,22,1,30,1.3,26.3,24.8,1.5,0.07,,Mateo Retegui - 4,Mariano Andújar,
14,Independiente,23,8,5,10,27,25,2,29,1.26,29.1,20.3,8.8,0.38,,Silvio Romero - 12,Martín Campaña,
15,Atlé Tucumán,23,7,8,8,22,25,-3,29,1.26,23.5,32.3,-8.8,-0.38,,"Javier Toledo, Leandro Díaz - 5",Cristian Lucchetti,
16,Unión,23,7,6,10,21,30,-9,27,1.17,24.5,30.1,-5.7,-0.25,,Walter Bou - 5,Sebastián Moyano,
17,Banfield,23,6,8,9,19,23,-4,26,1.13,26.8,26.0,0.8,0.04,,Reinaldo Lenis - 4,Iván Arboleda,
18,Cen. Córdoba–SdE,23,6,8,9,21,29,-8,26,1.13,27.8,26.4,1.3,0.06,,Jonathan Herrera - 6,Diego Matías Rodríguez,
19,Gimnasia–LP,23,6,5,12,22,23,-1,23,1.0,27.5,28.4,-0.9,-0.04,,Matías García - 6,Alexis Martin Arias,
20,Patronato,23,5,8,10,22,34,-12,23,1.0,29.4,33.9,-4.5,-0.2,,Cristian Tarragona - 9,Matías Ibáñez,
21,Huracán,23,5,7,11,17,27,-10,22,0.96,23.3,29.8,-6.5,-0.28,,Rodrigo Gómez - 4,Antony Silva,
22,Aldosivi,23,6,4,13,20,35,-15,22,0.96,19.3,35.1,-15.8,-0.69,,Federico Gino - 4,Luciano Pocrnjic,
23,Colón,23,5,3,15,17,39,-22,18,0.78,23.0,36.5,-13.5,-0.59,,Wilson Morelo - 6,Leonardo Burián,
24,Godoy Cruz,23,6,0,17,22,46,-24,18,0.78,22.1,42.8,-20.7,-0.9,,"Santiago García, Juan Brunetta - 6",Rodrigo Rey,
