squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Aldosivi,28,27.5,49.8,23,253,2070,23.0,19,11,30,17,2,2,74,3,19.3,17.7,10.5,28.2,296,794,0.83,0.48,1.3,0.74,1.22,0.84,0.46,1.3,0.77,1.23
Arg Juniors,28,27.8,50.2,23,253,2070,23.0,21,13,34,19,2,3,65,3,24.0,21.6,15.6,37.2,343,829,0.91,0.57,1.48,0.83,1.39,1.04,0.68,1.72,0.94,1.62
Arsenal,22,28.5,49.8,23,253,2070,23.0,35,23,58,33,2,3,52,3,36.5,34.3,25.7,60.0,393,825,1.52,1.0,2.52,1.43,2.43,1.59,1.12,2.71,1.49,2.61
Atlé Tucumán,28,29.6,46.1,23,253,2070,23.0,20,14,34,20,0,0,69,5,23.5,23.5,17.6,41.1,278,805,0.87,0.61,1.48,0.87,1.48,1.02,0.76,1.79,1.02,1.79
Banfield,31,27.0,46.8,23,253,2070,23.0,18,13,31,15,3,5,68,2,26.8,22.8,17.0,39.8,418,808,0.78,0.57,1.35,0.65,1.22,1.17,0.74,1.91,0.99,1.73
Boca Juniors,28,27.5,51.5,23,253,2070,23.0,35,24,59,34,1,3,70,7,36.1,33.7,25.5,59.3,449,820,1.52,1.04,2.57,1.48,2.52,1.57,1.11,2.68,1.47,2.58
Cen. Córdoba–SdE,31,27.3,44.1,23,253,2070,23.0,21,15,36,18,3,4,62,3,27.8,25.1,18.6,43.6,315,678,0.91,0.65,1.57,0.78,1.43,1.21,0.81,2.01,1.09,1.9
Colón,34,28.7,43.0,23,253,2070,23.0,16,8,24,14,2,2,60,2,23.0,21.4,15.7,37.2,328,694,0.7,0.35,1.04,0.61,0.96,1.0,0.68,1.69,0.93,1.62
Defensa y Just,36,26.3,56.3,23,253,2070,23.0,26,21,47,25,1,1,52,0,34.2,33.0,27.3,60.2,382,1022,1.13,0.91,2.04,1.09,2.0,1.49,1.18,2.67,1.43,2.62
Estudiantes–LP,27,27.6,53.0,23,253,2070,23.0,23,13,36,22,1,2,60,2,26.3,24.8,18.7,43.5,351,892,1.0,0.57,1.57,0.96,1.52,1.14,0.81,1.96,1.08,1.89
Gimnasia–LP,35,27.4,45.8,23,253,2070,23.0,22,15,37,21,1,2,77,5,27.5,25.9,18.1,44.0,313,740,0.96,0.65,1.61,0.91,1.57,1.19,0.79,1.98,1.13,1.91
Godoy Cruz,38,23.4,39.2,23,253,2070,23.0,22,17,39,21,1,1,59,7,22.1,21.3,17.2,38.5,260,617,0.96,0.74,1.7,0.91,1.65,0.96,0.75,1.71,0.93,1.68
Huracán,32,26.7,43.3,23,253,2070,23.0,17,10,27,15,2,2,72,5,23.3,21.7,16.4,38.1,315,688,0.74,0.43,1.17,0.65,1.09,1.01,0.71,1.72,0.94,1.65
Independiente,30,26.7,55.7,23,253,2070,23.0,24,16,40,20,4,4,75,8,29.1,26.0,20.7,46.7,505,987,1.04,0.7,1.74,0.87,1.57,1.27,0.9,2.17,1.13,2.03
Lanús,26,26.4,52.2,23,253,2070,23.0,29,16,45,23,6,6,63,0,31.6,26.9,21.9,48.8,537,961,1.26,0.7,1.96,1.0,1.7,1.37,0.95,2.33,1.17,2.12
Newell's OB,27,29.1,52.2,23,253,2070,23.0,33,21,54,29,4,5,60,1,30.6,26.5,21.6,48.2,283,931,1.43,0.91,2.35,1.26,2.17,1.33,0.94,2.27,1.15,2.09
Patronato,31,29.1,41.8,23,253,2070,23.0,22,18,40,21,1,2,74,9,29.4,27.7,22.4,50.1,330,737,0.96,0.78,1.74,0.91,1.7,1.28,0.97,2.25,1.21,2.18
Racing Club,29,29.3,59.6,23,253,2070,23.0,28,19,47,25,3,3,57,6,26.3,24.0,17.5,41.5,349,920,1.22,0.83,2.04,1.09,1.91,1.14,0.76,1.9,1.04,1.81
River Plate,27,27.5,59.8,23,253,2070,23.0,40,27,67,36,4,9,66,4,49.7,42.8,32.7,75.5,456,1390,1.74,1.17,2.91,1.57,2.74,2.16,1.42,3.58,1.86,3.28
Rosario Central,30,28.7,50.0,23,253,2070,23.0,28,21,49,26,2,2,50,0,31.1,29.5,23.1,52.6,376,936,1.22,0.91,2.13,1.13,2.04,1.35,1.01,2.36,1.28,2.29
San Lorenzo,39,28.0,50.9,23,253,2070,23.0,32,21,53,30,2,3,66,5,27.8,25.5,19.4,44.9,331,863,1.39,0.91,2.3,1.3,2.22,1.21,0.85,2.06,1.11,1.95
Talleres,26,24.6,54.4,23,253,2070,23.0,34,24,58,33,1,4,67,7,35.8,32.6,25.3,57.9,423,912,1.48,1.04,2.52,1.43,2.48,1.56,1.1,2.66,1.42,2.52
Unión,29,26.8,45.7,23,253,2070,23.0,21,12,33,18,3,3,56,6,24.5,22.1,16.5,38.6,348,958,0.91,0.52,1.43,0.78,1.3,1.06,0.72,1.78,0.96,1.68
Vélez Sarsfield,29,24.6,59.0,23,253,2070,23.0,25,20,45,24,1,1,48,3,29.0,28.2,22.3,50.5,428,1071,1.09,0.87,1.96,1.04,1.91,1.26,0.97,2.23,1.23,2.2
