rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Lucas Acosta,ar ARG,GK,Lanús,25,1995,13,13,1170,13.0,19,1.46,55,37,70.9,7,2,4,3,23.1,3,3,0,0,0.0,Matches
2,Alan Aguerre,ar ARG,GK,Newell's OB,30,1990,17,17,1530,17.0,26,1.53,69,44,65.2,4,5,8,3,17.6,2,2,0,0,0.0,Matches
3,Facundo Altamirano,ar ARG,GK,Banfield,24,1996,17,17,1530,17.0,19,1.12,71,53,77.5,2,9,6,6,35.3,3,3,0,0,0.0,Matches
4,Mariano Andújar,ar ARG,GK,Estudiantes–LP,37,1983,25,25,2250,25.0,31,1.24,86,56,68.6,10,9,6,6,24.0,5,4,1,0,20.0,Matches
5,Gabriel Arias,cl CHI,GK,Racing Club,33,1987,20,20,1800,20.0,19,0.95,69,49,72.5,5,7,8,9,45.0,1,0,1,0,100.0,Matches
6,Franco Armani,ar ARG,GK,River Plate,34,1986,21,21,1890,21.0,16,0.76,60,44,76.7,14,4,3,10,47.6,2,2,0,0,0.0,Matches
7,Enrique Bologna,ar ARG,GK,River Plate,38,1982,4,4,360,4.0,3,0.75,11,8,72.7,2,2,0,1,25.0,0,0,0,0,,Matches
8,Jorge Broun,ar ARG,GK,Rosario Central,34,1986,18,18,1569,17.4,27,1.55,105,79,74.3,8,3,7,2,11.1,0,0,0,0,,Matches
9,Leonardo Burián,uy URU,GK,Colón,37,1984,23,23,2070,23.0,26,1.13,91,65,73.6,10,6,7,9,39.1,5,2,2,1,50.0,Matches
10,Facundo Cambeses,ar ARG,GK,Banfield,23,1997,8,8,720,8.0,6,0.75,23,18,73.9,3,3,2,4,50.0,1,0,1,0,100.0,Matches
11,Lucas Chávez,ar ARG,GK,Arg Juniors,25,1995,11,11,938,10.4,8,0.77,32,25,84.4,3,5,3,4,36.4,3,3,0,0,0.0,Matches
12,Ignacio Chicco,ar ARG,GK,Colón,24,1996,2,2,180,2.0,5,2.50,14,9,64.3,1,0,1,0,0.0,0,0,0,0,,Matches
13,Jorge De Olivera,ar ARG,GK,Platense,38,1982,10,10,847,9.4,16,1.70,36,20,58.3,3,3,4,0,0.0,1,1,0,0,0.0,Matches
14,José Devecchi,ar ARG,GK,Aldosivi,25,1995,25,25,2250,25.0,39,1.56,144,102,74.3,10,3,12,8,32.0,7,2,3,2,60.0,Matches
15,Tomás Durso,ar ARG,GK,Gimnasia–LP,21,1999,1,0,27,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
16,Juan Espínola,py PAR,GK,Godoy Cruz,26,1994,23,23,2070,23.0,29,1.26,88,61,71.6,8,6,9,5,21.7,5,4,0,1,0.0,Matches
17,Gastón Gómez,ar ARG,GK,Racing Club,24,1996,5,5,450,5.0,4,0.80,23,18,82.6,3,1,1,1,20.0,1,0,1,0,100.0,Matches
18,Marcos Guillermo Díaz,ar ARG,GK,Huracán,34,1986,25,25,2250,25.0,25,1.00,105,80,79.0,10,8,7,8,32.0,3,3,0,0,0.0,Matches
19,Javier Hernán García,ar ARG,GK,Boca Juniors,34,1987,2,2,180,2.0,2,1.00,11,9,81.8,1,1,0,0,0.0,0,0,0,0,,Matches
20,Guido Herrera,ar ARG,GK,Talleres,28,1992,25,25,2250,25.0,28,1.12,97,70,75.3,14,4,7,10,40.0,4,4,0,0,0.0,Matches
21,Lucas Hoyos,ar ARG,GK,Vélez Sarsfield,31,1989,24,24,2160,24.0,18,0.75,72,55,80.6,10,9,5,11,45.8,4,4,0,0,0.0,Matches
22,Matías Ibáñez,ar ARG,GK,Patronato,34,1986,23,23,2070,23.0,35,1.52,96,60,64.6,5,8,10,7,30.4,2,1,1,0,50.0,Matches
23,Carlos Lampe,bo BOL,GK,Vélez Sarsfield,33,1987,1,1,90,1.0,3,3.00,9,5,66.7,0,0,1,0,0.0,1,0,1,0,100.0,Matches
24,Federico Lanzillota,ar ARG,GK,Arg Juniors,28,1992,15,14,1312,14.6,17,1.17,58,41,70.7,5,3,6,6,42.9,0,0,0,0,,Matches
25,Agustín Lastra,ar ARG,GK,Boca Juniors,20,2001,2,2,180,2.0,2,1.00,4,2,75.0,0,1,1,1,50.0,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Cristian Lucchetti,ar ARG,GK,Atlé Tucumán,42,1978,25,25,2250,25.0,46,1.84,110,63,60.9,5,7,13,5,20.0,4,3,1,0,25.0,Matches
27,Ramiro Macagno,ar ARG,GK,Newell's OB,23,1997,8,8,720,8.0,6,0.75,20,14,70.0,3,2,3,5,62.5,0,0,0,0,,Matches
28,Matías Mansilla,ar ARG,GK,Patronato,24,1996,2,2,180,2.0,0,0.00,6,5,100.0,0,2,0,2,100.0,1,0,1,0,100.0,Matches
