rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,21,2000,16.6,419,551,76.0,6459,1684,233,277,135,172,32,53,3,1.6,1.3,+1.4,14,39,8,2,54,Matches
2,Jonás Acevedo,ar ARG,"MF,FW",Huracán,23,1997,10.0,250,370,67.6,4496,1515,117,140,78,108,43,94,3,1.3,1.3,+1.7,17,26,14,6,35,Matches
3,Lucas Acevedo,ar ARG,DF,Platense,29,1991,10.1,162,288,56.3,3607,1441,42,63,85,123,33,89,0,0.1,0.0,-0.1,1,9,0,0,10,Matches
4,Nelson Acevedo,ar ARG,MF,Godoy Cruz,32,1988,20.3,850,1121,75.8,16800,7806,315,380,387,459,134,218,2,2.2,2.3,-0.2,30,154,24,1,181,Matches
5,Patricio Acevedo,ar ARG,DF,Newell's OB,18,2002,0.7,20,27,74.1,333,136,7,10,12,14,1,2,0,0.1,0.0,-0.1,2,2,0,0,4,Matches
6,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,32,1988,15.6,662,838,79.0,10871,3346,339,393,226,287,69,98,1,0.8,1.1,+0.2,14,65,11,2,85,Matches
7,Lautaro Acosta,ar ARG,MF,Lanús,32,1988,15.0,258,392,65.8,3024,915,179,242,54,88,5,9,1,1.2,1.2,-0.2,13,22,11,4,36,Matches
8,Lucas Acosta,ar ARG,GK,Lanús,25,1995,13.0,335,503,66.6,10174,7714,61,61,142,146,128,290,0,0.3,0.0,-0.3,1,7,1,0,0,Matches
9,Luis Advíncula,pe PER,DF,Boca Juniors,30,1990,11.6,483,623,77.5,7909,2864,252,280,176,223,42,80,1,0.9,0.6,+0.1,5,35,5,2,47,Matches
10,Alan Aguerre,ar ARG,GK,Newell's OB,30,1990,17.0,375,552,67.9,12895,9884,31,31,166,167,178,353,0,0.0,0.1,0.0,1,10,2,0,0,Matches
11,Braian Aguirre,ar ARG,DF,Lanús,20,2000,19.9,700,1004,69.7,12967,6654,298,364,317,422,75,155,1,1.0,1.6,0.0,10,62,18,6,78,Matches
12,Matías Aguirregaray,uy URU,"DF,MF",Estudiantes–LP,31,1989,11.1,354,470,75.3,6266,2697,173,195,134,179,39,69,0,0.8,1.2,-0.8,7,21,9,2,35,Matches
13,Jorge Agustín Rodríguez,ar ARG,MF,Estudiantes–LP,25,1995,15.0,579,741,78.1,10993,4326,220,275,276,315,71,125,1,1.0,0.8,0.0,6,55,7,1,76,Matches
14,Gabriel Alanís,ar ARG,"DF,MF",Sarmiento,26,1994,21.8,515,760,67.8,9194,3349,228,279,205,275,65,143,2,1.9,2.1,+0.1,30,27,23,19,47,Matches
15,Nicolás Albarracín,uy URU,"MF,FW",Patronato,27,1993,0.9,25,40,62.5,367,80,16,19,8,15,1,3,0,0.0,0.0,0.0,1,3,0,0,5,Matches
16,Lucas Albertengo,ar ARG,FW,Arsenal,30,1991,15.5,215,350,61.4,2550,536,152,210,39,73,7,21,1,2.1,1.4,-1.1,18,12,5,2,18,Matches
17,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,20,2000,4.1,96,119,80.7,1904,729,30,34,50,57,12,19,0,0.0,0.0,0.0,1,4,0,0,6,Matches
18,Carlos Alcaraz,ar ARG,"MF,FW",Racing Club,18,2002,9.8,286,362,79.0,4877,1209,138,155,115,141,25,37,2,1.5,1.2,+0.5,9,34,3,0,46,Matches
19,Brahian Alemán,uy URU,"MF,FW",Gimnasia–LP,31,1989,18.0,473,734,64.4,8989,3321,211,256,156,222,84,189,3,1.8,1.8,+1.2,25,65,15,3,91,Matches
20,Rodrigo Aliendro,ar ARG,MF,Colón,29,1991,21.8,760,1004,75.7,13733,4956,316,381,327,388,90,134,0,1.5,1.4,-1.5,12,109,20,2,167,Matches
21,Facundo Almada,ar ARG,DF,Rosario Central,22,1998,21.0,804,981,82.0,17171,6295,230,255,437,487,128,206,0,0.3,0.1,-0.3,5,43,1,1,67,Matches
22,Thiago Almada,ar ARG,MF,Vélez Sarsfield,19,2001,18.2,740,907,81.6,12457,2923,362,413,274,314,77,122,4,3.1,3.7,+0.9,42,98,32,3,116,Matches
23,Agustín Almendra,ar ARG,MF,Boca Juniors,20,2000,10.6,623,763,81.7,11957,3604,265,305,236,276,104,145,1,2.9,1.6,-1.9,23,102,13,2,95,Matches
24,Ezequiel Almirón,ar ARG,FW,Boca Juniors,18,2002,0.3,3,6,50.0,19,0,2,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
25,Facundo Altamira,,FW,Godoy Cruz,,,1.7,19,31,61.3,243,70,11,15,6,6,0,2,0,0.0,0.1,0.0,0,1,1,1,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Facundo Altamirano,ar ARG,GK,Banfield,24,1996,17.0,283,431,65.7,9578,7364,45,45,102,102,131,277,0,0.1,0.1,-0.1,1,21,0,0,0,Matches
27,Juan Álvarez,ar ARG,"FW,MF",Banfield,24,1996,21.2,399,643,62.1,6987,2202,193,250,137,210,55,107,1,3.2,3.4,-2.2,34,32,34,18,54,Matches
28,Julián Álvarez,ar ARG,FW,River Plate,21,2000,17.7,476,732,65.0,7872,1660,271,333,121,189,63,131,6,5.5,4.9,+0.5,45,33,17,4,55,Matches
29,Ricky Álvarez,ar ARG,MF,Vélez Sarsfield,32,1988,1.8,99,130,76.2,1778,518,43,48,39,45,13,26,0,0.1,0.3,-0.1,1,10,1,0,11,Matches
30,Iván Alvariño,ar ARG,FW,Boca Juniors,19,2001,0.1,2,3,66.7,14,9,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
31,Lucas Ambrogio,ar ARG,DF,Arg Juniors,21,1999,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
32,Federico Andrada,ar ARG,FW,Aldosivi,26,1994,11.0,192,271,70.8,3047,523,98,125,64,85,20,32,2,0.7,0.7,+1.3,10,13,7,3,18,Matches
33,Juan Andrada,ar ARG,MF,Arsenal,26,1995,3.6,128,172,74.4,2550,820,49,62,57,68,21,37,0,0.0,0.1,0.0,0,17,0,0,17,Matches
34,Fernando Andrés Márquez,ar ARG,FW,Unión,33,1987,9.9,224,359,62.4,3359,998,124,178,70,111,14,28,1,1.4,1.6,-0.4,13,35,12,3,44,Matches
35,Federico Andueza,uy URU,DF,Cen. Córdoba–SdE,23,1997,10.2,292,371,78.7,6359,2934,72,84,166,192,48,80,0,0.0,0.0,0.0,2,17,0,0,29,Matches
36,Mariano Andújar,ar ARG,GK,Estudiantes–LP,37,1983,25.0,556,918,60.6,17983,15098,91,91,209,217,255,608,0,0.0,0.1,0.0,0,17,1,0,0,Matches
