rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,21,2000,16.6,551,542,9,3,3,11,18,6,0,0,0,0,419,0,12,Matches
2,Jonás Acevedo,ar ARG,"MF,FW",Huracán,23,1997,10.0,370,305,64,21,0,0,87,9,33,13,17,0,250,1,15,Matches
3,Lucas Acevedo,ar ARG,DF,Platense,29,1991,10.1,288,268,18,16,0,4,0,2,0,0,0,0,162,2,3,Matches
4,Nelson Acevedo,ar ARG,MF,Godoy Cruz,32,1988,20.3,1121,1028,82,76,14,14,2,6,0,0,0,0,850,11,26,Matches
5,Patricio Acevedo,ar ARG,DF,Newell's OB,18,2002,0.7,27,18,9,0,0,0,0,9,0,0,0,0,20,0,0,Matches
6,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,32,1988,15.6,838,792,40,25,1,12,31,8,6,1,5,0,662,6,17,Matches
7,Lautaro Acosta,ar ARG,MF,Lanús,32,1988,15.0,392,386,4,1,0,0,20,3,0,0,0,0,258,2,16,Matches
8,Lucas Acosta,ar ARG,GK,Lanús,25,1995,13.0,503,307,194,60,0,2,0,0,0,0,0,0,335,2,0,Matches
9,Luis Advíncula,pe PER,DF,Boca Juniors,30,1990,11.6,623,489,133,3,0,7,28,130,0,0,0,0,483,1,17,Matches
10,Alan Aguerre,ar ARG,GK,Newell's OB,30,1990,17.0,552,338,213,61,0,0,0,0,0,0,0,0,375,1,0,Matches
11,Braian Aguirre,ar ARG,DF,Lanús,20,2000,19.9,1004,752,246,11,0,3,46,235,0,0,0,0,700,6,28,Matches
12,Matías Aguirregaray,uy URU,"DF,MF",Estudiantes–LP,31,1989,11.1,470,359,107,14,0,6,16,92,1,0,1,0,354,4,11,Matches
13,Jorge Agustín Rodríguez,ar ARG,MF,Estudiantes–LP,25,1995,15.0,741,697,44,42,2,5,3,2,0,0,0,0,579,0,8,Matches
14,Gabriel Alanís,ar ARG,"DF,MF",Sarmiento,26,1994,21.8,760,595,161,20,0,6,105,115,26,3,18,0,515,4,33,Matches
15,Nicolás Albarracín,uy URU,"MF,FW",Patronato,27,1993,0.9,40,35,4,2,0,0,4,1,1,0,1,0,25,1,1,Matches
16,Lucas Albertengo,ar ARG,FW,Arsenal,30,1991,15.5,350,332,15,0,0,2,22,1,0,0,0,0,215,3,13,Matches
17,Camilo Albornoz,ar ARG,DF,Atlé Tucumán,20,2000,4.1,119,113,6,5,0,2,1,1,0,0,0,0,96,0,2,Matches
18,Carlos Alcaraz,ar ARG,"MF,FW",Racing Club,18,2002,9.8,362,338,22,10,1,5,16,4,8,3,4,0,286,2,11,Matches
19,Brahian Alemán,uy URU,"MF,FW",Gimnasia–LP,31,1989,18.0,734,633,93,49,3,17,88,8,33,17,15,0,473,8,24,Matches
20,Rodrigo Aliendro,ar ARG,MF,Colón,29,1991,21.8,1004,946,51,24,2,15,12,25,1,0,1,0,760,7,44,Matches
21,Facundo Almada,ar ARG,DF,Rosario Central,22,1998,21.0,981,947,31,27,0,25,1,4,0,0,0,0,804,3,10,Matches
22,Thiago Almada,ar ARG,MF,Vélez Sarsfield,19,2001,18.2,907,842,62,26,9,12,59,5,27,11,15,0,740,3,16,Matches
23,Agustín Almendra,ar ARG,MF,Boca Juniors,20,2000,10.6,763,730,31,12,2,21,25,3,15,9,6,0,623,2,11,Matches
24,Ezequiel Almirón,ar ARG,FW,Boca Juniors,18,2002,0.3,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
25,Facundo Altamira,,FW,Godoy Cruz,,,1.7,31,30,1,0,0,0,5,1,0,0,0,0,19,0,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Facundo Altamirano,ar ARG,GK,Banfield,24,1996,17.0,431,249,180,19,0,0,0,0,0,0,0,0,283,2,0,Matches
27,Juan Álvarez,ar ARG,"FW,MF",Banfield,24,1996,21.2,643,595,44,16,3,2,128,8,20,2,16,0,399,4,41,Matches
28,Julián Álvarez,ar ARG,FW,River Plate,21,2000,17.7,732,614,113,8,4,15,114,12,80,34,27,0,476,5,34,Matches
29,Ricky Álvarez,ar ARG,MF,Vélez Sarsfield,32,1988,1.8,130,107,22,10,0,2,14,2,10,4,5,0,99,1,6,Matches
30,Iván Alvariño,ar ARG,FW,Boca Juniors,19,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
31,Lucas Ambrogio,ar ARG,DF,Arg Juniors,21,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Federico Andrada,ar ARG,FW,Aldosivi,26,1994,11.0,271,257,12,1,1,3,18,2,2,1,0,0,192,2,11,Matches
33,Juan Andrada,ar ARG,MF,Arsenal,26,1995,3.6,172,162,9,8,0,5,3,0,1,0,1,0,128,1,2,Matches
34,Fernando Andrés Márquez,ar ARG,FW,Unión,33,1987,9.9,359,334,22,1,2,6,13,3,0,0,0,0,224,3,9,Matches
35,Federico Andueza,uy URU,DF,Cen. Córdoba–SdE,23,1997,10.2,371,357,13,11,0,5,1,1,0,0,0,0,292,1,3,Matches
36,Mariano Andújar,ar ARG,GK,Estudiantes–LP,37,1983,25.0,918,581,336,136,0,1,0,0,0,0,0,0,556,1,0,Matches
37,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,32,1988,14.8,1072,991,78,74,0,21,2,4,0,0,0,0,906,3,2,Matches
38,Fabrizio Angileri,ar ARG,DF,River Plate,26,1994,9.4,670,548,119,12,1,6,80,90,17,2,14,0,505,3,19,Matches
