rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Luciano Abecasis,ar ARG,DF,Banfield,31,1990,12.8,8,1,1,23,18,0,59,15,18,0,0,1,93,9,15,37.5,Matches
2,Ramón Ábila,ar ARG,FW,Colón,32,1989,21.8,8,1,1,18,13,45,8,1,3,1,0,0,25,13,29,31.0,Matches
3,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,22,2000,18.9,2,0,0,15,7,1,15,14,20,0,0,0,127,50,49,50.5,Matches
4,Jonás Acevedo,ar ARG,MF,Patronato,24,1997,19.9,4,0,0,24,38,4,76,10,7,0,0,0,133,10,20,33.3,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,30,1991,6.6,2,0,0,9,3,2,0,4,5,0,0,0,38,33,13,71.7,Matches
6,Nelson Acevedo,ar ARG,MF,Godoy Cruz,33,1988,9.7,5,0,0,14,21,0,2,23,16,0,0,0,90,8,3,72.7,Matches
7,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,33,1988,24.7,12,0,0,34,24,0,5,38,31,0,0,0,248,28,28,50.0,Matches
8,Lautaro Acosta,ar ARG,"FW,MF",Lanús,33,1988,19.5,6,0,0,27,67,10,13,10,19,0,0,0,104,25,41,37.9,Matches
9,Gustavo Adrián Ramírez,py PAR,"FW,MF",Rosario Central,31,1990,1.5,2,0,0,3,2,1,1,1,1,0,0,0,3,6,10,37.5,Matches
10,Luis Advíncula,pe PER,DF,Boca Juniors,31,1990,20.0,8,0,0,29,25,0,26,18,25,0,2,0,95,13,16,44.8,Matches
11,Facundo Aguero,ar ARG,DF,Unión,27,1995,9.5,2,0,0,7,3,1,3,6,6,0,0,0,41,21,15,58.3,Matches
12,Alan Aguerre,ar ARG,GK,Talleres,31,1990,5.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
13,Brian Aguilar,ar ARG,DF,Lanús,18,2003,1.4,2,1,1,4,0,0,0,2,1,0,0,0,9,3,2,60.0,Matches
14,Felipe Aguilar,co COL,DF,Lanús,29,1993,4.2,1,0,0,5,6,0,2,12,6,0,0,0,23,12,15,44.4,Matches
15,Braian Aguirre,ar ARG,"DF,MF",Lanús,21,2000,15.7,7,0,0,33,20,3,73,12,36,0,0,0,116,17,24,41.5,Matches
16,Brian Aguirre,ar ARG,"FW,MF",Newell's OB,18,2003,7.7,1,0,0,9,21,0,32,7,11,0,0,0,40,6,11,35.3,Matches
17,Manuel Agustín Duarte,ar ARG,"MF,FW",Defensa y Just,20,2001,13.2,1,0,0,8,20,0,31,17,26,0,1,0,91,5,19,20.8,Matches
18,Jorge Agustín Rodríguez,ar ARG,MF,Estudiantes–LP,26,1995,22.4,5,0,0,32,24,0,10,48,40,0,0,0,247,61,28,68.5,Matches
19,Gabriel Alanís,ar ARG,"FW,MF",Defensa y Just,27,1994,17.1,3,1,1,21,9,3,59,11,23,0,0,0,90,20,37,35.1,Matches
