rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Luciano Abecasis,ar ARG,DF,Banfield,31,1990,12.8,0,2,1,50.0,0.16,0.08,0.00,0.00,20.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2,Ramón Ábila,ar ARG,FW,Colón,32,1989,21.8,8,49,10,20.4,2.25,0.46,0.14,0.70,12.5,0,1,1,11.2,10.4,0.21,-3.2,-3.4,Matches
3,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,22,2000,18.9,2,19,6,31.6,1.01,0.32,0.11,0.33,21.4,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
4,Jonás Acevedo,ar ARG,MF,Patronato,24,1997,19.9,5,37,11,29.7,1.86,0.55,0.08,0.27,26.2,6,2,2,3.6,2.0,0.05,+1.4,+1.0,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,30,1991,6.6,0,12,3,25.0,1.83,0.46,0.00,0.00,12.6,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
6,Nelson Acevedo,ar ARG,MF,Godoy Cruz,33,1988,9.7,0,3,0,0.0,0.31,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
7,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,33,1988,24.7,0,13,4,30.8,0.53,0.16,0.00,0.00,26.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
8,Lautaro Acosta,ar ARG,"FW,MF",Lanús,33,1988,19.5,4,27,9,33.3,1.39,0.46,0.15,0.44,14.0,0,0,0,3.7,3.7,0.14,+0.3,+0.3,Matches
9,Gustavo Adrián Ramírez,py PAR,"FW,MF",Rosario Central,31,1990,1.5,0,4,2,50.0,2.65,1.32,0.00,0.00,12.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
10,Luis Advíncula,pe PER,DF,Boca Juniors,31,1990,20.0,0,7,2,28.6,0.35,0.10,0.00,0.00,25.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
11,Facundo Aguero,ar ARG,DF,Unión,27,1995,9.5,1,8,4,50.0,0.84,0.42,0.13,0.25,10.9,0,0,0,1.4,1.4,0.17,-0.4,-0.4,Matches
12,Alan Aguerre,ar ARG,GK,Talleres,31,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Brian Aguilar,ar ARG,DF,Lanús,18,2003,1.4,0,1,0,0.0,0.74,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
14,Felipe Aguilar,co COL,DF,Lanús,29,1993,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,11.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
