wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
1,Fri,2022-06-03,20:00 (01:00),Barracas Central,2.3,1–1,0.8,Cen. Córdoba–SdE,,Estadio Claudio Fabián Tapia,Darío Herrera,Match Report,
1,Sat,2022-06-04,12:00 (17:00),Atlé Tucumán,1.6,1–1,1.7,Colón,,Estadio Monumental Presidente José Fierr...,Nicolás Lamolina,Match Report,
1,Sat,2022-06-04,14:00 (19:00),San Lorenzo,0.9,1–1,2.4,Independiente,,Estadio Pedro Bidegaín,Andrés Merlos,Match Report,
1,Sat,2022-06-04,16:30 (21:30),Banfield,1.4,1–2,1.1,Newell's OB,,Estadio Florencio Solá,Fernando Echenique,Match Report,
1,Sat,2022-06-04,19:00 (00:00),Platense,2.2,2–1,1.2,Godoy Cruz,,Estadio Ciudad de Vicente López,Mauro Vigliano,Match Report,
1,Sat,2022-06-04,19:00 (00:00),Patronato,1.5,1–1,0.4,Vélez Sarsfield,,Estadio Presbítero Bartolomé Grella,Jorge Baliño,Match Report,
1,Sun,2022-06-05,13:00 (18:00),Unión,1.2,1–2,0.5,Tigre,,Estadio 15 de Abril,Ariel Penel,Match Report,
1,Sun,2022-06-05,13:00 (18:00),Talleres,1.5,2–0,0.6,Sarmiento,,Estadio Mario Alberto Kempes,Yael Falcón,Match Report,
1,Sun,2022-06-05,17:00 (22:00),Estudiantes–LP,1.7,1–1,0.4,Gimnasia–LP,,Estadio Jorge Luis Hirschi,Patricio Loustau,Match Report,
1,Sun,2022-06-05,19:30 (00:30),Boca Juniors,1.5,2–1,0.8,Arsenal,,Estadio Alberto José Armando,Fernando Espinoza,Match Report,
1,Sat,2022-06-04,21:30 (02:30),Racing Club,1.8,2–0,0.1,Huracán,,Estadio Presidente Juan Domingo Perón,Pablo Echavarría,Match Report,
1,Mon,2022-06-06,19:00 (00:00),Rosario Central,1.2,0–0,1.0,Lanús,,Estadio Dr. Lisandro de la Torre,Pablo Dóvalo,Match Report,
1,Sun,2022-06-05,21:30 (02:30),Defensa y Just,1.0,0–0,0.8,River Plate,,Estadio Norberto Tito Tomaghello,Facundo Tello,Match Report,
1,Mon,2022-06-06,21:30 (02:30),Arg Juniors,1.2,2–1,1.3,Aldosivi,,Estadio Diego Armando Maradona,Silvio Trucco,Match Report,
2,Thu,2022-06-09,20:00 (01:00),Newell's OB,1.2,0–0,0.1,San Lorenzo,,Estadio Marcelo Alberto Bielsa,Silvio Trucco,Match Report,
2,Fri,2022-06-10,16:30 (21:30),Gimnasia–LP,1.7,2–0,0.5,Patronato,,Estadio Juan Carmelo Zerillo,Nicolás Lamolina,Match Report,
2,Fri,2022-06-10,19:00 (00:00),Lanús,1.3,1–1,0.5,Defensa y Just,,Estadio Ciudad de Lanús,Fernando Echenique,Match Report,
2,Fri,2022-06-10,19:00 (00:00),Aldosivi,1.1,0–1,1.4,Estudiantes–LP,,Estadio José María Minella,Leandro Rey Hilfer,Match Report,
2,Sat,2022-06-11,15:30 (20:30),Arsenal,0.7,0–0,0.6,Banfield,,Estadio Julio Humberto Grondona,Nazareno Arasa,Match Report,
2,Sat,2022-06-11,15:30 (20:30),Tigre,1.2,1–1,0.2,Barracas Central,,Estadio José Dellagiovanna,Yael Falcón,Match Report,
2,Sat,2022-06-11,18:00 (23:00),Sarmiento,0.7,1–0,0.6,Arg Juniors,,Estadio Eva Peron de Junín,Andrés Merlos,Match Report,
2,Sat,2022-06-11,20:30 (01:30),River Plate,1.3,0–0,0.1,Atlé Tucumán,,Estadio Monumental Antonio Vespucio Libe...,Fernando Espinoza,Match Report,
2,Fri,2022-06-10,21:30 (02:30),Independiente,0.7,1–0,1.0,Talleres,,Estadio Libertadores de América,Fernando Rapallini,Match Report,
2,Fri,2022-06-10,21:30 (02:30),Huracán,1.0,2–0,0.4,Rosario Central,,Estadio Tomás Adolfo Ducó,Germán Delfino,Match Report,
2,Sun,2022-06-12,13:00 (18:00),Colón,3.2,2–2,1.3,Unión,,Estadio Brigadier General Estanislao Lóp...,Darío Herrera,Match Report,
2,Sun,2022-06-12,15:30 (20:30),Godoy Cruz,1.2,2–0,0.6,Racing Club,,Estadio Feliciano Gambarte,Facundo Tello,Match Report,
2,Sun,2022-06-12,18:00 (23:00),Vélez Sarsfield,1.0,0–1,0.7,Platense,,Estadio José Amalfitani,Patricio Loustau,Match Report,
2,Sun,2022-06-12,20:30 (01:30),Cen. Córdoba–SdE,1.0,1–0,1.3,Boca Juniors,,Estadio Victor Antonio Aguirre,Pablo Echavarría,Match Report,
3,Tue,2022-06-14,15:00 (20:00),San Lorenzo,2.4,3–3,1.5,Arsenal,,Estadio Pedro Bidegaín,Darío Herrera,Match Report,
3,Tue,2022-06-14,19:00 (00:00),Talleres,1.6,0–1,1.5,Newell's OB,,Estadio Mario Alberto Kempes,Mauro Vigliano,Match Report,
3,Tue,2022-06-14,19:00 (00:00),Patronato,0.9,1–0,0.4,Aldosivi,,Estadio Presbítero Bartolomé Grella,Pablo Echavarría,Match Report,
3,Wed,2022-06-15,14:00 (19:00),Barracas Central,2.3,1–2,1.2,Unión,,Estadio Claudio Fabián Tapia,Andrés Merlos,Match Report,
3,Wed,2022-06-15,16:30 (21:30),Banfield,1.5,2–1,2.0,Cen. Córdoba–SdE,,Estadio Florencio Solá,Fernando Espinoza,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
3,Wed,2022-06-15,16:30 (21:30),Atlé Tucumán,1.4,2–1,0.4,Lanús,,Estadio Monumental Presidente José Fierr...,Fernando Rapallini,Match Report,
3,Wed,2022-06-15,19:00 (00:00),Colón,1.0,1–0,1.5,River Plate,,Estadio Brigadier General Estanislao Lóp...,Patricio Loustau,Match Report,
3,Tue,2022-06-14,21:30 (02:30),Estudiantes–LP,1.6,2–1,1.3,Sarmiento,,Estadio Jorge Luis Hirschi,Sebastían Zunino,Match Report,
3,Tue,2022-06-14,21:30 (02:30),Defensa y Just,0.8,1–1,1.2,Huracán,,Estadio Norberto Tito Tomaghello,Nazareno Arasa,Match Report,
3,Thu,2022-06-16,19:00 (00:00),Rosario Central,2.6,1–0,0.5,Godoy Cruz,,Estadio Dr. Lisandro de la Torre,Ariel Penel,Match Report,
3,Thu,2022-06-16,19:00 (00:00),Arg Juniors,0.5,2–1,1.1,Independiente,,Estadio Diego Armando Maradona,Yael Falcón,Match Report,
3,Wed,2022-06-15,21:30 (02:30),Boca Juniors,0.9,5–3,2.3,Tigre,,Estadio Alberto José Armando,Jorge Baliño,Match Report,
3,Thu,2022-06-16,21:30 (02:30),Platense,1.1,1–1,1.0,Gimnasia–LP,,Estadio Ciudad de Vicente López,Facundo Tello,Match Report,
3,Thu,2022-06-16,21:30 (02:30),Racing Club,1.0,2–0,0.5,Vélez Sarsfield,,Estadio Presidente Juan Domingo Perón,Hernán Mastrángelo,Match Report,
4,Sat,2022-06-18,18:00 (23:00),Arsenal,2.0,1–1,0.6,Talleres,,Estadio Julio Humberto Grondona,Luis Lobo Medina,Match Report,
4,Sat,2022-06-18,20:30 (01:30),Sarmiento,2.5,3–1,1.4,Patronato,,Estadio Eva Peron de Junín,Darío Herrera,Match Report,
4,Sun,2022-06-19,13:00 (18:00),Tigre,0.9,0–1,1.1,Banfield,,Estadio José Dellagiovanna,Andrés Merlos,Match Report,
4,Sun,2022-06-19,15:30 (20:30),Lanús,1.6,1–0,1.1,Colón,,Estadio Ciudad de Lanús,Leandro Rey Hilfer,Match Report,
4,Sun,2022-06-19,15:30 (20:30),Huracán,1.2,0–0,0.3,Atlé Tucumán,,Estadio Tomás Adolfo Ducó,Ariel Penel,Match Report,
4,Sun,2022-06-19,18:00 (23:00),Unión,1.4,1–5,2.7,River Plate,,Estadio 15 de Abril,Pablo Echavarría,Match Report,
4,Mon,2022-06-20,16:30 (21:30),Godoy Cruz,0.9,2–1,1.2,Defensa y Just,,Estadio Malvinas Argentinas,Carlos Gareano,Match Report,
4,Mon,2022-06-20,19:00 (00:00),Gimnasia–LP,1.8,3–1,1.1,Racing Club,,Estadio Juan Carmelo Zerillo,Yael Falcón,Match Report,
4,Mon,2022-06-20,19:00 (00:00),Vélez Sarsfield,2.3,2–0,1.0,Rosario Central,,Estadio José Amalfitani,Fernando Espinoza,Match Report,
4,Sun,2022-06-19,21:30 (02:30),Barracas Central,0.4,1–3,2.2,Boca Juniors,,Estadio Claudio Fabián Tapia,Patricio Loustau,Match Report,
4,Tue,2022-06-21,19:00 (00:00),Aldosivi,0.8,0–0,0.9,Platense,,Estadio José María Minella,Nazareno Arasa,Match Report,
4,Mon,2022-06-20,21:30 (02:30),Newell's OB,0.9,1–0,0.6,Arg Juniors,,Estadio Marcelo Alberto Bielsa,Nicolás Lamolina,Match Report,
4,Mon,2022-06-20,21:30 (02:30),Independiente,1.6,2–1,1.2,Estudiantes–LP,,Estadio Libertadores de América,Hernán Mastrángelo,Match Report,
4,Tue,2022-06-21,21:30 (02:30),Cen. Córdoba–SdE,0.6,0–2,1.5,San Lorenzo,,Estadio Único Madre de Ciudades,Germán Delfino,Match Report,
5,Fri,2022-06-24,19:00 (00:00),Rosario Central,0.8,0–1,0.8,Gimnasia–LP,,Estadio Dr. Lisandro de la Torre,Patricio Loustau,Match Report,
5,Fri,2022-06-24,19:00 (00:00),Banfield,1.8,1–1,0.1,Barracas Central,,Estadio Florencio Solá,Pablo Dóvalo,Match Report,
5,Sat,2022-06-25,15:30 (20:30),Defensa y Just,1.5,1–1,0.7,Vélez Sarsfield,,Estadio Norberto Tito Tomaghello,Nicolás Lamolina,Match Report,
5,Sat,2022-06-25,15:30 (20:30),Talleres,0.5,0–2,2.2,Cen. Córdoba–SdE,,Estadio Mario Alberto Kempes,Andrés Merlos,Match Report,
5,Sat,2022-06-25,18:00 (23:00),Colón,1.0,0–1,0.6,Huracán,,Estadio Brigadier General Estanislao Lóp...,Pablo Echavarría,Match Report,
5,Sat,2022-06-25,18:00 (23:00),Estudiantes–LP,1.1,0–2,1.0,Newell's OB,,Estadio Jorge Luis Hirschi,Jorge Baliño,Match Report,
5,Sat,2022-06-25,20:30 (01:30),River Plate,0.5,2–1,1.0,Lanús,,Estadio Monumental Antonio Vespucio Libe...,Darío Herrera,Match Report,
5,Fri,2022-06-24,21:30 (02:30),Boca Juniors,1.4,1–2,1.9,Unión,,Estadio Alberto José Armando,Yael Falcón,Match Report,
5,Sun,2022-06-26,13:00 (18:00),San Lorenzo,1.4,1–1,0.6,Tigre,,Estadio Pedro Bidegaín,Ariel Penel,Match Report,
5,Sun,2022-06-26,15:30 (20:30),Platense,1.1,0–0,0.5,Sarmiento,,Estadio Ciudad de Vicente López,Silvio Trucco,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
