rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Ramón Ábila,ar ARG,FW,Colón,33,1989,17.5,459,12,16,187,260,84,458,33,12,36.4,16,48.5,289,1077,439,19,13,11,39,18,354,107,Matches
2,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,23,2000,23.7,1146,28,187,691,286,30,1146,69,37,53.6,32,46.4,622,3086,1238,24,22,4,54,24,698,78,Matches
3,Jonás Acevedo,ar ARG,"MF,FW",Huracán,25,1997,9.4,571,1,38,273,272,20,571,42,15,35.7,23,54.8,312,1987,751,22,20,2,26,17,342,48,Matches
4,Lucas Acevedo,ar ARG,DF,Colón,31,1991,2.1,104,29,72,29,6,3,104,0,0,,0,,36,150,51,0,0,0,1,0,39,1,Matches
5,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,34,1988,20.8,1132,53,292,696,154,17,1132,19,10,52.6,6,31.6,504,2294,1081,18,8,1,21,8,595,26,Matches
6,Lautaro Acosta,ar ARG,MF,Lanús,34,1988,10.4,423,12,79,232,125,26,423,24,9,37.5,5,20.8,237,1236,657,19,12,2,21,15,249,26,Matches
7,Lucas Acosta,ar ARG,GK,Lanús,27,1995,18.0,591,449,589,2,0,0,591,0,0,,0,,327,2148,1547,0,0,0,0,0,230,0,Matches
8,Tomás Adoryán,am ARM,MF,Banfield,21,2001,0.4,27,0,3,16,8,3,27,0,0,,0,,12,54,21,1,0,1,2,0,18,2,Matches
9,Luis Advíncula,pe PER,"DF,FW",Boca Juniors,32,1990,16.0,980,32,225,509,255,21,980,34,15,44.1,15,44.1,559,2885,1450,33,24,4,24,17,632,81,Matches
10,Facundo Aguero,ar ARG,DF,Rosario Central,28,1995,1.4,84,9,35,45,4,2,84,0,0,,0,,36,205,94,1,0,0,3,1,43,0,Matches
11,Brian Aguilar,ar ARG,DF,Lanús,19,2003,0.6,22,5,15,4,3,1,22,0,0,,0,,7,31,17,0,0,0,0,0,8,0,Matches
12,Felipe Aguilar,co COL,DF,Lanús,30,1993,13.1,665,113,383,266,18,13,665,2,2,100.0,0,0.0,338,1685,1000,8,4,1,5,1,393,1,Matches
13,Emanuel Aguilera,ar ARG,DF,Tigre,33,1989,14.0,839,97,424,408,15,6,839,5,5,100.0,0,0.0,435,2274,1280,6,3,1,8,1,464,2,Matches
14,Braian Aguirre,ar ARG,DF,Lanús,22,2000,14.2,806,42,263,370,187,13,806,47,28,59.6,15,31.9,336,2190,1169,35,21,3,21,9,346,50,Matches
15,Brian Aguirre,ar ARG,FW,Newell's OB,19,2003,14.8,607,2,57,228,342,36,607,126,62,49.2,56,44.4,419,4066,2000,70,46,19,52,17,454,149,Matches
16,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Estudiantes–LP,27,1995,25.8,1858,97,521,1186,166,14,1858,24,19,79.2,4,16.7,947,3976,2186,25,21,1,27,18,1092,24,Matches
17,Gabriel Alanís,ar ARG,"FW,MF",Defensa y Just,28,1994,13.1,451,24,89,146,226,59,451,67,30,44.8,31,46.3,281,2355,1333,46,27,23,38,18,285,97,Matches
18,Maximiliano Alanís,ar ARG,DF,Atlé Tucumán,19,2003,0.0,2,0,0,0,2,0,2,0,0,,0,,1,0,0,0,0,0,1,0,2,0,Matches
19,Fernando Alarcón,ar ARG,DF,Instituto,28,1994,26.0,1293,166,686,546,73,34,1293,6,5,83.3,1,16.7,523,2598,1593,16,7,0,12,1,556,6,Matches
20,Lucas Albertengo,ar ARG,"FW,MF",Instituto,32,1991,2.4,125,4,10,69,48,14,125,8,4,50.0,4,50.0,63,263,97,4,4,0,12,2,93,18,Matches
21,Brahian Alemán,uy URU,MF,Banfield,33,1989,20.7,1172,34,175,586,423,21,1171,43,24,55.8,14,32.6,575,2501,991,15,24,1,55,54,665,77,Matches
22,Brian Alexis Leizza,ar ARG,DF,Tigre,22,2000,8.8,504,62,254,237,16,8,504,7,4,57.1,3,42.9,248,1256,832,4,3,0,3,2,280,0,Matches
23,Franco Alfonso,ar ARG,"FW,MF",River Plate,20,2002,0.9,65,0,6,21,40,6,65,5,1,20.0,4,80.0,46,236,72,3,5,1,4,8,48,16,Matches
24,Rodrigo Aliendro,ar ARG,MF,River Plate,31,1991,18.0,1381,25,224,901,267,31,1381,61,32,52.5,22,36.1,828,3238,1418,22,23,3,43,33,965,51,Matches
25,Tadeo Allende,ar ARG,"FW,MF",Godoy Cruz,23,1999,18.2,744,11,70,324,361,62,744,64,33,51.6,28,43.8,437,2532,1079,43,32,14,58,32,520,140,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Agustín Alonso,ar ARG,"FW,MF",Platense,21,2001,2.6,74,5,10,19,46,4,74,2,1,50.0,1,50.0,33,186,77,1,3,0,5,1,39,19,Matches
27,Facundo Altamira,,MF,Godoy Cruz,,,0.2,3,0,0,2,1,0,3,2,1,50.0,1,50.0,2,18,0,0,1,0,0,0,2,2,Matches
28,Facundo Altamirano,ar ARG,GK,San Lorenzo,26,1996,5.0,143,129,142,1,0,0,143,0,0,,0,,79,568,365,0,0,0,0,0,29,0,Matches
29,Fabio Álvarez,ar ARG,"MF,FW",Talleres,30,1993,0.7,70,0,5,51,14,2,70,1,1,100.0,0,0.0,49,209,140,2,2,0,2,2,56,4,Matches
30,Francisco Álvarez,ar ARG,DF,Barracas Central,22,2000,25.0,1282,163,731,511,55,30,1282,13,6,46.2,3,23.1,584,3557,2248,18,12,2,15,4,543,3,Matches
31,Juan Álvarez,ar ARG,"MF,FW",Colón,26,1996,15.2,763,21,134,373,271,29,763,62,31,50.0,27,43.5,441,3014,1262,41,28,8,24,31,428,91,Matches
32,Gonzalo Álvez,ar ARG,FW,Talleres,19,2003,2.0,96,0,16,31,49,2,96,4,0,0.0,4,100.0,64,302,136,5,1,0,6,1,70,23,Matches
33,Juan Andrada,ar ARG,MF,Godoy Cruz,28,1995,6.8,333,15,89,224,27,3,333,14,9,64.3,5,35.7,137,894,335,4,6,0,8,6,161,0,Matches
34,Mariano Andújar,ar ARG,GK,Estudiantes–LP,39,1983,25.0,715,609,714,1,0,0,715,0,0,,0,,325,1858,1194,0,0,0,0,0,210,0,Matches
35,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,34,1988,13.8,1078,110,527,539,25,1,1078,5,3,60.0,2,40.0,590,3563,2410,4,1,0,2,2,644,0,Matches
36,Aaron Anselmino,ar ARG,DF,Boca Juniors,17,2005,0.5,46,6,26,19,1,0,46,2,2,100.0,0,0.0,33,102,50,0,0,0,0,0,31,0,Matches
37,Dylan Aquino,ar ARG,"FW,MF",Lanús,17,2005,0.1,15,0,1,10,5,0,15,1,0,0.0,1,100.0,7,60,5,0,0,0,1,0,6,1,Matches
38,Pablo Aranda,ar ARG,DF,Lanús,21,2001,1.0,52,0,13,24,15,0,52,2,0,0.0,1,50.0,20,88,53,1,0,0,0,2,33,3,Matches
39,Carlos Arce,ar ARG,MF,Barracas Central,32,1990,16.5,881,63,232,569,88,12,881,9,3,33.3,6,66.7,346,1145,562,2,5,0,10,10,396,8,Matches
40,Ignacio Arce,ar ARG,GK,Platense,30,1992,5.0,187,119,182,5,0,0,187,0,0,,0,,97,618,378,0,0,0,1,0,65,0,Matches
41,Lucas Arce,ar ARG,DF,Godoy Cruz,25,1997,23.3,1442,64,395,660,400,18,1442,30,16,53.3,10,33.3,573,2946,1809,43,35,4,22,14,649,105,Matches
42,Gabriel Arias,cl CHI,GK,Racing Club,35,1987,23.7,779,634,775,4,0,0,779,0,0,,0,,372,1982,1438,0,0,0,0,0,273,0,Matches
43,Joaquín Ariel Novillo,ar ARG,DF,Huracán,24,1998,16.7,897,102,466,413,23,11,897,8,5,62.5,3,37.5,464,2350,1435,6,2,0,4,3,519,2,Matches
44,Franco Armani,ar ARG,GK,River Plate,36,1986,26.0,684,631,681,3,0,0,684,0,0,,0,,322,1307,765,0,0,0,1,0,260,0,Matches
45,Blas Armoa,py PAR,"FW,MF",Tigre,22,2000,15.9,526,6,33,173,328,67,526,56,18,32.1,35,62.5,349,1968,841,29,19,10,39,17,396,156,Matches
46,Carlos Arrua,py PAR,MF,Colón,25,1997,11.2,514,2,55,270,199,16,514,42,15,35.7,24,57.1,295,1596,698,15,18,1,31,11,331,55,Matches
47,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,25,1997,24.3,1519,31,250,959,327,33,1519,17,5,29.4,11,64.7,760,3078,1495,23,18,2,25,15,986,87,Matches
48,Gonzalo Asis,ar ARG,DF,Platense,26,1996,4.8,272,10,84,115,76,4,272,15,6,40.0,9,60.0,99,516,264,6,6,1,12,2,103,18,Matches
49,Rodrigo Atencio,ar ARG,"MF,FW",Independiente,20,2002,1.0,68,1,7,44,19,0,68,5,3,60.0,2,40.0,49,262,135,1,4,0,6,2,47,6,Matches
50,Axel Atum,ar ARG,"FW,MF",Estudiantes–LP,17,2006,0.4,23,0,4,13,6,0,23,0,0,,0,,18,81,44,0,2,0,1,0,20,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Julián Aude,ar ARG,DF,Lanús,19,2003,1.6,70,6,22,30,19,0,70,5,3,60.0,0,0.0,31,145,91,2,1,0,3,0,26,1,Matches
52,Luciano Aued,ar ARG,MF,Unión,35,1987,11.3,585,20,137,352,103,17,585,3,1,33.3,2,66.7,260,1101,563,6,8,0,11,10,312,19,Matches
53,Gabriel Ávalos,py PAR,FW,Arg Juniors,32,1990,19.7,691,15,21,293,381,127,687,28,11,39.3,14,50.0,351,1295,463,17,15,12,67,27,533,178,Matches
54,Tomás Avilés,ar ARG,"DF,MF",Racing Club,18,2004,11.1,743,42,290,414,42,9,743,5,3,60.0,2,40.0,429,2278,1187,8,5,2,11,3,458,7,Matches
55,Tomás Badaloni,ar ARG,FW,Tigre,22,2000,7.5,223,6,14,88,123,33,223,5,0,0.0,5,100.0,128,375,102,6,5,5,27,19,173,60,Matches
56,Cristian Báez,py PAR,DF,Independiente,32,1990,22.5,1127,119,564,506,61,10,1127,9,6,66.7,3,33.3,494,2064,1062,8,7,1,13,6,502,12,Matches
57,Franco Baldassarra,ar ARG,"MF,FW",Platense,24,1998,11.5,436,13,79,224,138,18,436,19,4,21.1,14,73.7,227,955,360,7,11,2,25,18,241,50,Matches
58,Guillermo Balzi,ar ARG,"MF,FW",Newell's OB,21,2001,2.1,92,3,13,56,23,2,92,6,4,66.7,2,33.3,55,430,189,7,0,1,4,4,58,6,Matches
59,Tiago Banega,ar ARG,MF,Arsenal,23,1999,10.9,623,21,104,421,98,6,623,17,4,23.5,13,76.5,252,947,453,7,8,0,16,10,382,19,Matches
60,David Barbona,ar ARG,"MF,FW",Defensa y Just,27,1995,16.9,855,9,81,406,390,23,855,70,37,52.9,29,41.4,490,3510,1601,50,39,3,40,12,563,94,Matches
61,Baltasar Barcia,uy URU,"DF,MF",Independiente,21,2001,18.0,792,38,196,362,254,33,792,74,46,62.2,24,32.4,366,2540,1266,38,24,11,51,20,363,60,Matches
62,Esequiel Barco,ar ARG,"FW,MF",River Plate,23,1999,16.7,1215,4,70,612,552,54,1211,74,41,55.4,20,27.0,828,5367,2974,101,79,26,31,18,941,131,Matches
