rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,River Plate,27,19,4,4,50,20,30,61,2.26,47.0,21.9,25.1,0.93,,Lucas Beltrán - 12,Franco Armani,
2,Talleres,27,14,8,5,42,23,19,50,1.85,43.2,27.5,15.8,0.58,,Michael Santos - 13,Guido Herrera,
3,San Lorenzo,27,12,10,5,23,13,10,46,1.7,27.4,20.8,6.6,0.25,,"Adam Bareiro, Andrés Vombergar - 5",Augusto Batalla,
4,Lanús,27,12,9,6,38,27,11,45,1.67,36.7,27.9,8.8,0.33,,Leandro Díaz - 11,Lucas Acosta,
5,Estudiantes–LP,27,12,9,6,35,24,11,45,1.67,33.3,23.6,9.6,0.36,,"Mauro Boselli, Benjamín Rollheiser - 6",Mariano Andújar,
6,Defensa y Just,27,12,8,7,36,23,13,44,1.63,36.0,32.4,3.7,0.14,,Nicolás Fernández - 12,Ezequiel Unsain,
7,Boca Juniors,27,13,5,9,33,24,9,44,1.63,30.6,29.3,1.4,0.05,,Miguel Merentiel - 7,Sergio Romero,
8,Rosario Central,27,10,12,5,36,29,7,42,1.56,32.9,33.6,-0.7,-0.03,,Alejo Véliz - 11,Jorge Broun,
9,Godoy Cruz,27,11,8,8,37,32,5,41,1.52,31.1,34.7,-3.6,-0.13,,"Tomás Conechny, Tadeo Allende - 6",Diego Matías Rodríguez,
10,Arg Juniors,27,11,7,9,31,22,9,40,1.48,39.3,25.9,13.4,0.5,,Gabriel Ávalos - 12,Federico Lanzillota,
11,Atlé Tucumán,27,9,10,8,25,27,-2,37,1.37,27.1,33.0,-5.9,-0.22,,Mateo Coronel - 7,Tomás Marchiori,
12,Racing Club,27,9,9,9,36,35,1,36,1.33,30.4,35.0,-4.6,-0.17,,"Gabriel Hauche, Matías Rojas - 6",Gabriel Arias,
13,Belgrano,27,10,6,11,20,26,-6,36,1.33,24.6,31.8,-7.1,-0.26,,Pablo Vegetti - 13,Nahuel Losada,
14,Newell's OB,27,8,11,8,24,24,0,35,1.3,25.3,26.5,-1.2,-0.05,,Jorge Eduardo Recalde - 6,Lucas Hoyos,
15,Barracas Central,27,8,11,8,25,30,-5,35,1.3,22.5,28.5,-6.0,-0.22,,Bruno Sepúlveda - 5,Andrés Desábato,
16,Tigre,27,9,7,11,27,29,-2,34,1.26,34.3,30.2,4.2,0.16,,Mateo Retegui - 11,Gonzalo Marinelli,
17,Platense,27,9,7,11,26,29,-3,34,1.26,21.9,32.5,-10.5,-0.39,,Nicolás Servetto - 6,Ramiro Macagno,
18,Instituto,27,8,8,11,24,35,-11,32,1.19,33.1,29.3,3.9,0.14,,Adrián Martínez - 11,Jorge Carranza,
19,Sarmiento,27,7,9,11,23,26,-3,30,1.11,26.5,34.2,-7.7,-0.28,,Luciano Gondou - 6,Sebastián Meza,
20,Unión,27,6,12,9,19,25,-6,30,1.11,22.4,28.9,-6.5,-0.24,,Imanol Machuca - 4,Santiago Mele,
21,Banfield,27,7,9,11,21,32,-11,30,1.11,29.4,28.8,0.6,0.02,,Juan Bisanz - 6,Facundo Cambeses,
22,Gimnasia–LP,27,7,9,11,24,38,-14,30,1.11,28.3,32.7,-4.3,-0.16,,Cristian Tarragona - 5,Tomás Durso,
23,Cen. Córdoba–SdE,27,7,8,12,20,30,-10,29,1.07,25.1,35.8,-10.7,-0.4,,Lucas Gamba - 5,Marcos Ignacio Ledesma,
24,Independiente,27,6,10,11,23,32,-9,28,1.04,29.8,30.5,-0.6,-0.02,,Martín Cauteruccio - 11,Rodrigo Rey,
25,Vélez Sarsfield,27,5,12,10,24,27,-3,27,1.0,23.9,24.9,-1.0,-0.04,,Lucas Janson - 4,Leonardo Burián,
26,Huracán,27,6,7,14,18,29,-11,25,0.93,25.6,25.0,0.5,0.02,,"Nicolás Cordero, Matías Cóccaro - 4",Lucas Chávez,
27,Colón,27,4,13,10,20,33,-13,25,0.93,25.6,37.0,-11.3,-0.42,,Ramón Ábila - 6,Ignacio Chicco,Relegated
28,Arsenal,27,6,4,17,18,34,-16,22,0.81,23.0,34.6,-11.6,-0.43,,Santiago Toloza - 4,Alejandro Medina,
