rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Matías Abaldo,uy URU,FW,Gimnasia–LP,19,2004,11.4,4,4,1,0,3,2,11,9,10,0,10,4,8,2,0,Matches
2,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,28,1995,16.8,38,27,28,10,0,16,27,11,18,8,10,26,64,71,0,Matches
3,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,33,1990,10.4,27,18,15,12,0,15,25,10,16,3,13,4,31,29,0,Matches
4,Ramón Ábila,ar ARG,FW,Huracán,34,1989,8.2,2,1,0,1,1,0,2,2,3,0,3,0,2,4,0,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,24,2000,14.6,34,20,11,22,1,16,32,16,19,5,14,7,41,10,0,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,26,1997,16.6,27,20,7,13,7,7,20,13,15,2,13,8,35,14,0,Matches
7,Matías Acevedo,ar ARG,MF,Racing Club,15,2008,0.2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,35,1988,23.0,27,15,11,13,3,12,27,15,24,5,19,25,52,54,0,Matches
9,Lautaro Acosta,ar ARG,"MF,FW",Lanús,35,1988,8.3,14,9,6,6,2,6,20,14,8,1,7,6,20,9,0,Matches
10,Lucas Acosta,ar ARG,GK,Sarmiento,28,1995,23.0,1,1,1,0,0,1,2,1,0,0,0,0,1,7,1,Matches
11,Marcos Acuña,ar ARG,DF,River Plate,32,1991,8.6,16,14,7,8,1,7,10,3,12,1,11,6,22,14,0,Matches
12,Valentino Acuña,ar ARG,MF,Newell's OB,18,2006,1.8,5,3,2,3,0,1,1,0,3,0,3,0,5,2,0,Matches
13,Walter Acuña,ar ARG,"FW,MF",Deportivo Riestra,31,1992,1.3,5,1,0,2,3,0,2,2,1,0,1,1,6,0,0,Matches
14,Luis Advíncula,pe PER,DF,Boca Juniors,33,1990,16.0,15,11,8,7,0,10,13,3,5,0,5,12,27,23,0,Matches
15,Alan Aguerre,ar ARG,GK,Lanús,33,1990,10.0,0,0,0,0,0,0,2,2,1,0,1,0,0,8,0,Matches
16,Felipe Aguilar,co COL,DF,Independiente,31,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,34,1989,20.4,8,3,4,3,1,6,10,4,19,14,5,34,42,93,0,Matches
18,Braian Aguirre,ar ARG,DF,Lanús,23,2000,6.2,16,8,10,5,1,8,13,5,13,5,8,11,27,18,0,Matches
19,Brian Aguirre,ar ARG,"FW,MF",Boca Juniors,20,2003,9.9,15,8,2,9,4,8,16,8,4,0,4,2,17,2,0,Matches
20,Brian Aguirre,ar ARG,"MF,FW",Newell's OB,20,2003,2.8,4,2,1,3,0,2,5,3,2,0,2,1,5,2,0,Matches
21,Federico Aguirre,ar ARG,FW,Barracas Central,21,2002,3.0,3,2,1,1,1,1,1,0,5,1,4,0,3,4,0,Matches
22,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,22,2001,5.7,7,7,2,5,0,1,4,3,5,0,5,2,9,5,0,Matches
23,Gabriel Alanís,ar ARG,"FW,MF",Defensa y Just,29,1994,9.5,15,11,6,8,1,11,16,5,6,2,4,5,20,11,0,Matches
24,Fernando Alarcón,ar ARG,DF,Instituto,29,1994,18.6,28,17,20,5,3,13,18,5,21,15,6,21,49,87,0,Matches
25,William Alarcón,cl CHI,MF,Huracán,23,2000,20.1,23,17,8,13,2,14,30,16,12,1,11,12,35,11,1,Matches
