rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Lucas Acosta,ar ARG,GK,Sarmiento,30-230,1995,29.0,33,3,0,3,2,42.7,0.29,+11.7,+0.40,167,520,32.1,681,58,52.7,43.8,225,71.6,53.8,466,21,4.5,27,0.93,14.3,Matches
2,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,35-066,1990,27.0,29,2,1,4,1,27.5,0.28,-0.5,-0.02,111,327,33.9,396,68,44.9,38.1,219,68.0,49.9,394,14,3.6,10,0.37,11.3,Matches
3,Facundo Altamirano,ar ARG,GK,San Lorenzo,29-221,1996,1.0,1,0,0,0,0,0.9,0.87,-0.1,-0.13,6,18,33.3,18,1,77.8,48.4,4,100.0,66.0,13,0,0.0,2,2.00,17.4,Matches
4,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-203,1992,29.0,16,4,0,2,3,25.0,0.21,+12.0,+0.41,324,845,38.3,744,20,84.5,54.3,248,87.1,62.4,670,60,9.0,44,1.52,14.7,Matches
5,Gabriel Arias,cl CHI,GK,Racing Club,38-045,1987,17.3,20,2,0,1,0,20.2,0.26,+0.2,+0.01,82,231,35.5,393,70,42.0,37.9,143,46.2,40.6,228,8,3.5,28,1.62,18.5,Matches
6,Franco Armani,ar ARG,GK,River Plate,39-012,1986,27.0,17,0,0,3,0,24.4,0.28,+7.4,+0.28,91,227,40.1,476,129,31.3,32.1,184,42.4,38.2,292,9,3.1,27,1.00,14.0,Matches
7,Williams Barlasina,ar ARG,GK,Newell's OB,27-121,1998,4.0,5,0,0,1,0,5.7,0.28,+0.7,+0.16,33,74,44.6,59,11,64.4,45.8,38,94.7,61.5,89,4,4.5,0,0.00,7.7,Matches
8,Williams Barlasina,ar ARG,GK,Aldosivi,27-121,1998,4.0,8,0,1,0,0,6.3,0.39,-1.7,-0.43,13,42,31.0,66,19,40.9,35.6,33,45.5,37.8,54,4,7.4,1,0.25,13.0,Matches
9,Enrique Bologna,ar ARG,GK,Defensa y Just,43-257,1982,29.0,35,3,2,4,2,35.1,0.28,+2.1,+0.07,173,365,47.4,626,102,43.5,37.1,221,42.1,37.7,466,17,3.6,18,0.62,11.1,Matches
10,Matías Borgogno,ar ARG,GK,San Martín de San Juan,27-068,1998,29.0,29,1,2,3,0,32.1,0.29,+3.1,+0.11,202,585,34.5,639,52,59.5,44.3,251,81.7,58.1,455,34,7.5,23,0.79,12.5,Matches
