rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Matías Abaldo,uy URU,"FW,MF",Independiente,21-208,2004,10,9,683,7.6,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,19,18,76,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches
2,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-322,1995,19,16,1464,16.3,1,1,2,1,0,0,4,0,0.8,0.8,0.1,0.9,12,58,3,0.06,0.06,0.12,0.06,0.12,0.05,0.01,0.06,0.05,0.06,Matches
3,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,35-146,1990,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,3,3,5,0.00,1.00,1.00,0.00,1.00,0.09,0.17,0.26,0.09,0.26,Matches
4,Carlos Abeldano,ar ARG,FW,Atlé Tucumán,20-202,2005,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Ramón Ábila,ar ARG,FW,Huracán,36-014,1989,12,0,232,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,1,5,18,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17,Matches
6,Ignacio Abraham,sy SYR,DF,Banfield,27-289,1998,18,17,1524,16.9,0,0,0,0,0,0,1,0,0.9,0.9,1.6,2.5,38,54,71,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches
7,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-294,2000,20,12,1128,12.5,0,0,0,0,0,0,2,0,0.9,0.9,1.5,2.4,10,65,34,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19,Matches
8,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-264,1997,21,11,1045,11.6,1,0,1,1,0,0,3,0,1.4,1.4,1.3,2.7,19,45,58,0.09,0.00,0.09,0.09,0.09,0.12,0.11,0.23,0.12,0.23,Matches
9,Juan Achetoni,ar ARG,FW,Aldosivi,20-231,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-362,1988,17,11,926,10.3,0,1,1,0,0,0,3,0,0.4,0.4,0.2,0.6,8,57,9,0.00,0.10,0.10,0.00,0.10,0.04,0.02,0.06,0.04,0.06,Matches
11,Lautaro Acosta,ar ARG,"FW,MF",Lanús,37-228,1988,8,2,144,1.6,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.2,3,3,10,0.62,0.00,0.62,0.62,0.62,0.09,0.03,0.12,0.09,0.12,Matches
12,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,20-162,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Lucas Acosta,ar ARG,GK,Sarmiento,30-230,1995,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
