rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper,notes
1,Rosario Central,29,17,11,1,37,14,23,62,2.14,36.7,21.6,15.1,0.52,W W W W W,,"Ángel Di María, Víctor Malcorra - 6",Jorge Broun,
2,Boca Juniors,29,15,8,6,46,22,24,53,1.83,39.2,25.0,14.3,0.49,D L W L W,,"Miguel Merentiel, Milton Giménez - 9",Agustín Marchesín,
3,River Plate,29,14,10,5,41,21,20,52,1.79,38.6,26.5,12.2,0.42,L L L L W,,Miguel Borja - 7,Franco Armani,
4,Arg Juniors,29,14,9,6,39,19,20,51,1.76,38.0,25.1,12.9,0.44,W W D L W,,Tomás Molina - 10,Diego Matías Rodríguez,
5,Deportivo Riestra,29,13,12,4,31,16,15,51,1.76,26.3,29.4,-3.1,-0.11,W W D D W,,Jonathan Herrera - 10,Ignacio Arce,
6,Racing Club,29,14,4,11,40,29,11,46,1.59,36.2,36.0,0.3,0.01,W D D W W,,Adrián Martínez - 10,Gabriel Arias,
7,Lanús,29,12,10,7,28,20,8,46,1.59,33.7,30.7,3.0,0.1,W D W W W,,"Walter Bou, Rodrigo Castillo - 6",Nahuel Losada,
8,San Lorenzo,29,12,10,7,25,20,5,46,1.59,31.0,22.7,8.2,0.28,D W L L W,,Andrés Vombergar - 7,Orlando Gill,
9,Tigre,29,12,9,8,31,23,8,45,1.55,34.4,26.1,8.3,0.28,W W D D D,,Ignacio Russo - 10,Felipe Zenobio,
10,Barracas Central,29,11,11,7,36,34,2,44,1.52,28.5,27.0,1.5,0.05,L D D D L,,Jhonatan Candia - 9,Marcos Ignacio Ledesma,
11,Huracán,29,11,10,8,25,23,2,43,1.48,33.0,26.6,6.3,0.22,L D W L L,,Matko Miljevic - 6,Hernán Galíndez,
12,Estudiantes–LP,29,11,9,9,33,32,1,42,1.45,32.5,26.2,6.3,0.22,W D D D W,,Santiago Ascacíbar - 4,Matías Mansilla,
13,Cen. Córdoba–SdE,29,10,9,10,37,32,5,39,1.34,34.9,32.7,2.2,0.08,D L D W W,,Gastón Verón - 7,Alan Aguerre,
14,Ind. Rivadavia,29,9,12,8,31,31,0,39,1.34,31.9,38.4,-6.5,-0.22,D D D D L,,"Sebastián Villa, Fabrizio Sartori - 5",Ezequiel Centurión,
15,Vélez Sarsfield,29,11,6,12,26,31,-5,39,1.34,25.8,28.1,-2.3,-0.08,W W D L W,28462.0,Braian Romero - 8,Tomás Marchiori,
16,Independiente,29,9,11,9,32,25,7,38,1.31,31.4,29.5,1.8,0.06,D D L L W,,Gabriel Ávalos - 10,Rodrigo Rey,
17,Defensa y Just,29,10,8,11,31,35,-4,38,1.31,28.5,34.9,-6.4,-0.22,L W D W L,,Juan Miritello - 8,Enrique Bologna,
18,Belgrano,29,7,14,8,26,33,-7,35,1.21,26.0,31.2,-5.2,-0.18,W D D D W,,Nicolás Fernández - 10,Thiago Cardozo,
19,Unión,29,8,10,11,30,30,0,34,1.17,34.7,28.8,5.9,0.2,D D L L W,,Marcelo Estigarribia - 5,Matías Tagliamonte,
20,Platense,29,8,10,11,24,31,-7,34,1.17,27.7,30.3,-2.7,-0.09,D L D L L,,Ronaldo Martínez - 9,Juan Cozzani,
21,Instituto,29,8,9,12,23,32,-9,33,1.14,29.9,30.7,-0.8,-0.03,D D D W L,16195.0,Alex Luna - 8,Manuel Roffo,
22,Atlé Tucumán,29,9,4,16,31,36,-5,31,1.07,34.0,40.1,-6.1,-0.21,W L W L L,26100.0,Leandro Díaz - 6,Matías Mansilla,
23,Banfield,29,8,7,14,26,37,-11,31,1.07,28.8,37.9,-9.1,-0.31,L D L L W,,Martín Río - 4,Facundo Sanguinetti,
24,Newell's OB,29,7,9,13,23,36,-13,30,1.03,29.0,36.2,-7.2,-0.25,L D L D L,,Luciano Ramón Herrera - 4,Keylor Navas,
25,Sarmiento,29,6,12,11,20,33,-13,30,1.03,27.8,39.0,-11.2,-0.39,L L W L L,,"Joaquín Ardaiz, Iván Morales Bravo - 3",Lucas Acosta,
26,Gimnasia–LP,29,8,5,16,17,34,-17,29,1.0,25.3,36.4,-11.1,-0.38,L L W L L,,"Marcelo Torres, Rodrigo Castillo - 4",Nelson Insfrán,
27,Talleres,29,5,12,12,18,27,-9,27,0.93,32.2,25.5,6.7,0.23,D W D W L,,"Valentín Depietri, Augusto Schott - 4",Guido Herrera,
28,Godoy Cruz,29,4,15,10,17,34,-17,27,0.93,21.7,33.6,-11.9,-0.41,D L D D L,,Agustín Auzmendi - 5,Franco Petroli,
29,San Martín de San Juan,29,6,8,15,15,29,-14,26,0.9,23.0,32.6,-9.6,-0.33,L D D W W,,Tomás Fernández - 3,Matías Borgogno,
30,Aldosivi,29,6,6,17,23,43,-20,24,0.83,25.7,37.6,-11.9,-0.41,L L W W L,,Elías Torres - 6,Jorge Carranza,
