squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Aldosivi,35,28.5,45.8,29,319,2610,29.0,23,18,41,21,2,2,80,4,25.7,24.2,19.0,43.2,329,939,0.79,0.62,1.41,0.72,1.34,0.89,0.66,1.54,0.83,1.49
Arg Juniors,39,28.7,62.5,29,319,2610,29.0,37,28,65,36,1,3,59,5,38.0,35.6,25.6,61.2,497,1257,1.28,0.97,2.24,1.24,2.21,1.31,0.88,2.19,1.23,2.11
Atlé Tucumán,33,29.0,49.2,29,319,2610,29.0,29,19,48,28,1,2,79,2,34.0,32.4,25.0,57.4,345,1017,1.0,0.66,1.66,0.97,1.62,1.17,0.86,2.04,1.12,1.98
Banfield,41,25.7,44.1,29,319,2610,29.0,25,16,41,23,2,2,72,3,28.8,27.2,20.0,47.2,435,936,0.86,0.55,1.41,0.79,1.34,0.99,0.69,1.68,0.94,1.63
Barracas Central,23,27.9,39.7,29,319,2610,29.0,36,25,61,32,4,5,79,1,28.5,24.6,18.5,43.1,289,713,1.24,0.86,2.1,1.1,1.97,0.98,0.64,1.62,0.85,1.49
Belgrano,35,30.3,49.2,29,319,2610,29.0,24,15,39,19,5,5,84,6,26.0,22.3,15.8,38.2,349,945,0.83,0.52,1.34,0.66,1.17,0.9,0.55,1.44,0.77,1.32
Boca Juniors,35,28.6,57.3,29,319,2610,29.0,44,28,72,43,1,3,73,2,39.2,36.8,27.0,63.9,459,1162,1.52,0.97,2.48,1.48,2.45,1.35,0.93,2.29,1.27,2.2
Cen. Córdoba–SdE,33,28.1,50.9,29,319,2610,29.0,35,28,63,32,3,4,52,3,34.9,31.8,27.0,58.8,457,1114,1.21,0.97,2.17,1.1,2.07,1.2,0.93,2.14,1.1,2.03
Defensa y Just,35,28.5,54.8,29,319,2610,29.0,31,23,54,29,2,4,61,4,28.5,25.4,18.7,44.0,474,1291,1.07,0.79,1.86,1.0,1.79,0.98,0.64,1.63,0.88,1.52
Deportivo Riestra,34,30.2,32.0,29,319,2610,29.0,31,21,52,29,2,4,89,3,26.3,23.0,17.2,40.2,183,595,1.07,0.72,1.79,1.0,1.72,0.91,0.59,1.5,0.79,1.39
