rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Abner,br BRA,DF,Ath Paranaense,19,2000,31.5,73,46,40,25,8,39,69,30,29,4,25,27,100,58,0,Matches
2,Pedro Acacio,br BRA,"MF,DF",Palmeiras,17,2002,0.4,2,2,2,0,0,1,2,1,0,0,0,0,2,0,0,Matches
3,Luiz Adriano,br BRA,FW,Palmeiras,32,1987,17.1,6,2,1,3,2,1,10,9,8,2,6,4,10,17,0,Matches
4,Adryelson,br BRA,DF,Sport Recife,21,1998,35.7,19,13,19,0,0,11,23,12,52,38,14,71,90,206,1,Matches
5,Felipe Aguilar,co COL,DF,Ath Paranaense,27,1993,5.9,7,3,3,4,0,5,9,4,4,1,3,16,23,24,0,Matches
6,Yuri Alberto,br BRA,"FW,MF",Internacional,18,2001,14.4,5,3,1,3,1,3,7,4,11,2,9,2,7,8,0,Matches
7,Alerrandro,br BRA,FW,RB Bragantino,20,2000,10.3,6,2,1,1,4,0,8,8,5,1,4,3,9,6,0,Matches
8,Alesson,br BRA,"FW,MF",Bahia,20,1999,4.1,21,13,13,5,3,11,22,11,4,0,4,2,23,0,0,Matches
9,Alex,br BRA,DF,Santos,20,1999,8.1,10,3,8,2,0,5,6,1,7,5,2,12,22,27,0,Matches
10,Caio Alexandre,br BRA,MF,Botafogo (RJ),20,1999,30.3,51,31,18,25,8,26,79,53,44,4,40,18,69,25,1,Matches
11,Alison,br BRA,"MF,DF",Santos,26,1993,16.8,38,29,19,16,3,15,47,32,22,8,14,21,59,30,0,Matches
12,Alisson,br BRA,FW,Grêmio,26,1993,21.6,15,11,5,5,5,10,34,24,20,0,20,16,31,16,0,Matches
13,Allan,br BRA,MF,Atlético Mineiro,22,1997,26.3,42,32,9,29,4,13,35,22,25,4,21,43,85,28,0,Matches
14,Allanzinho,br BRA,MF,Santos,19,2000,0.2,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,26,1993,32.0,45,29,27,15,3,25,45,20,29,13,16,58,103,69,0,Matches
16,Jaime Alvarado,co COL,MF,Ath Paranaense,20,1999,4.3,7,6,4,3,0,3,13,10,7,1,6,4,11,7,0,Matches
