rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Diego Alves,br BRA,GK,Flamengo,34,1985,9.3,11,0,0,3,1,9.9,0.30,-0.1,-0.01,26,55,47.3,230,38,20.4,28.9,46,17.4,24.3,105,6,5.7,10,1.08,13.7,Matches
2,Felipe Alves Raymundo,br BRA,GK,Fortaleza,31,1988,37.0,44,4,2,4,1,45.7,0.27,+2.7,+0.07,296,598,49.5,1181,85,39.7,35.1,238,54.2,39.4,547,12,2.2,17,0.46,13.7,Matches
3,Anderson,br BRA,GK,Bahia,36,1983,5.9,15,0,0,2,0,14.0,0.36,-1.0,-0.18,16,68,23.5,102,30,42.2,37.3,51,49.0,40.1,77,1,1.3,3,0.51,11.3,Matches
4,Arthur,br BRA,GK,Coritiba,23,1997,4.0,7,0,0,1,1,6.9,0.34,+0.9,+0.21,15,35,42.9,87,14,17.2,27.0,42,47.6,39.4,55,2,3.6,1,0.25,10.3,Matches
5,Gabriel Batista,br BRA,GK,Flamengo,21,1998,3.0,5,1,0,1,0,3.1,0.20,-1.9,-0.63,3,13,23.1,71,10,12.7,26.9,14,28.6,24.4,37,1,2.7,6,2.00,16.1,Matches
6,Muriel Becker,br BRA,GK,Fluminense,32,1987,19.0,20,3,0,1,1,21.8,0.29,+2.8,+0.15,53,190,27.9,286,62,39.9,34.6,147,51.7,39.4,278,5,1.8,12,0.63,12.2,Matches
7,Bento,br BRA,GK,Ath Paranaense,20,1999,1.0,3,0,0,1,0,2.6,0.44,-0.4,-0.43,4,15,26.7,28,5,42.9,38.2,12,25.0,31.8,25,0,0.0,0,0.00,7.7,Matches
8,Cássio,br BRA,GK,Corinthians,32,1987,34.9,45,4,2,5,1,45.2,0.27,+1.2,+0.04,199,481,41.4,774,117,43.4,36.6,313,46.3,39.5,523,15,2.9,15,0.43,12.7,Matches
9,Diego Cavalieri,br BRA,GK,Botafogo (RJ),37,1982,22.0,39,4,0,1,1,35.2,0.30,-2.8,-0.13,128,266,48.1,366,71,48.6,38.3,187,47.1,39.3,338,6,1.8,6,0.27,9.3,Matches
10,César,br BRA,GK,Flamengo,28,1992,3.4,4,0,0,2,0,2.0,0.23,-2.0,-0.58,11,24,45.8,82,15,17.1,26.3,20,50.0,38.4,43,2,4.7,3,0.89,14.6,Matches
11,Júlio César,br BRA,GK,RB Bragantino,35,1984,6.0,9,0,0,1,0,7.6,0.21,-1.4,-0.23,31,80,38.8,131,30,36.6,35.7,52,61.5,45.8,101,2,2.0,3,0.50,13.7,Matches
12,Júlio César,br BRA,GK,Grêmio,33,1986,1.0,1,0,0,0,0,1.7,0.28,+0.7,+0.66,8,17,47.1,17,4,47.1,39.9,9,100.0,63.1,16,0,0.0,0,0.00,11.8,Matches
13,Mateus Claus,br BRA,GK,Bahia,25,1994,3.0,5,1,0,0,0,3.4,0.16,-1.6,-0.52,5,8,62.5,29,8,13.8,25.6,25,16.0,22.7,62,0,0.0,0,0.00,7.6,Matches
14,Daniel,br BRA,GK,Internacional,25,1994,0.0,0,0,0,0,0,0.2,0.18,+0.2,+5.31,1,3,33.3,3,0,66.7,49.7,1,100.0,68.0,1,0,0.0,0,0.00,,Matches
15,Diego,br BRA,GK,Botafogo (RJ),21,1998,7.0,15,2,1,1,0,12.2,0.28,-2.8,-0.40,8,38,21.1,98,28,22.4,28.7,52,30.8,30.0,106,4,3.8,0,0.00,7.7,Matches
16,Éverson,br BRA,GK,Atlético Mineiro,29,1990,28.0,34,1,0,3,0,35.1,0.33,+1.1,+0.04,113,232,48.7,845,139,25.4,28.6,155,11.0,18.9,314,8,2.5,47,1.68,18.4,Matches
17,Marcos Felipe,br BRA,GK,Fluminense,23,1996,19.0,22,2,0,1,0,23.5,0.34,+1.5,+0.08,76,230,33.0,332,67,48.2,37.3,137,51.1,38.7,263,14,5.3,5,0.26,8.9,Matches
18,Danilo Fernandes,br BRA,GK,Internacional,31,1988,1.0,1,0,0,0,0,1.1,0.37,+0.1,+0.12,6,15,40.0,14,3,50.0,40.9,10,80.0,49.5,22,1,4.5,1,1.00,11.0,Matches
19,Gatito Fernández,py PAR,GK,Botafogo (RJ),31,1988,8.0,7,2,0,0,0,11.5,0.23,+4.5,+0.56,45,99,45.5,164,33,37.8,34.3,69,53.6,38.8,146,11,7.5,6,0.75,10.0,Matches
20,Douglas Friedrich,br BRA,GK,Bahia,31,1988,29.1,39,4,2,7,0,38.4,0.30,-0.6,-0.02,67,214,31.3,485,147,26.0,31.6,211,41.7,37.0,489,13,2.7,22,0.76,12.2,Matches
21,Jailson,br BRA,GK,Palmeiras,38,1981,6.0,8,2,1,0,0,8.2,0.31,+0.2,+0.04,17,50,34.0,124,27,31.5,32.3,44,25.0,30.8,64,1,1.6,3,0.50,13.5,Matches
22,Jandrei,br BRA,GK,Ath Paranaense,26,1993,4.0,3,0,0,2,0,4.6,0.25,+1.6,+0.40,24,46,52.2,116,11,31.9,33.2,36,25.0,30.5,48,0,0.0,3,0.75,17.1,Matches
23,Jean,br BRA,GK,Atl Goianiense,24,1995,36.0,41,6,0,2,1,42.7,0.25,+2.7,+0.07,207,522,39.7,1020,124,36.7,36.2,298,49.7,42.6,618,22,3.6,23,0.64,12.3,Matches
24,John,br BRA,GK,Santos,23,1996,9.0,16,3,0,4,0,13.2,0.27,-2.8,-0.31,20,79,25.3,228,40,28.1,31.4,36,41.7,38.0,102,2,2.0,2,0.22,14.3,Matches
25,Maurício Kozlinski,br BRA,GK,Atl Goianiense,28,1991,2.0,4,0,0,0,0,4.1,0.34,+0.1,+0.04,9,27,33.3,44,11,45.5,39.9,23,30.4,31.0,44,2,4.5,0,0.00,10.6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Victor Leandro Bagy,br BRA,GK,Atlético Mineiro,37,1983,0.8,3,1,0,0,0,2.0,0.26,-1.0,-1.24,4,13,30.8,22,3,36.4,30.5,6,83.3,46.7,3,0,0.0,0,0.00,9.5,Matches
27,Marcelo Lomba,br BRA,GK,Internacional,33,1986,37.0,34,4,1,5,1,30.1,0.27,-2.9,-0.08,148,525,28.2,736,95,46.1,37.7,264,70.5,50.5,465,12,2.6,24,0.65,14.8,Matches
28,Lucão,br BRA,GK,Vasco da Gama,18,2001,2.0,5,1,0,0,0,5.0,0.37,0.0,+0.01,7,32,21.9,34,9,44.1,36.8,21,81.0,59.1,37,1,2.7,1,0.50,12.1,Matches
29,Mailson,br BRA,GK,Sport Recife,23,1996,7.0,10,1,1,0,0,11.3,0.33,+1.3,+0.18,16,74,21.6,110,21,40.0,35.5,43,69.8,48.6,79,1,1.3,6,0.86,15.8,Matches
30,Fernando Miguel,br BRA,GK,Vasco da Gama,34,1985,36.0,51,7,3,6,0,49.4,0.24,-1.6,-0.04,125,390,32.1,650,161,42.0,36.8,258,45.3,37.9,583,18,3.1,9,0.25,10.9,Matches
31,João Paulo,br BRA,GK,Santos,24,1995,25.6,31,6,0,9,0,34.3,0.28,+3.3,+0.13,69,232,29.7,625,89,26.4,30.3,197,34.0,31.4,366,7,1.9,17,0.66,13.4,Matches
32,Rafael Pires,br BRA,GK,Atlético Mineiro,30,1989,9.2,8,0,0,1,0,10.3,0.36,+2.3,+0.25,19,92,20.7,215,29,35.8,34.3,63,23.8,26.8,92,3,3.3,12,1.31,16.0,Matches
33,Luan Polli,br BRA,GK,Sport Recife,26,1993,31.0,40,4,0,8,4,42.5,0.24,+6.5,+0.21,131,462,28.4,544,110,56.1,42.8,312,50.3,40.4,662,6,0.9,20,0.65,12.6,Matches
34,Fernando Prass,br BRA,GK,Ceará,41,1978,22.0,33,4,1,4,0,33.3,0.27,+0.3,+0.01,103,272,37.9,375,57,48.5,39.4,172,52.3,41.4,343,8,2.3,6,0.27,10.6,Matches
35,Marcelo Rangel,br BRA,GK,Goiás,31,1988,6.0,6,0,0,1,0,6.0,0.25,0.0,0.00,53,129,41.1,103,14,67.0,46.3,66,90.9,61.3,119,1,0.8,3,0.50,14.5,Matches
36,Richard,br BRA,GK,Ceará,28,1991,16.0,18,6,0,1,0,20.7,0.22,+2.7,+0.17,73,218,33.5,257,51,51.0,40.1,126,69.0,52.7,301,1,0.3,5,0.31,11.9,Matches
37,Santos,br BRA,GK,Ath Paranaense,29,1990,33.0,30,3,0,4,2,38.5,0.26,+10.5,+0.32,195,465,41.9,1049,173,34.3,34.4,277,37.9,36.7,523,10,1.9,31,0.94,14.4,Matches
38,Saulo,br BRA,GK,Botafogo (RJ),24,1995,1.0,1,1,0,0,0,1.7,0.14,+0.7,+0.69,5,12,41.7,16,1,50.0,37.0,10,40.0,38.5,22,0,0.0,1,1.00,15.7,Matches
39,Cleiton Schwengber,br BRA,GK,RB Bragantino,22,1997,32.0,31,6,0,5,1,34.3,0.29,+4.3,+0.14,118,385,30.6,814,187,33.3,34.0,226,50.4,43.3,417,14,3.4,58,1.81,17.6,Matches
40,Vinicius Silvestre,br BRA,GK,Palmeiras,25,1994,2.0,3,0,0,0,0,3.6,0.32,+0.6,+0.30,9,31,29.0,53,11,39.6,37.0,20,50.0,39.5,28,0,0.0,2,1.00,16.3,Matches
41,Hugo Souza,br BRA,GK,Flamengo,21,1999,22.3,28,2,2,1,1,23.4,0.23,-3.6,-0.16,61,187,32.6,525,112,27.2,31.6,130,33.8,33.2,247,7,2.8,17,0.76,13.8,Matches
42,Tadeu,br BRA,GK,Goiás,27,1992,32.0,57,5,0,9,2,56.6,0.29,+1.6,+0.05,218,540,40.4,726,108,51.5,41.8,315,52.7,45.4,613,19,3.1,25,0.78,12.3,Matches
43,Vanderlei,br BRA,GK,Grêmio,35,1984,27.0,31,9,0,5,0,29.2,0.23,-1.8,-0.07,111,274,40.5,398,90,42.0,35.3,185,57.8,44.7,317,6,1.9,8,0.30,10.3,Matches
44,Paulo Victor Vidotti,br BRA,GK,Grêmio,33,1987,10.0,8,1,0,0,0,11.9,0.29,+3.9,+0.39,32,102,31.4,135,34,47.4,38.3,67,56.7,43.4,108,2,1.9,9,0.90,15.2,Matches
45,Vladimir,br BRA,GK,Santos,30,1989,3.4,4,1,0,1,0,4.1,0.19,+0.1,+0.02,7,20,35.0,73,15,17.8,28.3,34,20.6,22.4,62,1,1.6,0,0.00,8.1,Matches
46,Tiago Volpi,br BRA,GK,São Paulo,29,1990,38.0,41,0,2,6,0,39.3,0.26,-1.7,-0.04,136,410,33.2,1129,172,27.9,31.9,262,36.3,34.9,421,23,5.5,51,1.34,17.9,Matches
47,Max Walef,br BRA,GK,Fortaleza,26,1993,1.0,0,0,0,0,0,0.9,0.29,+0.9,+0.88,6,25,24.0,51,2,39.2,34.0,7,71.4,51.4,22,0,0.0,0,0.00,3.5,Matches
