rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Abner,br BRA,DF,Ath Paranaense,19,2000,31.5,4,0,0,48,14,1,131,27,46,0,1,0,123,26,32,44.8,Matches
2,Pedro Acacio,br BRA,"MF,DF",Palmeiras,17,2002,0.4,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,,Matches
3,Luiz Adriano,br BRA,FW,Palmeiras,32,1987,17.1,2,0,0,18,25,1,9,4,2,1,0,0,31,25,26,49.0,Matches
4,Adryelson,br BRA,DF,Sport Recife,21,1998,35.7,7,0,0,46,21,1,0,71,13,0,1,1,102,102,46,68.9,Matches
5,Felipe Aguilar,co COL,DF,Ath Paranaense,27,1993,5.9,1,0,0,5,4,0,0,16,3,0,0,1,24,23,7,76.7,Matches
6,Yuri Alberto,br BRA,"FW,MF",Internacional,18,2001,14.4,3,0,0,48,28,6,6,2,3,1,0,0,34,43,57,43.0,Matches
7,Alerrandro,br BRA,FW,RB Bragantino,20,2000,10.3,0,0,0,10,20,5,4,3,2,0,0,0,19,12,29,29.3,Matches
8,Alesson,br BRA,"FW,MF",Bahia,20,1999,4.1,1,0,0,11,9,2,6,2,13,0,0,0,27,1,20,4.8,Matches
9,Alex,br BRA,DF,Santos,20,1999,8.1,1,0,0,7,10,0,0,12,3,0,1,0,32,9,8,52.9,Matches
10,Caio Alexandre,br BRA,MF,Botafogo (RJ),20,1999,30.3,8,0,0,64,67,3,36,18,31,0,0,0,160,7,32,17.9,Matches
11,Alison,br BRA,"MF,DF",Santos,26,1993,16.8,6,2,1,38,31,0,2,21,29,0,2,0,86,19,26,42.2,Matches
12,Alisson,br BRA,FW,Grêmio,26,1993,21.6,3,0,0,29,69,7,97,16,11,0,0,0,90,27,45,37.5,Matches
13,Allan,br BRA,MF,Atlético Mineiro,22,1997,26.3,8,1,1,43,28,0,6,43,32,0,0,0,165,11,13,45.8,Matches
14,Allanzinho,br BRA,MF,Santos,19,2000,0.2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,50.0,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,26,1993,32.0,7,0,0,43,7,0,10,58,29,0,1,0,163,95,55,63.3,Matches
16,Jaime Alvarado,co COL,MF,Ath Paranaense,20,1999,4.3,2,0,0,13,2,0,0,4,6,0,1,0,25,7,6,53.8,Matches
17,Dani Alves,br BRA,"MF,FW",São Paulo,36,1983,29.9,10,0,0,64,63,10,192,19,31,0,1,0,207,15,21,41.7,Matches
18,Diego Alves,br BRA,GK,Flamengo,34,1985,9.3,0,1,0,0,3,0,0,0,0,0,0,0,16,1,1,50.0,Matches
19,Marcelo Alves,br BRA,DF,Vasco da Gama,21,1998,12.7,3,0,0,16,4,0,1,21,14,0,0,0,47,25,16,61.0,Matches
20,Felipe Alves Raymundo,br BRA,GK,Fortaleza,31,1988,37.0,0,0,0,0,5,0,0,1,2,0,0,0,27,5,1,83.3,Matches
21,Anderson,br BRA,GK,Bahia,36,1983,5.9,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1,50.0,Matches
22,Thonny Anderson,br BRA,"MF,FW",RB Bragantino,22,1997,1.8,0,1,0,5,3,0,2,1,2,0,0,0,10,4,12,25.0,Matches
23,Victor Andrade,br BRA,"FW,MF",Goiás,24,1995,4.4,4,0,0,17,28,0,10,2,7,0,0,0,19,3,12,20.0,Matches
24,André,br BRA,"MF,FW",Fluminense,18,2001,3.1,2,0,0,4,3,0,0,9,4,0,0,0,21,1,2,33.3,Matches
25,Ângelo,br BRA,"MF,FW",Santos,15,2004,1.8,0,0,0,3,5,0,6,0,3,0,0,0,8,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Angelo,br BRA,DF,Coritiba,18,2001,0.9,0,0,0,1,0,0,8,0,1,0,0,0,2,0,2,0.0,Matches
27,Iván Angulo,co COL,FW,Botafogo (RJ),20,1999,0.7,2,1,1,5,2,0,0,1,2,0,0,0,3,0,0,,Matches
28,Marco Antônio Junior,br BRA,"FW,MF",Bahia,22,1997,4.7,2,0,0,10,24,1,35,1,3,0,0,0,20,1,11,8.3,Matches
29,Guilherme Arana,br BRA,"DF,MF",Atlético Mineiro,22,1997,35.5,4,0,0,48,48,1,242,39,29,2,0,0,199,32,38,45.7,Matches
30,Willian Arão,br BRA,"MF,DF",Flamengo,27,1992,29.2,4,0,0,39,15,0,8,47,31,0,0,0,186,55,44,55.6,Matches
31,Ángelo Araos,cl CHI,MF,Corinthians,23,1997,8.9,3,0,0,20,25,1,17,9,3,0,0,0,34,10,19,34.5,Matches
32,Davi Araújo,br BRA,"FW,MF",Botafogo (RJ),20,1999,3.6,1,0,0,8,14,0,8,3,2,0,0,0,23,4,7,36.4,Matches
33,Márcio Araújo,br BRA,MF,Sport Recife,35,1984,4.8,0,0,0,7,6,0,0,6,4,0,0,0,29,2,2,50.0,Matches
34,Michel Araujo,uy URU,"MF,FW",Fluminense,23,1996,20.6,5,0,0,34,75,1,10,10,25,0,0,0,91,37,46,44.6,Matches
35,Robert Arboleda,ec ECU,DF,São Paulo,28,1991,19.2,4,0,0,24,19,0,4,31,9,0,0,0,101,70,33,68.0,Matches
36,Arnaldo,br BRA,"DF,FW",Atl Goianiense,27,1992,4.9,1,0,0,4,6,1,19,7,3,0,0,0,18,5,8,38.5,Matches
37,Arthur,br BRA,"MF,FW",Santos,21,1998,13.6,2,1,0,23,14,2,44,16,6,0,1,0,70,8,14,36.4,Matches
38,Arthur,br BRA,GK,Coritiba,23,1997,4.0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,1,50.0,Matches
39,Artur,br BRA,"FW,MF",RB Bragantino,21,1998,31.0,3,0,0,25,64,6,148,18,16,1,0,0,172,16,33,32.7,Matches
40,Otavio Ataide,br BRA,DF,Flamengo,17,2002,1.0,0,0,0,2,0,0,0,1,1,0,0,0,3,0,1,0.0,Matches
41,Giovanni Augusto,br BRA,"MF,FW",Coritiba,30,1989,14.2,2,0,0,17,48,1,84,6,16,0,0,0,59,5,17,22.7,Matches
