rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Abner,br BRA,DF,Ath Paranaense,19,2000,31.5,2081,69,539,989,568,47,2081,35,22,62.9,13,37.1,1083,5289,2994,64,50,12,50,20,1279,171,Matches
2,Pedro Acacio,br BRA,"MF,DF",Palmeiras,17,2002,0.4,25,1,3,14,8,0,25,4,3,75.0,1,25.0,20,61,22,0,0,0,2,2,22,4,Matches
3,Luiz Adriano,br BRA,FW,Palmeiras,32,1987,17.1,426,19,41,201,185,52,423,12,10,83.3,2,16.7,235,1035,453,16,11,1,20,15,298,59,Matches
4,Adryelson,br BRA,DF,Sport Recife,21,1998,35.7,1704,289,931,742,39,31,1704,5,2,40.0,3,60.0,851,3297,1451,5,1,0,4,1,971,1,Matches
5,Felipe Aguilar,co COL,DF,Ath Paranaense,27,1993,5.9,454,48,223,224,8,6,454,0,0,,0,,283,1045,497,2,2,0,3,0,331,0,Matches
6,Yuri Alberto,br BRA,"FW,MF",Internacional,18,2001,14.4,444,9,29,178,241,74,444,17,7,41.2,10,58.8,226,1279,584,20,9,11,35,18,316,112,Matches
7,Alerrandro,br BRA,FW,RB Bragantino,20,2000,10.3,278,7,14,115,150,47,277,11,6,54.5,5,45.5,160,498,192,6,3,5,34,10,205,52,Matches
8,Alesson,br BRA,"FW,MF",Bahia,20,1999,4.1,185,4,40,71,77,26,185,20,12,60.0,8,40.0,120,736,388,17,7,8,15,16,118,41,Matches
9,Alex,br BRA,DF,Santos,20,1999,8.1,401,51,234,167,4,4,401,5,4,80.0,1,20.0,257,1549,958,5,1,0,4,0,266,1,Matches
10,Caio Alexandre,br BRA,MF,Botafogo (RJ),20,1999,30.3,1794,55,303,1188,324,41,1794,38,24,63.2,14,36.8,1273,7006,4160,71,59,10,32,30,1364,88,Matches
11,Alison,br BRA,"MF,DF",Santos,26,1993,16.8,941,71,401,497,56,7,941,5,5,100.0,0,0.0,519,2648,1461,14,16,0,11,2,610,6,Matches
12,Alisson,br BRA,FW,Grêmio,26,1993,21.6,1279,11,111,546,638,89,1279,62,43,69.4,19,30.6,760,4899,2744,94,60,24,24,21,966,195,Matches
13,Allan,br BRA,MF,Atlético Mineiro,22,1997,26.3,2241,52,368,1508,381,3,2241,18,16,88.9,2,11.1,1411,6042,2984,28,44,1,22,18,1748,44,Matches
14,Allanzinho,br BRA,MF,Santos,19,2000,0.2,12,0,2,7,4,0,12,3,2,66.7,1,33.3,9,77,10,0,1,0,0,1,8,2,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,26,1993,32.0,3118,124,918,1952,266,41,3118,15,10,66.7,5,33.3,1956,8986,5612,47,45,4,13,8,2408,24,Matches
16,Jaime Alvarado,co COL,MF,Ath Paranaense,20,1999,4.3,258,13,67,163,30,0,258,2,2,100.0,0,0.0,133,588,356,3,2,0,3,4,177,5,Matches
17,Dani Alves,br BRA,"MF,FW",São Paulo,36,1983,29.9,2779,77,526,1626,655,40,2779,45,30,66.7,15,33.3,1837,8286,5089,73,58,5,40,32,2143,112,Matches
