rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Abner,br BRA,DF,Ath Paranaense,19,2000,31.5,3,20,7,35.0,0.64,0.22,0.15,0.43,21.7,0,0,0,2.0,2.0,0.10,+1.0,+1.0,Matches
2,Pedro Acacio,br BRA,"MF,DF",Palmeiras,17,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Luiz Adriano,br BRA,FW,Palmeiras,32,1987,17.1,10,25,14,56.0,1.46,0.82,0.32,0.57,13.0,0,2,3,7.5,5.0,0.20,+2.5,+3.0,Matches
4,Adryelson,br BRA,DF,Sport Recife,21,1998,35.7,0,15,3,20.0,0.42,0.08,0.00,0.00,11.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
5,Felipe Aguilar,co COL,DF,Ath Paranaense,27,1993,5.9,0,3,1,33.3,0.51,0.17,0.00,0.00,9.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
6,Yuri Alberto,br BRA,"FW,MF",Internacional,18,2001,14.4,10,50,23,46.0,3.46,1.59,0.20,0.43,13.9,0,0,0,8.1,8.1,0.17,+1.9,+1.9,Matches
7,Alerrandro,br BRA,FW,RB Bragantino,20,2000,10.3,5,23,10,43.5,2.24,0.97,0.22,0.50,17.5,0,0,1,5.6,4.8,0.21,-0.6,+0.2,Matches
8,Alesson,br BRA,"FW,MF",Bahia,20,1999,4.1,2,12,5,41.7,2.92,1.22,0.17,0.40,12.2,0,0,0,2.3,2.3,0.19,-0.3,-0.3,Matches
9,Alex,br BRA,DF,Santos,20,1999,8.1,0,1,1,100.0,0.12,0.12,0.00,0.00,13.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
10,Caio Alexandre,br BRA,MF,Botafogo (RJ),20,1999,30.3,4,44,12,27.3,1.45,0.40,0.09,0.33,20.7,0,0,0,4.3,4.3,0.10,-0.3,-0.3,Matches
11,Alison,br BRA,"MF,DF",Santos,26,1993,16.8,0,2,2,100.0,0.12,0.12,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
12,Alisson,br BRA,FW,Grêmio,26,1993,21.6,2,56,23,41.1,2.59,1.07,0.04,0.09,16.3,0,0,0,5.7,5.7,0.10,-3.7,-3.7,Matches
13,Allan,br BRA,MF,Atlético Mineiro,22,1997,26.3,0,28,5,17.9,1.07,0.19,0.00,0.00,28.6,1,0,0,0.9,0.9,0.03,-0.9,-0.9,Matches
14,Allanzinho,br BRA,MF,Santos,19,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,26,1993,32.0,1,27,6,22.2,0.84,0.19,0.04,0.17,19.9,1,0,0,2.0,2.0,0.07,-1.0,-1.0,Matches
16,Jaime Alvarado,co COL,MF,Ath Paranaense,20,1999,4.3,0,1,0,0.0,0.23,0.00,0.00,,22.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
17,Dani Alves,br BRA,"MF,FW",São Paulo,36,1983,29.9,1,41,11,26.8,1.37,0.37,0.02,0.09,25.8,14,0,0,2.8,2.8,0.07,-1.8,-1.8,Matches
18,Diego Alves,br BRA,GK,Flamengo,34,1985,9.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Marcelo Alves,br BRA,DF,Vasco da Gama,21,1998,12.7,0,3,0,0.0,0.24,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
20,Felipe Alves Raymundo,br BRA,GK,Fortaleza,31,1988,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Anderson,br BRA,GK,Bahia,36,1983,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Thonny Anderson,br BRA,"MF,FW",RB Bragantino,22,1997,1.8,1,3,1,33.3,1.69,0.56,0.33,1.00,19.1,0,0,1,1.2,0.4,0.14,-0.2,+0.6,Matches
23,Victor Andrade,br BRA,"FW,MF",Goiás,24,1995,4.4,2,14,3,21.4,3.17,0.68,0.14,0.67,19.2,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
24,André,br BRA,"MF,FW",Fluminense,18,2001,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Ângelo,br BRA,"MF,FW",Santos,15,2004,1.8,0,1,0,0.0,0.57,0.00,0.00,,27.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Angelo,br BRA,DF,Coritiba,18,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Iván Angulo,co COL,FW,Botafogo (RJ),20,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Marco Antônio Junior,br BRA,"FW,MF",Bahia,22,1997,4.7,1,10,2,20.0,2.14,0.43,0.10,0.50,20.1,2,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
29,Guilherme Arana,br BRA,"DF,MF",Atlético Mineiro,22,1997,35.5,4,74,25,33.8,2.09,0.70,0.05,0.16,20.9,1,0,0,4.4,4.4,0.06,-0.4,-0.4,Matches
