rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Abner,br BRA,"DF,MF",Ath Paranaense,20,2000,24,23,1948,21.6,0,3,3,0,0,0,3,0,1.0,1.0,2.8,3.8,42,87,146,0.00,0.14,0.14,0.00,0.14,0.04,0.13,0.17,0.04,0.17,Matches
2,Luiz Adriano,br BRA,FW,Palmeiras,33,1987,19,12,936,10.4,3,2,5,3,0,0,0,0,4.2,4.2,1.7,5.9,3,10,42,0.29,0.19,0.48,0.29,0.48,0.41,0.16,0.57,0.41,0.57,Matches
3,Adson,br BRA,"FW,MF",Corinthians,20,2000,16,6,555,6.2,3,1,4,3,0,0,0,0,1.2,1.2,0.4,1.7,16,27,54,0.49,0.16,0.65,0.49,0.65,0.20,0.07,0.27,0.20,0.27,Matches
4,Airton,br BRA,FW,Ceará,21,1999,7,2,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5,3,9,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
5,Marcelo Ajul,br BRA,DF,Sport Recife,18,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Carlos Alberto,br BRA,"FW,MF",América (MG),18,2002,8,2,211,2.3,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,6,2,15,0.43,0.00,0.43,0.43,0.43,0.40,0.04,0.44,0.40,0.44,Matches
7,Yuri Alberto,br BRA,FW,Internacional,19,2001,33,31,2687,29.9,12,3,15,12,0,0,7,0,14.2,14.2,4.7,18.9,47,40,217,0.40,0.10,0.50,0.40,0.50,0.48,0.16,0.63,0.48,0.63,Matches
8,Ale,br BRA,MF,América (MG),30,1990,28,24,2003,22.3,3,1,4,3,0,0,6,0,2.5,2.5,2.8,5.3,41,121,74,0.13,0.04,0.18,0.13,0.18,0.11,0.13,0.24,0.11,0.24,Matches
9,Alerrandro,br BRA,FW,RB Bragantino,21,2000,24,7,776,8.6,4,2,6,4,0,0,1,0,2.4,2.4,1.0,3.4,4,10,34,0.46,0.23,0.70,0.46,0.70,0.27,0.12,0.39,0.27,0.39,Matches
10,Alesson,br BRA,MF,Bahia,21,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,Matches
