wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
1,Sat,2021-05-29,18:00 (00:00),Cuiabá,1.4,2–2,1.3,Juventude,,Arena Pantanal,Denis Ribeiro Serafim,Match Report,
1,Sat,2021-05-29,20:00 (01:00),Bahia,1.1,3–0,0.5,Santos,,Estádio Governador Roberto Santos,Bruno Arleu de Araujo,Match Report,
1,Sun,2021-05-30,11:00 (16:00),Atlético Mineiro,1.7,1–2,0.9,Fortaleza,,Estádio Governador Magalhães Pinto,Caio Max Augusto Vieira,Match Report,
1,Sun,2021-05-30,16:00 (21:00),Flamengo,2.5,1–0,0.9,Palmeiras,,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
1,Sun,2021-05-30,16:00 (21:00),Ceará,1.3,3–2,1.1,Grêmio,,Estádio Castelão,Savio Pereira,Match Report,
1,Sun,2021-05-30,18:15 (23:15),Corinthians,1.6,0–1,0.4,Atl Goianiense,,Neo Química Arena,Felipe Fernandes de Lima,Match Report,
1,Sun,2021-05-30,18:15 (23:15),Chapecoense,0.7,0–3,2.1,RB Bragantino,,Arena Condá,Marielson Alves Silva,Match Report,
1,Sun,2021-05-30,18:15 (23:15),Ath Paranaense,0.9,1–0,0.7,América (MG),,Estádio Joaquim Américo Guimarães,Jefferson Ferreira de Moraes,Match Report,
1,Sun,2021-05-30,20:30 (01:30),Internacional,1.5,2–2,1.6,Sport Recife,,Estádio José Pinheiro Borba,Vinicius Gonçalves Dias Araujo,Match Report,
1,Sat,2021-05-29,21:00 (02:00),São Paulo,0.8,0–0,1.9,Fluminense,,Estádio do Morumbi,Rodolpho Toski Marques,Match Report,
2,Sat,2021-06-05,19:00 (00:00),Atl Goianiense,1.2,2–0,0.9,São Paulo,,Estádio Antônio Accioly,Diego Pombo Lopez,Match Report,
2,Sun,2021-06-06,11:00 (16:00),Fluminense,0.8,1–0,0.8,Cuiabá,,Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,
2,Sun,2021-06-06,16:00 (21:00),América (MG),0.6,0–1,1.1,Corinthians,,Estádio Raimundo Sampaio,Marcelo de Lima Henrique,Match Report,
2,Sun,2021-06-06,16:00 (21:00),Fortaleza,2.9,5–1,0.5,Internacional,,Estádio Castelão,Paulo Roberto Alves Júnior,Match Report,
2,Sun,2021-06-06,18:15 (23:15),Juventude,0.9,0–3,0.8,Ath Paranaense,,Estádio Francisco Stédile,Paulo Cesar Zanovelli da Silva,Match Report,
2,Sun,2021-06-06,18:15 (23:15),Palmeiras,2.7,3–1,0.6,Chapecoense,,Allianz Parque,Leo Simão Holanda,Match Report,
2,Sun,2021-06-06,20:30 (01:30),Sport Recife,0.5,0–1,0.8,Atlético Mineiro,,Estádio Adelmar da Costa Carvalho,Raphael Claus,Match Report,
2,Sat,2021-06-05,21:00 (02:00),RB Bragantino,1.8,3–3,0.5,Bahia,,Estádio Nabi Abi Chedid,Vinicius Gomes do Amaral,Match Report,
