rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Adriel,br BRA,GK,Grêmio,22,2001,2,2,180,2.0,1,0.50,8,7,87.5,2,0,0,1,50.0,0,0,0,0,,Matches
2,Washington Aguerre,uy URU,GK,América (MG),29,1993,2,2,180,2.0,4,2.00,7,3,42.9,0,1,1,0,0.0,0,0,0,0,,Matches
3,Anderson,br BRA,GK,Cruzeiro,24,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
4,Bento,br BRA,GK,Ath Paranaense,23,1999,33,33,2970,33.0,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3,Matches
5,Brenno,br BRA,GK,Grêmio,23,1999,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
6,Rafael Cabral,br BRA,GK,Cruzeiro,32,1990,37,37,3330,37.0,32,0.86,139,107,78.4,11,13,13,15,40.5,3,2,0,1,0.0,Matches
7,Caíque,br BRA,GK,Grêmio,25,1997,4,4,360,4.0,3,0.75,17,14,88.2,4,0,0,2,50.0,1,1,0,0,0.0,Matches
8,João Carlos,br BRA,GK,Cuiabá,34,1988,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,,Matches
9,Cássio,br BRA,GK,Corinthians,35,1987,37,37,3310,36.8,48,1.31,181,134,76.8,11,14,12,8,21.6,7,6,0,1,0.0,Matches
10,Matheus Cavichioli,br BRA,GK,América (MG),36,1986,15,15,1348,15.0,31,2.07,76,45,61.8,2,1,12,1,6.7,4,2,2,0,50.0,Matches
11,Gabriel Chapecó,br BRA,GK,Grêmio,22,2000,31,31,2790,31.0,51,1.65,159,109,70.4,14,5,12,5,16.1,4,4,0,0,0.0,Matches
12,Mateus Claus,br BRA,GK,Bahia,28,1994,1,0,53,0.6,2,3.40,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
13,Matheus Cunha,br BRA,GK,Flamengo,21,2001,19,18,1580,17.6,22,1.25,98,75,80.6,9,6,3,5,27.8,4,3,1,0,25.0,Matches
14,Vitor Eudes,br BRA,GK,Fluminense,24,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches
15,Éverson,br BRA,GK,Atlético Mineiro,32,1990,36,36,3240,36.0,31,0.86,132,102,78.0,17,9,10,14,38.9,2,2,0,0,0.0,Matches
16,Fábio,br BRA,GK,Fluminense,42,1980,35,35,3150,35.0,41,1.17,145,105,75.2,16,7,12,12,34.3,6,5,0,1,0.0,Matches
17,Marcos Felipe,br BRA,GK,Bahia,26,1996,37,37,3330,37.0,51,1.38,183,133,75.4,12,8,17,9,24.3,6,6,0,0,0.0,Matches
18,Danilo Fernandes,br BRA,GK,Bahia,34,1988,1,1,37,0.4,,,6,6,,,,1,,,,,,,,Matches
19,Gatito Fernández,py PAR,GK,Botafogo (RJ),34,1988,1,0,45,0.5,1,2.00,4,3,75.0,0,0,0,0,,0,0,0,0,,Matches
20,Gabriel,br BRA,GK,Coritiba,30,1992,31,31,2765,30.7,60,1.95,169,110,68.6,7,5,19,6,19.4,8,7,1,0,12.5,Matches
21,Jandrei,br BRA,GK,São Paulo,29,1993,5,5,450,5.0,4,0.80,17,13,88.2,1,3,1,2,40.0,2,2,0,0,0.0,Matches
22,Léo Jardim,br BRA,GK,Vasco da Gama,27,1995,38,38,3420,38.0,51,1.34,182,130,74.2,12,9,17,9,23.7,5,4,1,0,20.0,Matches
23,John,br BRA,GK,Internacional,26,1996,9,9,810,9.0,5,0.56,39,34,87.2,5,3,1,5,55.6,0,0,0,0,,Matches
24,Jori,br BRA,GK,América (MG),26,1996,11,11,990,11.0,25,2.27,72,48,68.1,1,3,7,0,0.0,2,2,0,0,0.0,Matches
25,Keiller,br BRA,GK,Internacional,26,1996,10,10,900,10.0,15,1.50,43,27,67.4,2,2,6,1,10.0,2,1,1,0,50.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Maurício Kozlinski,br BRA,GK,Fortaleza,31,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
27,Leonardo Linck,br BRA,GK,Ath Paranaense,21,2001,5,5,450,5.0,6,1.20,30,23,80.0,2,3,0,1,20.0,1,0,1,0,100.0,Matches
28,Marcelo Lomba,br BRA,GK,Palmeiras,36,1986,3,3,270,3.0,3,1.00,16,13,87.5,1,0,2,1,33.3,1,1,0,0,0.0,Matches
29,Lucão,br BRA,GK,RB Bragantino,21,2001,5,5,450,5.0,8,1.60,14,6,50.0,2,2,1,1,20.0,1,1,0,0,0.0,Matches
30,Matheus Mendes,br BRA,GK,Atlético Mineiro,23,1999,2,2,180,2.0,1,0.50,8,7,87.5,2,0,0,1,50.0,0,0,0,0,,Matches
