rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Abner,br BRA,DF,Juventude,21-192,2004,14.2,464,546,85.0,9528,3231,128,137,274,294,59,105,1,0.4,0.2,+0.6,5,23,1,0,21,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-197,1999,13.2,760,888,85.6,12420,3383,380,410,283,318,65,100,1,1.0,1.1,0.0,13,83,7,1,78,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-150,1994,7.4,235,313,75.1,3456,1155,133,156,74,90,13,33,0,1.4,1.6,-1.4,19,31,21,5,48,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-022,2000,2.3,122,146,83.6,1503,290,80,90,25,32,4,6,0,0.2,0.3,-0.2,4,13,4,1,12,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-092,2000,23.4,1004,1300,77.2,17751,6466,442,494,447,570,98,169,0,1.0,1.0,-1.0,12,82,19,8,107,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-197,2002,3.7,51,69,73.9,761,255,26,34,17,20,3,6,0,0.1,0.0,-0.1,2,2,0,0,9,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-224,2001,16.4,181,244,74.2,2533,435,102,128,61,79,7,11,2,1.3,0.4,+0.7,11,16,5,1,18,Matches
8,José Aldo,br BRA,MF,Mirassol,27-095,1998,11.9,508,607,83.7,8458,2738,242,273,187,212,51,68,1,2.0,1.5,-1.0,15,50,7,2,78,Matches
9,Alesson,br BRA,FW,Mirassol,26-254,1999,11.0,201,267,75.3,2915,863,123,145,55,70,13,29,5,1.9,1.8,+3.1,18,11,21,12,23,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-246,1999,13.1,849,950,89.4,15107,3773,367,395,375,400,89,111,1,1.2,1.2,-0.2,9,89,13,4,91,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-204,1999,14.4,499,614,81.3,7570,2866,270,293,194,239,21,40,1,0.8,0.8,+0.2,8,28,12,8,49,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-020,2003,4.0,161,189,85.2,2566,859,84,95,66,72,9,11,0,0.1,0.2,-0.1,3,25,4,0,31,Matches
13,Alisson,br BRA,MF,São Paulo,32-125,1993,19.2,1045,1192,87.7,18660,4585,451,489,462,508,112,151,1,0.6,0.8,+0.4,17,100,13,5,109,Matches
14,Allan,br BRA,MF,Flamengo,28-239,1997,7.6,515,552,93.3,9085,2072,230,239,243,255,39,52,0,0.1,0.5,-0.1,5,76,11,0,52,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,21-192,2004,6.3,155,201,77.1,2442,599,75,90,67,81,10,17,2,0.6,0.3,+1.4,8,7,2,0,17,Matches
16,Allan,br BRA,"MF,FW",Botafogo (RJ),34-293,1991,8.2,426,471,90.4,7218,2040,199,208,179,196,35,45,0,0.3,0.6,-0.3,5,47,9,3,45,Matches
17,Allanzinho,br BRA,"MF,FW",Fortaleza,25-207,2000,2.8,56,78,71.8,817,238,35,42,15,20,5,11,2,1.4,0.6,+0.6,6,2,5,4,2,Matches
