rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Abner,br BRA,DF,Juventude,21-192,2004,14.2,546,518,24,19,1,1,0,0,0,0,0,0,464,4,2,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-197,1999,13.2,888,828,59,38,3,9,8,7,0,0,0,0,760,1,17,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-150,1994,7.4,313,283,27,12,4,2,27,0,7,1,4,0,235,3,5,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-022,2000,2.3,146,143,3,2,0,0,7,1,0,0,0,0,122,0,4,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-092,2000,23.4,1300,1069,227,19,1,4,71,208,0,0,0,0,1004,4,29,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-197,2002,3.7,69,61,8,1,0,1,5,5,0,0,0,0,51,0,2,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-224,2001,16.4,244,226,18,0,0,2,2,3,0,0,0,0,181,0,7,Matches
8,José Aldo,br BRA,MF,Mirassol,27-095,1998,11.9,607,589,14,10,1,7,7,2,1,0,1,0,508,4,11,Matches
9,Alesson,br BRA,FW,Mirassol,26-254,1999,11.0,267,263,4,1,0,0,34,3,0,0,0,0,201,0,12,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-246,1999,13.1,950,890,56,44,2,10,13,1,9,0,0,0,849,4,13,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-204,1999,14.4,614,479,134,7,0,1,36,127,0,0,0,0,499,1,21,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-020,2003,4.0,189,176,12,6,0,0,3,5,1,0,0,0,161,1,6,Matches
13,Alisson,br BRA,MF,São Paulo,32-125,1993,19.2,1192,1135,55,38,0,7,25,7,8,4,3,0,1045,2,22,Matches
