squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Atlético Mineiro,33,29.4,54.2,29,319,2610,29.0,25,17,42,24,1,1,79,5,30.3,29.5,20.7,50.2,480,1204,0.86,0.59,1.45,0.83,1.41,1.04,0.71,1.76,1.02,1.73
Bahia,30,28.2,54.3,30,330,2700,30.0,38,27,65,35,3,4,68,4,38.0,34.8,27.7,62.5,599,1171,1.27,0.9,2.17,1.17,2.07,1.27,0.92,2.19,1.16,2.08
Botafogo (RJ),38,27.5,51.5,30,330,2700,30.0,41,32,73,39,2,2,73,3,38.6,37.0,30.3,67.3,501,1224,1.37,1.07,2.43,1.3,2.37,1.29,1.01,2.3,1.23,2.24
Ceará,33,29.6,43.0,29,319,2610,29.0,27,20,47,26,1,2,59,1,31.0,29.3,20.6,49.9,345,822,0.93,0.69,1.62,0.9,1.59,1.07,0.71,1.78,1.01,1.72
Corinthians,34,27.5,55.1,30,330,2700,30.0,30,20,50,28,2,4,91,2,34.9,32.5,25.4,58.0,402,1131,1.0,0.67,1.67,0.93,1.6,1.16,0.85,2.01,1.08,1.93
Cruzeiro,35,29.4,47.4,30,330,2700,30.0,41,34,75,40,1,3,82,5,39.1,36.7,30.4,67.1,466,1028,1.37,1.13,2.5,1.33,2.47,1.3,1.01,2.32,1.22,2.24
Flamengo,31,29.6,61.3,29,319,2610,29.0,56,46,102,52,4,5,61,3,42.3,38.3,29.6,67.9,502,1510,1.93,1.59,3.52,1.79,3.38,1.46,1.02,2.48,1.32,2.34
Fluminense,36,31.3,54.1,29,319,2610,29.0,35,19,54,32,3,4,54,2,30.5,27.5,21.3,48.8,472,1048,1.21,0.66,1.86,1.1,1.76,1.05,0.73,1.79,0.95,1.68
Fortaleza,44,30.3,47.0,29,319,2610,29.0,27,21,48,25,2,4,85,8,34.9,31.7,24.7,56.3,437,1068,0.93,0.72,1.66,0.86,1.59,1.2,0.85,2.05,1.09,1.94
Grêmio,39,28.7,44.2,30,330,2700,30.0,32,18,50,24,8,8,77,5,35.4,29.1,21.2,50.4,402,833,1.07,0.6,1.67,0.8,1.4,1.18,0.71,1.89,0.97,1.68
Internacional,39,27.9,50.0,30,330,2700,30.0,35,20,55,27,8,9,64,5,43.5,36.5,28.6,65.1,432,1130,1.17,0.67,1.83,0.9,1.57,1.45,0.95,2.4,1.22,2.17
Juventude,44,29.2,42.9,30,330,2700,30.0,24,19,43,22,2,3,89,4,22.2,19.8,16.3,36.1,354,856,0.8,0.63,1.43,0.73,1.37,0.74,0.54,1.28,0.66,1.2
Mirassol,34,30.3,49.1,30,330,2700,30.0,50,33,83,44,6,7,67,1,45.6,40.1,32.0,72.1,434,1098,1.67,1.1,2.77,1.47,2.57,1.52,1.07,2.59,1.34,2.4
Palmeiras,37,27.2,52.7,29,319,2610,29.0,52,35,87,46,6,7,57,2,44.1,38.5,29.7,68.2,460,1157,1.79,1.21,3.0,1.59,2.79,1.52,1.02,2.54,1.33,2.35
RB Bragantino,31,26.5,47.2,30,330,2700,30.0,34,22,56,30,4,4,82,3,34.0,31.0,22.5,53.5,438,1105,1.13,0.73,1.87,1.0,1.73,1.13,0.75,1.89,1.03,1.78
Santos,40,28.6,49.4,29,319,2610,29.0,29,15,44,24,5,5,82,4,35.1,31.1,23.3,54.4,429,1053,1.0,0.52,1.52,0.83,1.34,1.21,0.8,2.01,1.07,1.88
São Paulo,37,29.1,52.1,30,330,2700,30.0,33,27,60,31,2,5,81,2,38.0,34.2,28.0,62.2,451,1121,1.1,0.9,2.0,1.03,1.93,1.27,0.93,2.2,1.14,2.07
Sport Recife,40,28.7,48.0,29,319,2610,29.0,20,11,31,18,2,2,72,1,31.1,29.5,21.7,51.2,466,1114,0.69,0.38,1.07,0.62,1.0,1.07,0.75,1.82,1.02,1.76
Vasco da Gama,37,28.0,54.7,30,330,2700,30.0,48,34,82,43,5,5,61,4,37.0,33.1,25.1,58.2,480,1108,1.6,1.13,2.73,1.43,2.57,1.23,0.84,2.07,1.1,1.94
Vitória,39,28.3,42.1,30,330,2700,30.0,27,19,46,25,2,2,93,7,33.3,31.7,23.0,54.7,435,904,0.9,0.63,1.53,0.83,1.47,1.11,0.77,1.88,1.06,1.82
