rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,0,0,0,0,0,0,3,3,2,1,1,1,1,1,0,Matches
2,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,21,14,16,4,1,15,32,17,27,11,16,25,46,61,1,Matches
3,Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,16,8,7,8,1,10,19,9,18,3,15,7,23,16,2,Matches
4,Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,22,15,13,8,1,12,25,13,16,1,15,14,36,14,0,Matches
5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,11,7,3,6,2,3,21,18,8,1,7,2,13,4,0,Matches
6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,38,21,23,14,1,12,20,8,20,11,9,30,68,61,2,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,24,16,20,4,0,13,24,11,21,11,10,13,37,48,0,Matches
8,David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,30,17,14,15,1,16,25,9,19,10,9,29,59,40,0,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,6,3,0,4,2,1,8,7,12,2,10,1,7,9,0,Matches
10,Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,2,2,0,2,0,1,5,4,4,1,3,2,4,3,0,Matches
11,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,45,26,17,23,5,12,33,21,12,3,9,45,90,13,1,Matches
12,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,26,16,7,15,4,16,34,18,12,2,10,14,40,8,1,Matches
13,Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,5,4,3,2,0,1,1,0,3,1,2,1,6,3,0,Matches
14,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,9,4,3,4,2,3,12,9,3,0,3,4,13,5,0,Matches
15,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,20,10,0,12,8,4,19,15,19,3,16,5,25,36,0,Matches
16,Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,52,27,28,18,6,19,60,41,27,7,20,47,99,36,0,Matches
17,Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,15,9,7,5,3,5,15,10,14,1,13,19,34,24,0,Matches
18,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,25,16,13,9,3,9,33,24,29,2,27,15,40,14,0,Matches
19,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,56,37,19,29,8,27,74,47,27,6,21,22,78,21,1,Matches
20,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,42,24,15,23,4,16,62,46,25,6,19,25,67,35,0,Matches
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,26,13,15,11,0,11,28,17,13,2,11,16,42,13,0,Matches
22,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,29,12,15,9,5,12,23,11,19,5,14,10,39,29,0,Matches
23,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,2,0,0,2,0,0,4,4,4,2,2,2,4,3,0,Matches
24,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,38,25,26,11,1,20,37,17,28,15,13,45,83,72,1,Matches
25,Matthias Bader,de GER,DF,Köln,22,1997,0.1,1,1,1,0,0,1,2,1,0,0,0,0,1,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Daniel Baier,de GER,MF,Augsburg,35,1984,21.6,33,17,14,14,5,15,43,28,19,7,12,58,91,27,0,Matches
27,Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,12.1,6,3,1,5,0,6,16,10,9,0,9,8,14,3,0,Matches
28,Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,6.1,8,5,6,2,0,2,10,8,5,2,3,2,10,5,0,Matches
29,Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,26.1,54,31,25,22,7,26,53,27,45,7,38,42,96,57,0,Matches
30,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,1.5,2,1,1,1,0,2,2,0,0,0,0,4,6,3,0,Matches
31,Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,6.5,15,12,8,5,2,6,23,17,8,2,6,16,31,15,0,Matches
32,Aymen Barkok,ma MAR,"FW,MF",Düsseldorf,21,1998,0.9,1,1,0,0,1,0,2,2,2,0,2,3,4,1,0,Matches
33,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,10.4,38,21,16,19,3,14,29,15,18,3,15,9,47,18,1,Matches
34,Fin Bartels,de GER,"MF,FW",Werder Bremen,32,1987,3.8,9,5,4,4,1,3,12,9,3,1,2,1,10,1,0,Matches
35,Oliver Batista-Meier,de GER,MF,Bayern Munich,18,2001,0.1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Matches
36,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,0,0,0,0,0,0,0,0,1,0,1,3,3,15,0,Matches
37,Julian Baumgartlinger,at AUT,MF,Leverkusen,31,1988,19.9,42,21,15,21,6,18,42,24,37,4,33,20,62,16,1,Matches
38,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,19,1999,16.6,32,17,15,16,1,10,37,27,25,1,24,8,40,13,0,Matches
39,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,22,1996,4.2,4,3,0,4,0,1,4,3,2,1,1,5,9,4,0,Matches
40,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,25,1994,23.4,27,15,9,13,5,8,23,15,25,4,21,11,38,25,0,Matches
41,Sheraldo Becker,sr SUR,"MF,FW",Union Berlin,24,1995,6.0,2,1,2,0,0,1,3,2,1,0,1,0,2,1,0,Matches
42,Timo Becker,de GER,"DF,MF",Schalke 04,22,1997,3.7,10,9,3,6,1,5,9,4,6,1,5,3,13,8,0,Matches
43,Maximilian Beier,de GER,FW,Hoffenheim,16,2002,1.2,5,2,0,1,4,1,2,1,2,0,2,0,5,0,0,Matches
