rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,1,0,0,0,0,3,8,1,0,0,0,0,7,6,11,35.3,Matches
2,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,2,1,0,14,12,0,9,25,14,0,0,0,125,48,30,61.5,Matches
3,Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,3,0,0,17,12,0,7,7,8,0,0,0,51,9,9,50.0,Matches
4,Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,0,0,0,9,16,0,10,14,15,0,0,0,58,14,14,50.0,Matches
5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,1,0,0,12,7,7,11,2,7,1,0,0,32,12,34,26.1,Matches
6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,2,0,0,11,23,0,2,30,21,0,0,1,119,31,33,48.4,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,2,0,0,8,13,1,3,13,16,0,1,1,72,21,27,43.8,Matches
8,David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,0,0,0,10,7,1,29,29,17,0,0,0,213,21,29,42.0,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,6,0,0,23,13,19,4,1,3,0,0,0,24,42,53,44.2,Matches
10,Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,0,0,0,2,3,7,1,2,2,0,0,0,4,3,15,16.7,Matches
11,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,7,0,0,24,13,0,7,45,26,0,0,0,195,35,37,48.6,Matches
12,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,3,0,0,27,39,3,114,14,16,1,0,0,140,9,17,34.6,Matches
13,Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,0,0,0,0,0,0,0,1,4,0,0,0,3,1,0,100.0,Matches
14,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,1,0,0,16,5,8,14,4,4,0,0,0,27,3,9,25.0,Matches
15,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,5,0,0,62,40,21,31,5,10,0,0,0,89,243,207,54.0,Matches
16,Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,13,1,1,65,37,0,39,47,27,1,0,0,189,46,33,58.2,Matches
17,Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,2,0,0,12,16,3,80,19,9,0,0,0,73,7,21,25.0,Matches
18,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,2,0,0,17,39,4,69,15,16,0,0,0,132,22,39,36.1,Matches
19,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,2,0,0,15,44,0,13,22,37,0,0,0,204,14,22,38.9,Matches
20,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,8,0,0,52,69,0,166,25,24,0,0,0,213,25,24,51.0,Matches
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,2,0,0,11,5,0,2,16,13,0,0,0,46,7,11,38.9,Matches
22,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,2,0,0,18,12,1,57,10,12,0,0,0,41,16,15,51.6,Matches
23,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,1,0,0,5,3,3,9,2,0,0,1,0,21,15,22,40.5,Matches
24,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,10,0,0,36,20,3,23,45,25,0,1,0,165,43,57,43.0,Matches
25,Matthias Bader,de GER,DF,Köln,22,1997,0.1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Daniel Baier,de GER,MF,Augsburg,35,1984,21.6,6,0,0,31,38,0,5,58,17,0,0,0,180,31,26,54.4,Matches
27,Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,12.1,0,2,0,17,17,6,78,8,3,0,0,0,68,10,15,40.0,Matches
28,Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,6.1,1,0,0,8,7,0,4,2,5,0,0,1,31,3,0,100.0,Matches
29,Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,26.1,5,1,0,33,41,2,83,42,31,0,0,0,180,30,35,46.2,Matches
30,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,1.5,1,0,0,1,0,0,0,4,1,0,0,0,12,0,2,0.0,Matches
31,Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,6.5,3,1,1,15,10,0,3,16,12,0,0,0,44,14,6,70.0,Matches
32,Aymen Barkok,ma MAR,"FW,MF",Düsseldorf,21,1998,0.9,0,0,0,0,0,0,0,3,1,0,0,0,4,1,1,50.0,Matches
33,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,10.4,4,0,0,26,23,0,5,9,21,0,0,0,64,19,19,50.0,Matches
34,Fin Bartels,de GER,"MF,FW",Werder Bremen,32,1987,3.8,2,0,0,8,0,1,10,1,5,0,0,0,16,4,10,28.6,Matches
35,Oliver Batista-Meier,de GER,MF,Bayern Munich,18,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
36,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,1,0,0,0,8,0,0,3,0,0,0,0,42,8,2,80.0,Matches
37,Julian Baumgartlinger,at AUT,MF,Leverkusen,31,1988,19.9,4,0,0,29,32,1,3,20,21,0,0,0,123,20,14,58.8,Matches
38,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,19,1999,16.6,3,0,0,37,29,6,17,8,17,1,0,0,70,43,46,48.3,Matches
39,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,22,1996,4.2,1,0,0,2,12,0,10,5,3,1,0,0,17,12,21,36.4,Matches
