rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3,Matches
2,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5,Matches
3,Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9,Matches
4,Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14,Matches
5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11,Matches
6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,1948,1871,74,43,2,20,2,31,0,0,0,0,1764,3,10,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,757,727,30,14,0,3,3,16,0,0,0,0,664,0,6,Matches
8,David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,2516,2397,115,55,5,14,29,56,4,0,1,0,2263,4,19,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,310,274,32,2,1,3,4,2,0,0,0,0,219,4,12,Matches
10,Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,111,93,18,0,0,0,1,0,1,0,0,0,81,0,0,Matches
11,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,1813,1748,60,52,4,31,7,4,4,3,0,0,1632,5,20,Matches
12,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,1145,972,162,48,7,7,114,34,77,45,25,1,886,11,25,Matches
13,Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,83,81,2,2,0,0,0,0,0,0,0,0,75,0,0,Matches
14,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,104,100,4,2,1,3,14,1,1,0,1,0,60,0,8,Matches
15,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,800,778,18,0,0,2,31,0,0,0,0,0,463,4,26,Matches
16,Robert Andrich,de GER,MF,Union Berlin,24,1994,28.6,1214,1174,35,20,5,10,39,2,7,2,2,0,857,5,24,Matches
17,Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,12.2,767,613,151,19,1,5,80,102,30,20,3,0,574,3,20,Matches
18,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,27.4,854,703,145,6,1,9,69,107,31,14,5,0,593,6,35,Matches
19,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,23.5,1628,1577,42,37,2,8,13,1,4,1,3,0,1385,9,21,Matches
20,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,31.3,1550,1272,264,146,8,33,166,22,90,29,41,5,1160,14,22,Matches
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,7.0,311,295,16,15,0,3,2,1,0,0,0,0,261,0,11,Matches
22,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,25,1994,10.3,546,419,125,17,0,2,57,93,15,5,9,0,386,2,18,Matches
23,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,21,1997,5.4,109,105,4,0,1,0,9,1,0,0,0,0,73,0,6,Matches
24,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,30.3,1816,1670,140,55,4,67,23,85,0,0,0,0,1502,6,20,Matches
25,Matthias Bader,de GER,DF,Köln,22,1997,0.1,8,4,4,1,0,0,0,3,0,0,0,0,6,0,0,Matches
