rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,84,137,61.3,1009,278,53,78,23,36,1,3,1,1.3,0.6,-0.3,7,5,6,0,17,Matches
2,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,37,64,57.8,481,117,22,32,10,18,1,3,1,0.4,0.3,+0.6,3,3,3,2,2,Matches
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,794,918,86.5,11903,3451,424,460,278,307,49,71,1,0.9,1.4,+0.1,7,85,8,0,96,Matches
4,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,73,101,72.3,991,255,44,57,28,35,0,3,0,0.5,0.5,-0.5,4,5,4,2,9,Matches
5,Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,14.0,376,516,72.9,5007,1529,219,272,125,166,9,18,2,2.1,1.5,-0.1,14,27,19,4,56,Matches
6,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,28,32,87.5,501,62,14,15,10,11,4,6,0,0.0,0.0,0.0,0,1,0,0,3,Matches
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,1819,2013,90.4,36320,13836,585,629,973,1018,235,314,0,0.1,0.7,-0.1,2,122,2,0,115,Matches
8,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,691,917,75.4,11479,4667,332,384,289,358,52,111,2,2.6,2.0,-0.6,11,57,11,2,87,Matches
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,115,171,67.3,1392,257,68,92,30,44,3,6,0,1.0,1.5,-1.0,7,5,5,0,10,Matches
10,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,183,222,82.4,2857,576,97,105,59,72,18,28,0,0.3,0.4,-0.3,3,10,8,0,21,Matches
