round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Bundesliga,1,Fri,2021-08-13,20:30,Gladbach,2.3,1–1,2.5,Bayern Munich,22925,Stadion im Borussia-Park,Marco Fritz,Match Report,
Bundesliga,1,Sat,2021-08-14,15:30,Wolfsburg,2.0,1–0,0.4,Bochum,8536,Volkswagen Arena,Frank Willenborg,Match Report,
Bundesliga,1,Sat,2021-08-14,15:30,Arminia,0.4,0–0,1.6,Freiburg,13750,SchücoArena,Sven Jablonski,Match Report,
Bundesliga,1,Sat,2021-08-14,15:30,Augsburg,0.6,0–4,3.8,Hoffenheim,9124,WWK Arena,Felix Brych,Match Report,
Bundesliga,1,Sat,2021-08-14,15:30,Stuttgart,3.0,5–1,1.2,Greuther Fürth,18109,Mercedes-Benz Arena,Felix Zwayer,Match Report,
Bundesliga,1,Sat,2021-08-14,15:30,Union Berlin,0.5,1–1,0.8,Leverkusen,11000,Stadion An der Alten Försterei,Tobias Reichel,Match Report,
Bundesliga,1,Sat,2021-08-14,18:30,Dortmund,2.7,5–2,1.3,Eint Frankfurt,25000,Signal Iduna Park,Tobias Stieler,Match Report,
Bundesliga,1,Sun,2021-08-15,15:30,Mainz 05,1.2,1–0,1.1,RB Leipzig,10500,Mewa Arena,Daniel Siebert,Match Report,
Bundesliga,1,Sun,2021-08-15,17:30,Köln,1.6,3–1,1.8,Hertha BSC,16500,RheinEnergieSTADION,Robert Hartmann,Match Report,
Bundesliga,2,Fri,2021-08-20,20:30,RB Leipzig,3.6,4–0,1.1,Stuttgart,23100,Red Bull Arena,Florian Badstübner,Match Report,
Bundesliga,2,Sat,2021-08-21,15:30,Freiburg,1.3,2–1,1.6,Dortmund,10100,Schwarzwald-Stadion,Robert Schröder,Match Report,
Bundesliga,2,Sat,2021-08-21,15:30,Bochum,0.8,2–0,0.9,Mainz 05,12548,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
Bundesliga,2,Sat,2021-08-21,15:30,Greuther Fürth,2.5,1–1,0.8,Arminia,5890,Sportpark Ronhof Thomas Sommer,Daniel Schlager,Match Report,
Bundesliga,2,Sat,2021-08-21,15:30,Eint Frankfurt,1.6,0–0,0.3,Augsburg,22000,Deutsche Bank Park,Harm Osmers,Match Report,
Bundesliga,2,Sat,2021-08-21,15:30,Hertha BSC,1.2,1–2,1.0,Wolfsburg,18241,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,
Bundesliga,2,Sat,2021-08-21,18:30,Leverkusen,1.9,4–0,1.7,Gladbach,15105,BayArena,Deniz Aytekin,Match Report,
Bundesliga,2,Sun,2021-08-22,15:30,Hoffenheim,1.0,2–2,1.8,Union Berlin,8014,PreZero Arena,Sascha Stegemann,Match Report,
Bundesliga,2,Sun,2021-08-22,17:30,Bayern Munich,2.6,3–2,1.1,Köln,20000,Allianz Arena,Martin Petersen,Match Report,
Bundesliga,3,Fri,2021-08-27,20:30,Dortmund,3.4,3–2,2.2,Hoffenheim,25000,Signal Iduna Park,Felix Zwayer,Match Report,
Bundesliga,3,Sat,2021-08-28,15:30,Arminia,0.6,1–1,1.5,Eint Frankfurt,13750,SchücoArena,Bastian Dankert,Match Report,
Bundesliga,3,Sat,2021-08-28,15:30,Stuttgart,1.8,2–3,1.3,Freiburg,25000,Mercedes-Benz Arena,Frank Willenborg,Match Report,
Bundesliga,3,Sat,2021-08-28,15:30,Mainz 05,2.7,3–0,0.2,Greuther Fürth,11500,Mewa Arena,Tobias Reichel,Match Report,
Bundesliga,3,Sat,2021-08-28,15:30,Köln,3.2,2–1,0.6,Bochum,25000,RheinEnergieSTADION,Benjamin Cortus,Match Report,
Bundesliga,3,Sat,2021-08-28,15:30,Augsburg,1.8,1–4,2.0,Leverkusen,10582,WWK Arena,Benjamin Brand,Match Report,
Bundesliga,3,Sat,2021-08-28,18:30,Bayern Munich,2.8,5–0,0.4,Hertha BSC,25000,Allianz Arena,Sven Jablonski,Match Report,
Bundesliga,3,Sun,2021-08-29,15:30,Union Berlin,1.9,2–1,1.8,Gladbach,11006,Stadion An der Alten Försterei,Felix Brych,Match Report,
