rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45.0,31,18,23,6,2,19,33,14,23,9,14,39,70,101,0,Matches
2,Rolando Aarons,eng ENG,"FW,DF",Huddersfield,24,1995,5.5,18,9,10,4,4,8,12,4,5,1,4,6,24,3,0,Matches
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,14.4,8,3,3,5,0,2,4,2,8,1,7,5,13,16,0,Matches
4,Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,13.5,13,8,5,3,5,8,18,10,27,0,27,10,23,7,0,Matches
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,1.6,0,0,0,0,0,0,1,1,1,0,1,2,2,3,0,Matches
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,16.4,24,14,6,13,5,4,14,10,15,6,9,32,56,18,0,Matches
7,Albert Adomah,gh GHA,"FW,MF",QPR,32,1987,9.6,25,14,10,10,5,16,31,15,18,0,18,14,39,12,1,Matches
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,14.1,19,14,12,7,0,8,12,4,13,5,8,20,39,43,0,Matches
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,14.4,4,3,1,1,2,0,1,1,2,0,2,0,4,10,0,Matches
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,21.4,9,3,0,8,1,1,3,2,6,1,5,1,10,13,0,Matches
11,Jamie Allen,eng ENG,"MF,FW",Coventry City,25,1995,14.8,17,8,7,6,4,6,30,24,14,2,12,11,28,4,0,Matches
12,Joe Allen,wls WAL,MF,Stoke City,30,1990,15.3,19,6,6,12,1,8,20,12,15,0,15,21,40,18,0,Matches
13,Ryan Allsop,eng ENG,GK,Wycombe,28,1992,29.0,0,0,0,0,0,0,0,0,1,0,1,3,3,18,1,Matches
14,Sone Aluko,ng NGA,"FW,MF",Reading,31,1989,11.0,14,10,3,9,2,8,27,19,16,1,15,12,26,8,0,Matches
15,Sammy Ameobi,eng ENG,"FW,MF",Nott'ham Forest,28,1992,24.7,54,34,16,26,12,25,49,24,29,3,26,30,84,25,0,Matches
16,Luke Amos,eng ENG,MF,QPR,23,1997,4.4,11,7,3,5,3,3,10,7,6,2,4,4,15,4,0,Matches
17,Miguel Ángel Guerrero,es ESP,"FW,MF",Nott'ham Forest,30,1990,4.4,1,1,0,1,0,0,3,3,1,0,1,0,1,3,1,Matches
