rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45.0,5,0,0,21,65,4,132,39,18,2,0,0,232,37,62,37.4,Matches
2,Rolando Aarons,eng ENG,"FW,DF",Huddersfield,24,1995,5.5,0,0,0,8,6,1,16,6,9,0,0,0,27,4,5,44.4,Matches
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,14.4,0,0,0,34,19,12,14,5,3,1,0,0,42,84,121,41.0,Matches
4,Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,13.5,0,0,0,28,16,4,12,10,8,0,0,1,69,30,90,25.0,Matches
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,1.6,0,0,0,1,0,0,3,2,0,0,0,0,3,0,3,0.0,Matches
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,16.4,2,0,0,22,25,0,2,32,14,0,0,0,115,20,19,51.3,Matches
7,Albert Adomah,gh GHA,"FW,MF",QPR,32,1987,9.6,1,0,0,14,5,3,60,14,14,0,0,0,61,7,24,22.6,Matches
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,14.1,2,1,0,14,10,0,0,20,14,0,0,0,46,35,29,54.7,Matches
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,14.4,0,0,0,43,5,8,1,0,3,0,0,0,14,217,184,54.1,Matches
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,21.4,2,0,0,21,31,12,6,1,3,0,0,0,44,91,184,33.1,Matches
11,Jamie Allen,eng ENG,"MF,FW",Coventry City,25,1995,14.8,0,0,0,11,14,2,17,11,8,0,0,0,70,11,17,39.3,Matches
12,Joe Allen,wls WAL,MF,Stoke City,30,1990,15.3,2,0,0,16,14,0,21,21,6,0,1,0,112,18,27,40.0,Matches
13,Ryan Allsop,eng ENG,GK,Wycombe,28,1992,29.0,4,0,0,0,4,0,0,3,0,0,0,0,27,4,2,66.7,Matches
14,Sone Aluko,ng NGA,"FW,MF",Reading,31,1989,11.0,0,0,0,14,18,2,57,12,10,0,0,0,65,5,13,27.8,Matches
15,Sammy Ameobi,eng ENG,"FW,MF",Nott'ham Forest,28,1992,24.7,3,0,0,40,22,10,59,30,34,0,0,0,159,58,82,41.4,Matches
16,Luke Amos,eng ENG,MF,QPR,23,1997,4.4,0,0,0,3,4,2,3,4,7,0,0,0,21,6,7,46.2,Matches
17,Miguel Ángel Guerrero,es ESP,"FW,MF",Nott'ham Forest,30,1990,4.4,1,0,0,10,1,1,2,0,1,0,0,0,16,11,17,39.3,Matches
18,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,20,1999,0.8,0,0,0,1,0,0,5,0,1,0,0,0,5,3,3,50.0,Matches
19,Felipe Araruna,br BRA,DF,Reading,24,1996,1.7,0,0,0,1,3,0,2,0,4,0,0,0,6,3,4,42.9,Matches
20,Jordan Archer,sct SCO,GK,Middlesbrough,27,1993,5.0,0,0,0,0,5,0,0,0,1,0,0,0,5,2,0,100.0,Matches
21,Adam Armstrong,eng ENG,FW,Blackburn,23,1997,38.4,3,0,0,51,32,41,42,6,11,0,0,0,80,14,43,24.6,Matches
22,Paul Arriola,us USA,MF,Swansea City,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0,Matches
23,Harry Arter,ie IRL,MF,Nott'ham Forest,30,1989,8.0,3,0,0,13,7,0,26,5,12,0,0,0,42,2,3,40.0,Matches
24,Britt Assombalonga,cd COD,FW,Middlesbrough,27,1992,19.2,2,0,0,53,27,19,3,1,0,1,0,0,41,48,113,29.8,Matches
25,Charlie Austin,eng ENG,FW,QPR,31,1989,15.7,3,0,0,25,24,9,17,5,7,0,0,0,52,19,43,30.6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Daniel Ayala,es ESP,DF,Blackburn,29,1990,8.7,0,0,0,7,7,2,0,11,9,0,0,0,50,31,30,50.8,Matches
27,André Ayew,gh GHA,FW,Swansea City,30,1989,40.6,4,0,0,37,72,24,38,9,13,0,0,0,119,122,250,32.8,Matches
