rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45.0,3053,126,973,1119,994,121,3053,107,61,57.0,46,43.0,1783,11759,5749,147,99,50,66,27,1979,288,Matches
2,Rolando Aarons,eng ENG,"FW,DF",Huddersfield,24,1995,5.5,251,5,41,80,134,28,251,18,7,38.9,11,61.1,163,929,339,13,7,8,24,9,171,60,Matches
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,14.4,489,16,38,159,296,82,488,35,14,40.0,21,60.0,263,1699,570,27,16,15,57,11,360,108,Matches
4,Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,13.5,513,13,54,204,263,50,513,36,16,44.4,20,55.6,259,1362,469,26,14,13,65,44,331,94,Matches
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,1.6,59,3,13,27,19,2,59,7,3,42.9,4,57.1,36,207,120,2,0,2,2,0,43,7,Matches
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,16.4,540,33,141,317,100,8,540,27,21,77.8,6,22.2,250,1719,709,17,10,3,17,11,199,12,Matches
7,Albert Adomah,gh GHA,"FW,MF",QPR,32,1987,9.6,586,17,93,207,297,41,586,33,20,60.6,13,39.4,342,2558,1223,52,21,12,34,19,381,96,Matches
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,14.1,717,63,342,345,33,14,717,3,3,100.0,0,0.0,356,1761,1020,10,3,0,9,0,356,2,Matches
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,14.4,527,14,21,193,315,84,526,5,2,40.0,3,60.0,209,444,142,2,10,2,36,23,449,65,Matches
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,21.4,460,14,26,203,238,67,460,20,12,60.0,8,40.0,238,1341,586,19,15,8,58,18,338,93,Matches
11,Jamie Allen,eng ENG,"MF,FW",Coventry City,25,1995,14.8,559,8,82,329,158,15,559,14,7,50.0,7,50.0,313,1915,819,27,22,6,34,9,372,38,Matches
12,Joe Allen,wls WAL,MF,Stoke City,30,1990,15.3,869,28,140,471,267,27,869,19,10,52.6,9,47.4,419,1942,780,20,11,5,37,15,517,55,Matches
13,Ryan Allsop,eng ENG,GK,Wycombe,28,1992,29.0,1141,819,1063,78,0,0,1141,0,0,,0,,482,3912,2638,0,0,0,1,0,247,0,Matches
14,Sone Aluko,ng NGA,"FW,MF",Reading,31,1989,11.0,609,17,93,292,237,34,609,54,31,57.4,23,42.6,378,2767,1239,52,30,14,34,14,427,66,Matches
15,Sammy Ameobi,eng ENG,"FW,MF",Nott'ham Forest,28,1992,24.7,1330,33,194,585,573,55,1330,85,47,55.3,38,44.7,759,5344,2696,91,63,23,77,64,928,130,Matches
16,Luke Amos,eng ENG,MF,QPR,23,1997,4.4,173,9,33,92,50,11,173,7,1,14.3,6,85.7,89,452,141,3,1,0,10,6,113,15,Matches
17,Miguel Ángel Guerrero,es ESP,"FW,MF",Nott'ham Forest,30,1990,4.4,165,2,21,82,65,17,165,15,9,60.0,6,40.0,105,442,187,7,5,3,17,12,131,19,Matches
18,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,20,1999,0.8,64,0,5,31,29,5,64,9,3,33.3,6,66.7,40,246,108,5,3,4,1,0,42,15,Matches
19,Felipe Araruna,br BRA,DF,Reading,24,1996,1.7,112,3,33,60,19,0,112,1,0,0.0,1,100.0,46,168,88,1,0,0,2,1,60,2,Matches
20,Jordan Archer,sct SCO,GK,Middlesbrough,27,1993,5.0,172,139,169,3,0,0,172,0,0,,0,,82,344,190,0,0,0,0,0,54,0,Matches
21,Adam Armstrong,eng ENG,FW,Blackburn,23,1997,38.4,1253,0,43,441,793,236,1245,103,49,47.6,54,52.4,792,5132,2260,104,70,55,106,47,972,307,Matches
22,Paul Arriola,us USA,MF,Swansea City,25,1995,0.2,9,0,4,4,2,1,9,0,0,,0,,5,61,34,0,0,0,1,0,4,1,Matches
23,Harry Arter,ie IRL,MF,Nott'ham Forest,30,1989,8.0,439,11,78,261,104,8,439,2,1,50.0,1,50.0,224,955,453,7,5,0,6,1,260,11,Matches
24,Britt Assombalonga,cd COD,FW,Middlesbrough,27,1992,19.2,445,11,23,127,298,79,444,30,14,46.7,16,53.3,285,1459,319,9,9,12,70,44,370,108,Matches
25,Charlie Austin,eng ENG,FW,QPR,31,1989,15.7,525,13,38,257,234,62,525,23,11,47.8,12,52.2,291,1031,343,9,7,6,38,19,377,77,Matches
