rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45.0,2,28,8,28.6,0.62,0.18,0.07,0.25,17.5,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
2,Rolando Aarons,eng ENG,"FW,DF",Huddersfield,24,1995,5.5,0,4,1,25.0,0.73,0.18,0.00,0.00,13.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,14.4,5,36,14,38.9,2.50,0.97,0.11,0.29,12.6,0,1,1,5.9,5.2,0.14,-0.9,-1.2,Matches
4,Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,13.5,2,21,6,28.6,1.56,0.45,0.10,0.33,17.0,1,0,0,1.9,1.9,0.09,+0.1,+0.1,Matches
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,16.4,0,11,2,18.2,0.67,0.12,0.00,0.00,23.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
7,Albert Adomah,gh GHA,"FW,MF",QPR,32,1987,9.6,2,14,5,35.7,1.46,0.52,0.14,0.40,15.9,1,0,0,2.9,2.9,0.21,-0.9,-0.9,Matches
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,14.1,0,8,1,12.5,0.57,0.07,0.00,0.00,16.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,14.4,1,39,11,28.2,2.71,0.76,0.00,0.00,11.1,0,1,1,4.4,3.6,0.09,-3.4,-3.6,Matches
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,21.4,5,40,10,25.0,1.87,0.47,0.13,0.50,12.1,0,0,0,6.8,6.8,0.17,-1.8,-1.8,Matches
11,Jamie Allen,eng ENG,"MF,FW",Coventry City,25,1995,14.8,1,9,2,22.2,0.61,0.14,0.11,0.50,17.8,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
