rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Max Aarons,eng ENG,DF,Norwich City,20,2000,45,45,4046,45.0,2,2,4,2,0,0,5,0,2.4,2.4,5.4,7.8,147,155,288,0.04,0.04,0.09,0.04,0.09,0.05,0.12,0.17,0.05,0.17,Matches
2,Rolando Aarons,eng ENG,"FW,DF",Huddersfield,24,1995,10,5,496,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,13,13,60,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
3,Elijah Adebayo,eng ENG,FW,Luton Town,22,1998,18,15,1294,14.4,5,1,6,4,1,1,0,0,5.9,5.2,1.5,6.6,27,18,108,0.35,0.07,0.42,0.28,0.35,0.41,0.10,0.51,0.36,0.46,Matches
4,Victor Adeboyejo,eng ENG,"FW,MF",Barnsley,22,1998,32,9,1213,13.5,2,0,2,2,0,0,0,0,1.9,1.9,0.2,2.1,26,20,94,0.15,0.00,0.15,0.15,0.15,0.14,0.01,0.15,0.14,0.15,Matches
5,Hakeeb Adelakun,eng ENG,MF,Bristol City,24,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Dennis Adeniran,eng ENG,MF,Wycombe,21,1999,21,18,1478,16.4,0,1,1,0,0,0,2,0,0.5,0.5,0.3,0.8,17,47,12,0.00,0.06,0.06,0.00,0.06,0.03,0.02,0.05,0.03,0.05,Matches
7,Albert Adomah,gh GHA,"FW,MF",QPR,32,1987,34,7,864,9.6,2,5,7,2,0,0,1,0,2.9,2.9,4.0,6.9,52,32,96,0.21,0.52,0.73,0.21,0.73,0.30,0.42,0.72,0.30,0.72,Matches
8,Joost van Aken,nl NED,DF,Sheffield Weds,26,1994,17,16,1273,14.1,0,0,0,0,0,0,2,1,0.4,0.4,0.1,0.5,10,51,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
9,Adebayo Akinfenwa,eng ENG,FW,Wycombe,38,1982,33,11,1296,14.4,1,1,2,0,1,1,0,0,4.4,3.6,2.7,6.3,2,35,65,0.07,0.07,0.14,0.00,0.07,0.31,0.18,0.49,0.25,0.44,Matches
10,Chuba Akpom,eng ENG,FW,Middlesbrough,24,1995,38,20,1923,21.4,5,2,7,5,0,0,2,0,6.8,6.8,1.5,8.3,19,16,93,0.23,0.09,0.33,0.23,0.33,0.32,0.07,0.39,0.32,0.39,Matches
11,Jamie Allen,eng ENG,"MF,FW",Coventry City,25,1995,22,16,1330,14.8,1,0,1,1,0,0,0,0,1.2,1.2,0.5,1.7,27,45,38,0.07,0.00,0.07,0.07,0.07,0.08,0.04,0.12,0.08,0.12,Matches
12,Joe Allen,wls WAL,MF,Stoke City,30,1990,18,15,1379,15.3,0,2,2,0,0,0,2,0,1.3,1.3,1.8,3.1,20,75,55,0.00,0.13,0.13,0.00,0.13,0.08,0.12,0.20,0.08,0.20,Matches
