rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Ryan Allsop,eng ENG,GK,Derby County,29,1992,29.2,36,1,1,4,2,30.9,0.26,-3.1,-0.11,206,710,29.0,1555,100,39.2,34.4,134,74.6,58.7,388,16,4.1,47,1.61,18.1,Matches
2,Nathan Baxter,eng ENG,GK,Hull City,22,1998,16.0,17,3,0,3,0,20.9,0.22,+3.9,+0.24,83,274,30.3,400,92,47.3,37.7,127,66.9,51.0,231,15,6.5,20,1.25,14.5,Matches
3,Steven Benda,de GER,GK,P'borough Utd,22,1998,9.0,18,1,0,2,1,16.4,0.34,-0.6,-0.07,53,187,28.3,200,30,62.0,43.5,87,72.4,52.2,160,10,6.3,2,0.22,8.7,Matches
4,Steven Benda,de GER,GK,Swansea City,22,1998,5.0,8,1,1,1,0,7.6,0.25,-0.4,-0.07,32,85,37.6,224,32,31.7,30.9,44,31.8,33.0,74,8,10.8,12,2.40,16.1,Matches
5,Daniel Bentley,eng ENG,GK,Bristol City,28,1993,37.3,56,4,0,6,1,56.0,0.29,+1.0,+0.03,338,881,38.4,956,163,65.7,44.9,323,78.3,57.6,590,22,3.7,52,1.39,14.6,Matches
6,Bartosz Białkowski,pl POL,GK,Millwall,34,1987,46.0,45,2,0,6,5,46.2,0.27,+6.2,+0.13,258,789,32.7,862,181,56.1,41.9,374,81.6,55.9,638,20,3.1,29,0.63,13.6,Matches
7,Jamal Blackman,eng ENG,GK,Huddersfield,27,1993,1.0,0,0,0,0,0,0.4,0.15,+0.4,+0.44,2,4,50.0,24,7,16.7,27.5,3,0.0,11.0,7,1,14.3,0,0.00,6.0,Matches
8,Jack Bonham,ie IRL,GK,Stoke City,27,1993,15.0,17,1,0,2,1,15.5,0.27,-0.5,-0.04,63,270,23.3,399,62,47.4,37.8,116,69.8,51.7,229,20,8.7,18,1.20,14.2,Matches
9,Josef Bursik,eng ENG,GK,Stoke City,21,2000,19.0,25,0,1,3,1,19.7,0.30,-4.3,-0.23,78,228,34.2,483,101,36.2,33.3,129,41.1,36.6,235,12,5.1,19,1.00,15.1,Matches
10,David Button,eng ENG,GK,West Brom,32,1989,10.0,12,1,0,1,0,10.8,0.34,-1.2,-0.12,64,172,37.2,290,28,45.9,39.1,62,62.9,49.2,101,1,1.0,24,2.40,21.0,Matches
11,Rafael Cabral,br BRA,GK,Reading,31,1990,6.0,16,1,0,0,0,12.6,0.33,-3.4,-0.57,26,97,26.8,164,28,39.6,36.3,54,59.3,46.0,109,2,1.8,7,1.17,15.3,Matches
12,Harvey Cartwright,eng ENG,GK,Hull City,19,2002,1.3,3,0,0,0,0,1.9,0.27,-1.1,-0.89,4,29,13.8,35,5,65.7,45.0,7,85.7,53.6,25,6,24.0,0,0.00,5.1,Matches
13,Bradley Collins,eng ENG,GK,Barnsley,24,1997,39.3,55,2,0,7,1,59.1,0.31,+5.1,+0.13,215,791,27.2,1155,209,49.8,39.9,336,64.3,50.0,575,30,5.2,117,2.98,18.9,Matches
14,Murphy Cooper,eng ENG,GK,QPR,19,2001,2.0,5,0,0,1,1,4.3,0.37,+0.3,+0.13,8,36,22.2,52,15,50.0,39.2,18,55.6,38.6,46,0,0.0,0,0.00,9.0,Matches
15,David Cornell,wls WAL,GK,P'borough Utd,30,1991,30.0,52,2,0,7,3,43.0,0.32,-6.0,-0.20,196,593,33.1,850,154,44.7,36.9,337,63.2,47.1,454,10,2.2,15,0.50,11.1,Matches
16,Luke Daniels,eng ENG,GK,Middlesbrough,33,1988,12.0,16,1,0,3,3,12.3,0.26,-0.7,-0.06,65,250,26.0,324,55,57.7,41.9,83,75.9,55.2,137,9,6.6,23,1.92,15.4,Matches
17,Adam Davies,wls WAL,GK,Stoke City,29,1992,12.0,10,0,1,1,0,10.7,0.26,+0.7,+0.06,44,173,25.4,295,57,43.4,34.2,103,43.7,37.8,172,9,5.2,17,1.42,14.9,Matches
18,Seny Dieng,sn SEN,GK,QPR,26,1994,27.5,32,2,0,3,0,33.4,0.33,+1.4,+0.05,129,427,30.2,845,156,38.2,34.3,212,49.1,41.6,368,23,6.3,24,0.87,13.8,Matches
19,Neil Etheridge,ph PHI,GK,Birmingham City,31,1990,20.8,35,4,0,4,1,31.3,0.26,-2.7,-0.13,148,491,30.1,526,74,66.9,47.3,144,96.5,65.7,285,23,8.1,53,2.55,18.6,Matches
20,Andy Fisher,eng ENG,GK,Swansea City,23,1998,20.0,34,4,0,3,2,30.4,0.29,-1.6,-0.08,92,294,31.3,786,104,29.9,30.4,180,32.8,30.5,341,15,4.4,31,1.55,16.9,Matches
21,Wes Foderingham,eng ENG,GK,Sheffield Utd,30,1991,32.0,23,1,0,3,1,28.7,0.29,+6.7,+0.21,136,385,35.3,673,148,43.5,36.7,204,45.1,37.8,376,32,8.5,24,0.75,13.4,Matches
22,Paulo Gazzaniga,ar ARG,GK,Fulham,29,1992,13.0,17,2,0,2,0,14.7,0.33,-2.3,-0.18,45,118,38.1,335,58,21.5,27.4,90,51.1,43.0,143,6,4.2,11,0.85,16.3,Matches
23,Daniel Grimshaw,eng ENG,GK,Blackpool,23,1998,25.2,27,0,0,2,0,31.0,0.34,+4.0,+0.16,228,565,40.4,846,104,48.2,39.1,200,78.5,54.3,287,11,3.8,24,0.95,13.9,Matches
