round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Championship,1,Fri,2021-08-06,19:45 (20:45),Bournemouth,0.7,2–2,2.1,West Brom,9254,Vitality Stadium,Dean Whitestone,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Bristol City,1.2,1–1,0.5,Blackpool,18729,Ashton Gate Stadium,Andrew Davies,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Cardiff City,1.8,1–1,0.6,Barnsley,17431,Cardiff City Stadium,Steve Martin,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Preston,0.9,1–4,1.4,Hull City,12452,Deepdale Stadium,Gavin Ward,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Derby County,1.3,1–1,2.0,Huddersfield,16249,iPro Stadium,Geoff Eltringham,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Luton Town,2.2,3–0,0.2,P'borough Utd,10019,Kenilworth Road Stadium,Andy Woolmer,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),QPR,0.5,1–1,0.8,Millwall,16127,Kiyan Prince Foundation Stadium,Oliver Langford,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Stoke City,2.0,3–2,1.0,Reading,9068,Bet365 Stadium,Matt Donohue,Match Report,
Championship,1,Sat,2021-08-07,15:00 (16:00),Blackburn,3.5,2–1,1.2,Swansea City,10260,Ewood Park,David Webb,Match Report,
Championship,1,Sat,2021-08-07,20:00 (21:00),Sheffield Utd,0.9,0–1,1.1,Birmingham City,29043,Bramall Lane,Tim Robinson,Match Report,
Championship,1,Sun,2021-08-08,13:30 (14:30),Fulham,1.5,1–1,0.5,Middlesbrough,16058,Craven Cottage,Keith Stroud,Match Report,
Championship,1,Sun,2021-08-08,16:30 (17:30),Coventry City,1.4,2–1,1.1,Nott'ham Forest,20843,Coventry Building Society Arena,James Linington,Match Report,
Championship,2,Sat,2021-08-14,12:30 (13:30),P'borough Utd,1.1,2–1,0.5,Derby County,10477,Weston Homes Stadium,David Webb,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Hull City,1.0,0–3,1.6,QPR,10728,MKM Stadium,Matt Donohue,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Huddersfield,0.6,1–5,2.2,Fulham,15126,The John Smith's Stadium,Dean Whitestone,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Blackpool,0.7,0–2,3.1,Cardiff City,11393,Bloomfield Road,Andy Woolmer,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Nott'ham Forest,0.8,1–2,0.6,Bournemouth,25035,The City Ground,Geoff Eltringham,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),West Brom,1.6,3–2,1.9,Luton Town,23283,The Hawthorns,Tim Robinson,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Millwall,1.8,1–1,0.2,Blackburn,12490,The Den,Andrew Davies,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Birmingham City,0.7,0–0,0.5,Stoke City,10189,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Barnsley,0.6,1–0,2.0,Coventry City,16961,Oakwell Stadium,John Busby,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Middlesbrough,2.0,2–1,1.2,Bristol City,22004,Riverside Stadium,Oliver Langford,Match Report,
Championship,2,Sat,2021-08-14,15:00 (16:00),Reading,1.7,2–1,1.6,Preston,12156,Select Car Leasing Stadium,Joshua Smith,Match Report,
Championship,2,Sat,2021-08-14,20:00 (21:00),Swansea City,0.4,0–0,0.8,Sheffield Utd,15946,Swansea.com Stadium,Keith Stroud,Match Report,
Championship,3,Tue,2021-08-17,19:45 (20:45),Millwall,0.6,1–2,2.7,Fulham,12700,The Den,Geoff Eltringham,Match Report,
Championship,3,Tue,2021-08-17,19:45 (20:45),Swansea City,0.6,1–3,1.7,Stoke City,15927,Swansea.com Stadium,Joshua Smith,Match Report,
Championship,3,Tue,2021-08-17,19:45 (20:45),Barnsley,1.2,0–1,0.9,Luton Town,12999,Oakwell Stadium,Oliver Langford,Match Report,
Championship,3,Tue,2021-08-17,19:45 (20:45),Blackpool,1.5,0–1,3.0,Coventry City,11608,Bloomfield Road,Keith Stroud,Match Report,
Championship,3,Tue,2021-08-17,19:45 (20:45),P'borough Utd,1.2,2–2,1.6,Cardiff City,8534,Weston Homes Stadium,Thomas Bramall,Match Report,
Championship,3,Tue,2021-08-17,19:45 (20:45),Huddersfield,0.4,1–0,0.7,Preston,15278,The John Smith's Stadium,James Linington,Match Report,
Championship,3,Tue,2021-08-17,20:00 (21:00),Reading,0.9,2–3,1.6,Bristol City,14207,Select Car Leasing Stadium,Andy Woolmer,Match Report,
Championship,3,Wed,2021-08-18,19:45 (20:45),Hull City,0.6,0–1,1.4,Derby County,10451,MKM Stadium,Dean Whitestone,Match Report,
Championship,3,Wed,2021-08-18,19:45 (20:45),Birmingham City,0.6,0–2,0.6,Bournemouth,9922,St Andrew's Trillion Trophy Stadium,Andrew Davies,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Championship,3,Wed,2021-08-18,19:45 (20:45),Nott'ham Forest,0.3,1–2,0.9,Blackburn,23964,The City Ground,Gavin Ward,Match Report,
Championship,3,Wed,2021-08-18,19:45 (20:45),Middlesbrough,1.8,2–3,0.8,QPR,22436,Riverside Stadium,Steve Martin,Match Report,
Championship,3,Wed,2021-08-18,20:00 (21:00),West Brom,3.2,4–0,0.8,Sheffield Utd,23113,The Hawthorns,Matt Donohue,Match Report,
Championship,4,Fri,2021-08-20,19:45 (20:45),Bristol City,1.8,0–1,0.8,Swansea City,20139,Ashton Gate Stadium,Geoff Eltringham,Match Report,
Championship,4,Sat,2021-08-21,12:30 (13:30),QPR,1.8,2–2,1.5,Barnsley,11882,Kiyan Prince Foundation Stadium,Gavin Ward,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Fulham,1.4,2–0,0.5,Hull City,16189,Craven Cottage,Tim Robinson,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Derby County,0.6,0–0,0.9,Middlesbrough,16123,iPro Stadium,Andrew Davies,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Cardiff City,2.9,3–1,1.6,Millwall,18168,Cardiff City Stadium,James Linington,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Sheffield Utd,0.8,1–2,1.1,Huddersfield,28036,Bramall Lane,Michael Salisbury,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Preston,1.6,1–0,1.5,P'borough Utd,9952,Deepdale Stadium,Dean Whitestone,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Stoke City,1.0,1–0,0.1,Nott'ham Forest,21346,Bet365 Stadium,Oliver Langford,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Blackburn,1.5,1–2,3.4,West Brom,11926,Ewood Park,Tony Harrington,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Bournemouth,1.4,2–2,2.0,Blackpool,9187,Vitality Stadium,Steve Martin,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Coventry City,2.4,2–1,1.1,Reading,16464,Coventry Building Society Arena,David Webb,Match Report,
Championship,4,Sat,2021-08-21,15:00 (16:00),Luton Town,1.5,0–5,3.5,Birmingham City,10014,Kenilworth Road Stadium,John Busby,Match Report,
Championship,5,Sat,2021-08-28,12:30 (13:30),Derby County,1.2,1–1,0.7,Nott'ham Forest,22991,iPro Stadium,Tim Robinson,Match Report,
Championship,5,Sat,2021-08-28,12:30 (13:30),Cardiff City,1.1,1–2,0.7,Bristol City,20891,Cardiff City Stadium,David Webb,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Luton Town,1.0,0–0,0.7,Sheffield Utd,9774,Kenilworth Road Stadium,Andrew Davies,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Huddersfield,2.6,4–0,0.6,Reading,14613,The John Smith's Stadium,Leigh Doughty,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Fulham,4.7,3–0,1.0,Stoke City,16791,Craven Cottage,Jarred Gillett,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Barnsley,0.3,1–1,2.5,Birmingham City,13950,Oakwell Stadium,Matt Donohue,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Millwall,1.7,2–1,1.2,Blackpool,11049,The Den,Gavin Ward,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Preston,0.9,3–1,0.7,Swansea City,10180,Deepdale Stadium,Thomas Bramall,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Middlesbrough,1.8,1–1,0.5,Blackburn,20542,Riverside Stadium,Michael Salisbury,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),QPR,0.9,2–0,1.3,Coventry City,14774,Kiyan Prince Foundation Stadium,Dean Whitestone,Match Report,
Championship,5,Sat,2021-08-28,15:00 (16:00),Hull City,0.3,0–0,1.7,Bournemouth,10199,MKM Stadium,Geoff Eltringham,Match Report,
Championship,5,Sat,2021-08-28,20:00 (21:00),P'borough Utd,0.2,0–1,2.5,West Brom,10163,Weston Homes Stadium,James Linington,Match Report,
Championship,6,Fri,2021-09-10,20:00 (21:00),Birmingham City,2.0,2–0,0.5,Derby County,14912,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Bournemouth,2.2,3–0,0.1,Barnsley,,Vitality Stadium,James Linington,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Reading,1.5,3–3,2.6,QPR,14928,Select Car Leasing Stadium,Geoff Eltringham,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Blackpool,0.5,1–0,1.4,Fulham,11268,Bloomfield Road,John Busby,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Stoke City,0.8,2–1,1.3,Huddersfield,20447,Bet365 Stadium,Joshua Smith,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Championship,6,Sat,2021-09-11,15:00 (16:00),Sheffield Utd,4.0,6–2,1.7,P'borough Utd,27359,Bramall Lane,Steve Martin,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Coventry City,1.7,2–0,0.7,Middlesbrough,18515,Coventry Building Society Arena,Leigh Doughty,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Swansea City,1.0,0–0,0.1,Hull City,16317,Swansea.com Stadium,Keith Stroud,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Bristol City,0.7,0–0,1.3,Preston,17967,Ashton Gate Stadium,Tim Robinson,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),Blackburn,1.1,2–2,1.3,Luton Town,11241,Ewood Park,Oliver Langford,Match Report,
Championship,6,Sat,2021-09-11,15:00 (16:00),West Brom,2.0,1–1,1.1,Millwall,23142,The Hawthorns,Andy Woolmer,Match Report,
Championship,6,Sun,2021-09-12,14:30 (15:30),Nott'ham Forest,1.0,1–2,1.6,Cardiff City,24153,The City Ground,Dean Whitestone,Match Report,
Championship,7,Tue,2021-09-14,19:45 (20:45),Bournemouth,1.5,2–1,1.3,QPR,10495,Vitality Stadium,Keith Stroud,Match Report,
Championship,7,Tue,2021-09-14,19:45 (20:45),Blackpool,1.0,0–3,0.8,Huddersfield,11277,Bloomfield Road,Thomas Bramall,Match Report,
Championship,7,Tue,2021-09-14,19:45 (20:45),Sheffield Utd,1.8,2–2,1.5,Preston,25463,Bramall Lane,Geoff Eltringham,Match Report,
Championship,7,Tue,2021-09-14,19:45 (20:45),Blackburn,1.6,2–0,0.9,Hull City,9140,Ewood Park,John Brooks,Match Report,
Championship,7,Tue,2021-09-14,20:00 (21:00),West Brom,2.4,0–0,0.1,Derby County,21636,The Hawthorns,Kevin Friend,Match Report,
Championship,7,Tue,2021-09-14,20:00 (21:00),Reading,0.6,3–1,0.6,P'borough Utd,11411,Select Car Leasing Stadium,Tim Robinson,Match Report,
Championship,7,Wed,2021-09-15,19:45 (20:45),Birmingham City,1.8,1–4,2.9,Fulham,14562,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
Championship,7,Wed,2021-09-15,19:45 (20:45),Stoke City,2.4,1–1,0.8,Barnsley,17832,Bet365 Stadium,Leigh Doughty,Match Report,
Championship,7,Wed,2021-09-15,19:45 (20:45),Coventry City,0.9,1–0,0.8,Cardiff City,16372,Coventry Building Society Arena,Michael Salisbury,Match Report,
Championship,7,Wed,2021-09-15,19:45 (20:45),Swansea City,1.3,0–0,1.0,Millwall,16007,Swansea.com Stadium,John Busby,Match Report,
Championship,7,Wed,2021-09-15,19:45 (20:45),Bristol City,0.9,1–1,2.8,Luton Town,16878,Ashton Gate Stadium,Jeremy Simpson,Match Report,
Championship,7,Wed,2021-09-15,19:45 (20:45),Nott'ham Forest,0.9,0–2,2.0,Middlesbrough,23830,The City Ground,Andy Woolmer,Match Report,
Championship,8,Sat,2021-09-18,12:30 (13:30),Hull City,1.5,1–3,2.3,Sheffield Utd,14451,MKM Stadium,Dean Whitestone,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Luton Town,3.4,3–3,1.3,Swansea City,9721,Kenilworth Road Stadium,Tony Harrington,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Fulham,3.0,1–2,1.3,Reading,18901,Craven Cottage,Steve Martin,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Barnsley,1.3,0–0,0.4,Blackburn,13640,Oakwell Stadium,Andy Woolmer,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Preston,0.7,1–1,0.9,West Brom,13850,Deepdale Stadium,Andrew Davies,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),QPR,2.4,1–2,1.0,Bristol City,14922,Kiyan Prince Foundation Stadium,Leigh Doughty,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Derby County,2.1,2–1,1.2,Stoke City,20545,iPro Stadium,Jeremy Simpson,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Huddersfield,0.8,0–2,0.6,Nott'ham Forest,17462,The John Smith's Stadium,Chris Kavanagh,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Millwall,1.1,1–1,2.0,Coventry City,12516,The Den,Keith Stroud,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Middlesbrough,1.2,1–2,1.5,Blackpool,21022,Riverside Stadium,David Webb,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),Cardiff City,0.6,0–1,1.2,Bournemouth,19090,Cardiff City Stadium,Joshua Smith,Match Report,
Championship,8,Sat,2021-09-18,15:00 (16:00),P'borough Utd,1.3,3–0,1.7,Birmingham City,12199,Weston Homes Stadium,Jarred Gillett,Match Report,
Championship,9,Fri,2021-09-24,19:45 (20:45),Coventry City,2.7,3–0,0.4,P'borough Utd,20652,Coventry Building Society Arena,Geoff Eltringham,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Championship,9,Fri,2021-09-24,20:00 (21:00),West Brom,1.8,2–1,0.3,QPR,21825,The Hawthorns,James Linington,Match Report,
Championship,9,Sat,2021-09-25,12:30 (13:30),Reading,1.6,1–0,1.0,Middlesbrough,12469,Select Car Leasing Stadium,Peter Bankes,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Blackpool,1.5,1–0,1.1,Barnsley,12698,Bloomfield Road,Steve Martin,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Birmingham City,0.5,0–0,0.7,Preston,14925,St Andrew's Trillion Trophy Stadium,Matt Donohue,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Blackburn,3.2,5–1,0.9,Cardiff City,11670,Ewood Park,Keith Stroud,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Bournemouth,0.6,2–1,1.4,Luton Town,9737,Vitality Stadium,Tim Robinson,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Nott'ham Forest,0.7,1–1,1.1,Millwall,25589,The City Ground,Jeremy Simpson,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Sheffield Utd,2.7,1–0,0.8,Derby County,27905,Bramall Lane,David Webb,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Swansea City,1.0,1–0,0.3,Huddersfield,17091,Swansea.com Stadium,Gavin Ward,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Bristol City,1.3,1–1,2.8,Fulham,19326,Ashton Gate Stadium,Simon Hooper,Match Report,
Championship,9,Sat,2021-09-25,15:00 (16:00),Stoke City,1.0,2–0,1.0,Hull City,20124,Bet365 Stadium,Thomas Bramall,Match Report,
Championship,10,Tue,2021-09-28,19:45 (20:45),Huddersfield,2.0,3–2,1.7,Blackburn,15283,The John Smith's Stadium,Jeremy Simpson,Match Report,
Championship,10,Tue,2021-09-28,19:45 (20:45),Preston,0.5,1–1,2.1,Stoke City,10930,Deepdale Stadium,John Brooks,Match Report,
Championship,10,Tue,2021-09-28,19:45 (20:45),QPR,1.2,2–0,1.7,Birmingham City,12257,Kiyan Prince Foundation Stadium,Michael Salisbury,Match Report,
Championship,10,Tue,2021-09-28,19:45 (20:45),Hull City,1.4,1–1,0.8,Blackpool,10189,MKM Stadium,Matt Donohue,Match Report,
Championship,10,Tue,2021-09-28,19:45 (20:45),Cardiff City,0.4,0–4,0.9,West Brom,17363,Cardiff City Stadium,Graham Scott,Match Report,
Championship,10,Tue,2021-09-28,19:45 (20:45),Middlesbrough,0.5,2–0,1.3,Sheffield Utd,19390,Riverside Stadium,James Linington,Match Report,
Championship,10,Wed,2021-09-29,19:45 (20:45),Fulham,1.2,3–1,1.1,Swansea City,16113,Craven Cottage,Joshua Smith,Match Report,
Championship,10,Wed,2021-09-29,19:45 (20:45),Barnsley,1.2,1–3,2.7,Nott'ham Forest,13657,Oakwell Stadium,Geoff Eltringham,Match Report,
Championship,10,Wed,2021-09-29,19:45 (20:45),Derby County,1.3,1–0,1.0,Reading,18769,iPro Stadium,John Busby,Match Report,
Championship,10,Wed,2021-09-29,19:45 (20:45),Millwall,1.6,1–0,0.9,Bristol City,11839,The Den,Dean Whitestone,Match Report,
Championship,10,Wed,2021-09-29,19:45 (20:45),P'borough Utd,0.1,0–0,1.5,Bournemouth,8971,Weston Homes Stadium,Andy Woolmer,Match Report,
Championship,10,Wed,2021-09-29,19:45 (20:45),Luton Town,3.8,5–0,1.0,Coventry City,9805,Kenilworth Road Stadium,Steve Martin,Match Report,
Championship,11,Fri,2021-10-01,19:45 (20:45),Stoke City,2.2,1–0,1.1,West Brom,22703,Bet365 Stadium,Tim Robinson,Match Report,
Championship,11,Sat,2021-10-02,12:30 (13:30),Coventry City,1.7,4–1,0.9,Fulham,18497,Coventry Building Society Arena,Gavin Ward,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Bournemouth,1.9,2–1,1.2,Sheffield Utd,9349,Vitality Stadium,Robert Jones,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Blackpool,1.3,2–1,1.2,Blackburn,13419,Bloomfield Road,Joshua Smith,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Derby County,0.5,0–0,1.1,Swansea City,21640,iPro Stadium,Andy Madley,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Hull City,0.9,2–0,1.5,Middlesbrough,13696,MKM Stadium,Andrew Davies,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Birmingham City,2.1,0–3,1.1,Nott'ham Forest,15148,St Andrew's Trillion Trophy Stadium,Keith Stroud,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Barnsley,1.0,0–1,1.9,Millwall,11888,Oakwell Stadium,David Webb,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Cardiff City,2.6,0–1,0.2,Reading,18400,Cardiff City Stadium,Thomas Bramall,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),Luton Town,1.1,0–0,0.3,Huddersfield,9977,Kenilworth Road Stadium,Leigh Doughty,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Championship,11,Sat,2021-10-02,15:00 (16:00),QPR,2.4,3–2,1.5,Preston,13624,Kiyan Prince Foundation Stadium,Jeremy Simpson,Match Report,
Championship,11,Sat,2021-10-02,15:00 (16:00),P'borough Utd,1.2,2–3,1.8,Bristol City,8560,Weston Homes Stadium,David Coote,Match Report,
Championship,12,Fri,2021-10-15,20:00 (21:00),West Brom,0.7,1–0,0.9,Birmingham City,24870,The Hawthorns,Jeremy Simpson,Match Report,
Championship,12,Sat,2021-10-16,12:30 (13:30),Fulham,2.0,4–1,1.1,QPR,18371,Craven Cottage,Oliver Langford,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Preston,1.0,0–0,0.9,Derby County,18092,Deepdale Stadium,Joshua Smith,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Reading,1.1,1–0,1.2,Barnsley,12199,Select Car Leasing Stadium,Andrew Davies,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Huddersfield,1.2,2–0,0.5,Hull City,17510,The John Smith's Stadium,Robert Jones,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Nott'ham Forest,2.1,2–1,1.0,Blackpool,27946,The City Ground,Kevin Friend,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Bristol City,1.0,0–2,2.5,Bournemouth,20828,Ashton Gate Stadium,Gavin Ward,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Sheffield Utd,2.4,2–1,1.1,Stoke City,28576,Bramall Lane,Keith Stroud,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Blackburn,1.1,2–2,0.8,Coventry City,14110,Ewood Park,Matt Donohue,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Millwall,1.7,0–2,0.7,Luton Town,14227,The Den,Chris Kavanagh,Match Report,
Championship,12,Sat,2021-10-16,15:00 (16:00),Middlesbrough,2.6,2–0,0.3,P'borough Utd,19556,Riverside Stadium,John Busby,Match Report,
Championship,12,Sun,2021-10-17,12:00 (13:00),Swansea City,2.5,3–0,1.2,Cardiff City,19288,Swansea.com Stadium,James Linington,Match Report,
