rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Fulham,46,27,9,10,106,43,63,90,1.96,95.3,43.1,52.2,1.14,17513,Aleksandar Mitrović - 43,Marek Rodák,Promoted
2,Bournemouth,46,25,13,8,74,39,35,88,1.91,75.0,46.4,28.7,0.62,9209,Dominic Solanke - 29,Mark Travers,Promoted
3,Huddersfield,46,23,13,10,64,47,17,82,1.78,57.9,56.4,1.5,0.03,21826,Danny Ward - 14,Lee Nicholls,→ Promotion play-offs — Semi-finals
4,Nott'ham Forest,46,23,11,12,73,40,33,80,1.74,68.6,54.3,14.3,0.31,28399,Brennan Johnson - 16,Brice Samba,"Promoted, → Promotion play-offs — Semi-finals"
5,Sheffield Utd,46,21,12,13,63,45,18,75,1.63,72.2,52.4,19.8,0.43,28925,Billy Sharp - 14,Wes Foderingham,→ Promotion play-offs — Semi-finals
6,Luton Town,46,21,12,13,63,55,8,75,1.63,62.1,54.5,7.6,0.16,10292,Elijah Adebayo - 16,Simon Sluga,→ Promotion play-offs — Semi-finals
7,Middlesbrough,46,20,10,16,59,50,9,70,1.52,69.5,48.9,20.5,0.45,21825,Matt Crooks - 10,Joe Lumley,
8,Blackburn,46,19,12,15,59,50,9,69,1.5,60.7,57.6,3.1,0.07,14218,Ben Brereton - 22,Thomas Kaminski,
9,Millwall,46,18,15,13,53,45,8,69,1.5,58.4,64.2,-5.8,-0.13,12955,Benik Afobe - 12,Bartosz Białkowski,
10,West Brom,46,18,13,15,52,45,7,67,1.46,75.9,45.9,30.0,0.65,21481,Karlan Grant - 18,Sam Johnstone,
11,QPR,46,19,9,18,60,59,1,66,1.43,55.6,62.4,-6.8,-0.15,14434,Andre Gray - 10,Seny Dieng,
12,Coventry City,46,17,13,16,60,59,1,64,1.39,74.2,55.3,19.0,0.41,19541,Viktor Gyökeres - 17,Simon Moore,
13,Preston,46,16,16,14,52,56,-4,64,1.39,57.4,57.5,-0.1,0.0,12608,Emil Riis Jakobsen - 16,Daniel Iversen,
14,Stoke City,46,17,11,18,57,52,5,62,1.35,57.0,57.9,-0.9,-0.02,20486,Jacob Brown - 13,Josef Bursik,
15,Swansea City,46,16,13,17,58,68,-10,61,1.33,51.9,69.3,-17.4,-0.38,17389,Joël Piroe - 22,Ben Hamer,
16,Blackpool,46,16,12,18,54,58,-4,60,1.3,57.2,65.7,-8.5,-0.18,12104,Gary Madine - 9,Daniel Grimshaw,
17,Bristol City,46,15,10,21,62,77,-15,55,1.2,59.2,77.4,-18.2,-0.4,19453,Andreas Weimann - 22,Daniel Bentley,
18,Cardiff City,46,15,8,23,50,68,-18,53,1.15,58.0,59.5,-1.4,-0.03,18048,Aden Flint - 6,Alex Smithies,
19,Hull City,46,14,9,23,41,54,-13,51,1.11,49.5,66.8,-17.3,-0.38,12888,Keane Lewis-Potter - 12,Matt Ingram,
20,Birmingham City,46,11,14,21,50,75,-25,47,1.02,60.2,61.7,-1.5,-0.03,16162,Scott Hogan - 10,Matija Šarkić,
21,Reading,46,13,8,25,54,87,-33,41,0.89,49.8,75.4,-25.7,-0.56,12895,John Swift - 11,Luke Southwood,6-point deduction 1
22,P'borough Utd,46,9,10,27,43,87,-44,37,0.8,46.7,84.8,-38.1,-0.83,10088,Jonson Clarke-Harris - 12,David Cornell,Relegated
23,Derby County,46,14,13,19,45,53,-8,34,0.74,46.4,64.1,-17.7,-0.38,23010,Tom Lawrence - 11,Ryan Allsop,"21-point deduction 2, Relegated"
24,Barnsley,46,6,12,28,33,73,-40,30,0.65,43.5,80.8,-37.3,-0.81,12824,Carlton Morris - 7,Bradley Collins,Relegated
