rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Max Aarons,eng ENG,DF,Norwich City,22,2000,42.8,2008,2536,79.2,32036,10126,1019,1111,827,1012,113,251,3,2.4,2.7,+0.6,40,120,57,23,201,Matches
2,Thelo Aasgaard,no NOR,"FW,MF",Wigan Athletic,20,2002,17.6,399,507,78.7,6856,940,200,231,148,175,42,63,1,0.7,0.9,+0.3,8,23,6,2,41,Matches
3,Nelson Abbey,eng ENG,DF,Reading,18,2003,0.2,6,9,66.7,81,41,4,4,2,4,0,1,0,0.0,0.0,0.0,0,1,0,0,2,Matches
4,Kelvin Abrefa,eng ENG,"MF,DF",Reading,18,2003,1.4,20,36,55.6,356,158,9,14,8,11,3,8,0,0.1,0.1,-0.1,2,1,2,1,4,Matches
5,Finlay Adair,eng ENG,"FW,MF",Preston,17,2005,0.7,3,8,37.5,42,2,2,5,1,2,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
6,Elijah Adebayo,eng ENG,FW,Luton Town,24,1998,35.7,388,625,62.1,5033,1225,254,367,97,158,10,14,3,3.8,3.3,-0.8,30,35,21,3,63,Matches
7,Toby Adeyemo,eng ENG,"MF,FW",Watford,17,2005,1.1,9,15,60.0,89,19,6,8,2,3,0,1,0,0.2,0.1,-0.2,2,0,1,0,1,Matches
8,Albert Adomah,gh GHA,"FW,MF",QPR,34,1987,14.1,250,423,59.1,3890,1400,132,170,81,134,23,75,0,2.2,2.9,-2.2,27,17,20,13,31,Matches
9,Michael Adu-Poku,eng ENG,FW,Watford,16,2005,0.1,0,1,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,Benik Afobe,cd COD,FW,Millwall,29,1993,10.3,127,192,66.1,1576,331,86,116,27,45,5,10,1,0.4,0.3,+0.6,8,9,2,0,10,Matches
11,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,23,1999,31.8,992,1334,74.4,16654,5439,487,568,382,495,96,190,2,2.6,2.5,-0.6,20,79,14,4,100,Matches
12,Semi Ajayi,ng NGA,DF,West Brom,28,1993,16.2,743,890,83.5,16006,5311,177,206,459,504,102,168,0,0.3,0.1,-0.3,4,50,2,0,52,Matches
13,Chuba Akpom,eng ENG,"MF,FW",Middlesbrough,26,1995,34.5,566,705,80.3,8654,1921,325,378,176,218,46,61,2,1.9,2.0,+0.1,23,75,18,0,98,Matches
14,Marc Albrighton,eng ENG,"FW,MF",West Brom,32,1989,7.5,183,292,62.7,3264,1424,87,116,66,98,24,52,0,1.4,1.2,-1.4,11,25,18,7,34,Matches
