rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,29.0,45,1.55,126,81,66.7,7,11,11,5,17.2,4,3,1,0,25.0,Matches
2,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,1.7,2,1.20,11,9,81.8,0,0,1,0,0.0,0,0,0,0,,Matches
3,Daniel Bachmann,at AUT,GK,Watford,30,1994,22,22,1902,21.1,28,1.32,87,59,67.8,9,4,9,5,22.7,1,0,1,0,100.0,Matches
4,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,38.0,59,1.55,140,80,60.7,14,9,15,9,23.7,5,4,1,0,20.0,Matches
5,Jonathan Bond,eng ENG,GK,Watford,31,1993,9,8,798,8.9,14,1.58,43,29,67.4,3,1,4,1,12.5,0,0,0,0,,Matches
6,Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,6,6,509,5.7,9,1.59,25,16,64.0,3,2,1,1,16.7,0,0,0,0,,Matches
7,Pierce Charles,nir NIR,GK,Sheffield Weds,19,2005,8,8,720,8.0,10,1.25,30,19,66.7,1,4,3,0,0.0,1,0,1,0,100.0,Matches
8,Bradley Collins,eng ENG,GK,Coventry City,27,1997,15,14,1313,14.6,23,1.58,53,30,56.6,4,4,6,3,21.4,0,0,0,0,,Matches
9,Michael Cooper,eng ENG,GK,Sheffield Utd,24,1999,43,43,3870,43.0,33,0.77,142,109,79.6,27,6,10,21,48.8,5,4,1,0,20.0,Matches
10,David Cornell,wls WAL,GK,Preston,33,1991,10,9,811,9.0,16,1.78,36,20,63.9,0,4,5,1,11.1,3,3,0,0,0.0,Matches
11,Jamie Cumming,eng ENG,GK,Oxford United,24,1999,45,45,4050,45.0,62,1.38,201,139,70.1,13,13,19,13,28.9,4,2,2,0,50.0,Matches
12,Karl Darlow,wls WAL,GK,Leeds United,33,1990,7,7,630,7.0,3,0.43,11,9,72.7,6,1,0,4,57.1,0,0,0,0,,Matches
13,Adam Davies,wls WAL,GK,Sheffield Utd,32,1992,3,3,270,3.0,3,1.00,7,4,57.1,1,2,0,1,33.3,0,0,0,0,,Matches
14,Seny Dieng,sn SEN,GK,Middlesbrough,29,1994,17,17,1530,17.0,21,1.24,47,28,55.3,7,4,6,5,29.4,0,0,0,0,,Matches
15,Oliver Dovin,se SWE,GK,Coventry City,22,2002,28,28,2467,27.4,30,1.09,95,68,69.5,14,5,9,8,28.6,1,1,0,0,0.0,Matches
16,George Evans,eng ENG,GK,Millwall,19,2005,4,4,360,4.0,8,2.00,19,11,57.9,2,0,2,1,25.0,0,0,0,0,,Matches
17,Tom Glover,au AUS,GK,Middlesbrough,26,1997,7,6,571,6.3,6,0.95,13,7,53.8,2,2,2,3,50.0,0,0,0,0,,Matches
18,Joshua Griffiths,eng ENG,GK,West Brom,22,2001,6,6,540,6.0,11,1.83,26,15,57.7,2,1,3,1,16.7,0,0,0,0,,Matches
19,Daniel Grimshaw,eng ENG,GK,Plymouth Argyle,26,1998,21,21,1890,21.0,49,2.33,124,75,62.9,4,5,12,1,4.8,3,3,0,0,0.0,Matches
20,Angus Gunn,sct SCO,GK,Norwich City,28,1996,35,35,3104,34.5,42,1.22,123,83,69.1,14,11,10,7,20.0,4,4,0,0,0.0,Matches
21,Conor Hazard,nir NIR,GK,Plymouth Argyle,26,1998,25,25,2250,25.0,39,1.56,122,85,68.9,7,8,10,2,8.0,1,1,0,0,0.0,Matches
22,Václav Hladký,cz CZE,GK,Burnley,33,1990,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
23,Ethan Horvath,us USA,GK,Cardiff City,29,1995,17,17,1530,17.0,28,1.65,67,42,58.2,2,6,9,3,17.6,0,0,0,0,,Matches
24,Matt Ingram,eng ENG,GK,Oxford United,30,1993,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,Matches
25,Lukas Jensen,dk DEN,GK,Millwall,25,1999,41,41,3689,41.0,41,1.00,132,94,69.7,15,12,14,13,31.7,3,1,1,1,50.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Viktor Johansson,se SWE,GK,Stoke City,25,1998,46,46,4140,46.0,62,1.35,209,151,71.8,12,15,19,14,30.4,5,3,1,1,25.0,Matches
27,Thomas Kaminski,be BEL,GK,Luton Town,31,1992,45,45,3990,44.3,68,1.53,193,125,65.8,13,10,22,10,22.2,3,2,1,0,33.3,Matches
28,Ben Killip,eng ENG,GK,Portsmouth,28,1995,2,2,180,2.0,2,1.00,9,7,77.8,0,2,0,0,0.0,0,0,0,0,,Matches
29,George Long,eng ENG,GK,Norwich City,30,1993,9,8,765,8.5,19,2.24,44,24,61.4,0,3,5,1,12.5,3,2,1,0,33.3,Matches
30,Illan Meslier,fr FRA,GK,Leeds United,24,2000,39,39,3510,39.0,27,0.69,88,63,72.7,23,12,4,21,53.8,4,3,1,0,25.0,Matches
