rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,450,581,77.5,7402,2789,220,248,188,235,34,63,1,0.8,0.9,+0.2,7,25,13,2,43,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,1,2,50.0,18,7,0,0,1,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,59,71,83.1,973,262,35,39,18,24,6,8,0,0.1,0.0,-0.1,1,9,0,0,5,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,627,699,115,177,0,0.1,0.3,-0.1,2,47,2,0,62,Matches
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,144,204,70.6,1847,385,94,122,41,60,3,6,0,0.7,0.4,-0.7,14,9,4,0,23,Matches
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,634,840,75.5,8828,1713,412,491,185,245,20,38,1,3.7,3.5,-2.7,33,17,33,11,50,Matches
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,943,1177,80.1,19870,8804,335,360,452,493,143,297,0,0.3,0.4,-0.3,4,74,2,0,68,Matches
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,4,8,50.0,48,23,3,6,1,2,0,0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,150,187,80.2,2455,628,76,89,59,69,10,14,0,0.0,0.1,0.0,1,12,0,0,25,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,749,993,75.4,12780,5078,334,386,348,425,54,137,0,0.8,0.6,-0.8,7,41,3,1,43,Matches
11,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,605,803,75.3,9657,4065,329,375,217,284,46,99,1,0.9,1.0,+0.1,11,58,13,6,69,Matches
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,25.9,1005,1190,84.5,13946,3935,627,688,297,344,38,72,1,2.4,1.7,-1.4,25,60,13,4,99,Matches
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,610,810,75.3,10210,3786,291,337,263,332,45,103,1,2.3,2.7,-1.3,12,56,10,3,61,Matches
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,2180,2334,93.4,35688,9787,1091,1136,923,975,126,163,0,0.5,1.8,-0.5,13,214,15,2,148,Matches
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,1716,1864,92.1,26189,8717,882,921,750,796,43,85,2,1.2,1.1,+0.8,10,148,5,1,116,Matches
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,7,10,70.0,130,30,3,3,3,4,1,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,1553,2062,75.3,30386,12434,676,734,607,762,244,495,4,7.2,6.1,-3.2,64,202,57,18,205,Matches
18,Alisson,br BRA,GK,Liverpool,30,1992,28.0,985,1142,86.3,21428,13147,238,239,597,607,147,284,0,0.0,0.0,0.0,1,8,0,0,5,Matches
19,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,668,801,83.4,9023,1846,411,456,208,250,21,38,1,2.6,2.4,-1.6,24,38,21,3,78,Matches
