rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Dirk Abels,nl NED,DF,Sparta R'dam,22,1997,20.5,23,13,17,6,0,12,33,21,16,5,11,34,57,73,0,Matches
2,Abdallah Aberkane,nl NED,DF,Sparta R'dam,19,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Nassim El Ablak,nl NED,MF,Fortuna Sittard,19,2000,0.7,0,0,0,0,0,0,1,1,2,0,2,2,2,0,0,Matches
4,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,19,2000,2.2,4,3,0,2,2,0,3,3,1,0,1,1,5,2,0,Matches
5,Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,19,2000,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Matches
6,Amir Absalem,nl NED,DF,Groningen,22,1997,3.9,7,3,2,5,0,4,9,5,1,0,1,7,14,10,0,Matches
7,Giorgi Aburjania,ge GEO,MF,Twente,24,1995,7.3,30,12,17,10,3,15,32,17,10,4,6,6,36,2,0,Matches
8,Ragnar Ache,de GER,FW,Sparta R'dam,21,1998,16.3,13,7,1,9,3,4,10,6,9,1,8,3,16,20,0,Matches
9,Luka Adžić,rs SRB,FW,Emmen,20,1998,1.8,4,3,1,3,0,2,5,3,0,0,0,1,5,1,0,Matches
10,Ibrahim Afellay,nl NED,MF,PSV Eindhoven,33,1986,1.2,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,Matches
11,Hamdi Akujobi,nl NED,"FW,MF",Heerenveen,19,2000,0.4,3,1,2,1,0,0,1,1,0,0,0,0,3,0,0,Matches
12,Edson Álvarez,mx MEX,"MF,DF",Ajax,21,1997,6.2,12,6,7,3,2,6,11,5,12,4,8,20,32,13,1,Matches
13,Gregoire Amiot,fr FRA,DF,Fortuna Sittard,24,1995,6.5,7,6,7,0,0,5,9,4,9,4,5,17,24,30,0,Matches
14,Martin Angha,ch SUI,DF,Fortuna Sittard,25,1994,13.7,27,17,19,7,1,16,31,15,10,6,4,23,50,67,1,Matches
15,Miguel Araujo,pe PER,DF,Emmen,24,1994,12.0,24,19,17,7,0,9,16,7,19,12,7,10,34,39,0,Matches
16,Jafar Arias,cw CUW,FW,Emmen,24,1995,9.0,14,8,3,7,4,5,11,6,3,0,3,1,15,6,1,Matches
17,Jonas Arweiler,de GER,"FW,DF",Utrecht,22,1997,0.6,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,Matches
18,Joel Asoro,se SWE,"FW,MF",Groningen,20,1999,13.1,12,10,7,3,2,5,8,3,10,0,10,5,17,3,1,Matches
19,Adil Auassar,nl NED,MF,Sparta R'dam,32,1986,20.0,44,22,19,22,3,13,49,36,40,8,32,31,75,44,0,Matches
20,Yassin Ayoub,nl NED,MF,Feyenoord,25,1994,0.5,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,Matches
21,Marouan Azarkan,nl NED,FW,Feyenoord,17,2001,0.2,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,Matches
22,Ryan Babel,nl NED,FW,Ajax,32,1986,4.3,2,1,0,0,2,0,5,5,1,0,1,2,4,2,0,Matches
23,Nikolai Baden Frederiksen,dk DEN,"FW,MF",Fortuna Sittard,19,2000,0.5,2,1,1,0,1,0,2,2,0,0,0,0,2,0,0,Matches
24,Jean-Christophe Bahebeck,fr FRA,FW,Utrecht,26,1993,6.5,8,4,2,5,1,1,7,6,5,0,5,0,8,6,0,Matches
25,Destan Bajselmani,xk KVX,DF,Zwolle,20,1999,2.3,3,3,2,0,1,2,2,0,2,1,1,0,3,4,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Saïd Bakari,km COM,"DF,FW",RKC Waalwijk,24,1994,14.1,41,27,33,6,2,18,38,20,12,3,9,22,63,14,0,Matches
27,Navajo Bakboord,nl NED,DF,Heracles Almelo,20,1999,9.0,35,23,20,13,2,17,29,12,11,2,9,9,44,20,0,Matches
28,Danny Bakker,nl NED,MF,ADO Den Haag,24,1995,16.5,37,25,22,14,1,13,32,19,18,7,11,21,58,31,0,Matches
29,Nick Bakker,nl NED,DF,Emmen,27,1992,7.0,14,9,12,2,0,4,7,3,7,5,2,5,19,24,0,Matches
30,Tudor Băluță,ro ROU,MF,ADO Den Haag,20,1999,3.9,4,3,2,2,0,1,6,5,9,3,6,6,10,12,0,Matches
31,Naoufal Bannis,nl NED,"FW,MF",Feyenoord,17,2002,0.7,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,Matches
32,Aaron Bastiaans,nl NED,FW,VVV-Venlo,17,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Timo Baumgartl,de GER,DF,PSV Eindhoven,23,1996,12.1,14,12,11,2,1,10,21,11,13,9,4,18,32,55,0,Matches
34,Riechedly Bazoer,cw CUW,MF,Vitesse,22,1996,19.1,30,19,12,15,3,7,18,11,5,1,4,6,36,7,0,Matches
35,Filip Bednarek,pl POL,GK,Heerenveen,26,1992,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Donny van de Beek,nl NED,MF,Ajax,22,1997,21.3,47,26,9,24,14,11,25,14,18,4,14,16,63,11,0,Matches
37,Sven van Beek,nl NED,FW,Feyenoord,25,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Iliass Bel Hassani,ma MAR,"FW,MF",Zwolle,26,1992,10.8,11,6,3,8,0,3,18,15,2,0,2,7,18,5,0,Matches
39,Hilal Ben Moussa,nl NED,MF,Emmen,27,1992,5.7,14,10,7,6,1,8,15,7,6,1,5,12,26,8,0,Matches
40,Charlison Benschop,cw CUW,FW,Groningen,29,1989,9.5,3,2,0,2,1,1,8,7,8,2,6,2,5,4,0,Matches
41,Mitchell van Bergen,nl NED,"FW,MF",Heerenveen,19,1999,24.8,18,12,6,9,3,5,20,15,22,2,20,15,33,7,0,Matches
42,Emil Berggreen,dk DEN,FW,Twente,26,1993,4.0,1,1,0,1,0,0,1,1,1,0,1,1,2,3,0,Matches
43,Steven Berghuis,nl NED,FW,Feyenoord,27,1991,23.4,33,19,17,13,3,15,37,22,13,1,12,4,37,7,0,Matches
44,Emil Bergström,se SWE,DF,Utrecht,26,1993,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Matches
45,Steven Bergwijn,nl NED,"FW,MF",PSV Eindhoven,21,1997,14.8,8,4,3,4,1,3,10,7,7,1,6,6,14,5,0,Matches
46,Matúš Bero,sk SVK,MF,Vitesse,23,1995,20.7,67,33,33,29,5,21,78,57,36,7,29,42,109,26,0,Matches
47,Jan-Niklas Beste,de GER,DF,Emmen,20,1999,4.5,7,3,6,1,0,2,5,3,7,3,4,5,12,5,0,Matches
48,Tom Beugelsdijk,nl NED,DF,ADO Den Haag,28,1990,17.9,24,18,12,12,0,13,25,12,19,10,9,39,63,72,0,Matches
49,Peet Bijen,nl NED,DF,Twente,24,1995,18.9,14,13,13,1,0,8,20,12,22,14,8,15,29,115,1,Matches
50,Glenn Bijl,nl NED,DF,Emmen,24,1995,23.9,63,35,36,22,5,16,49,33,27,7,20,48,111,48,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Teun Bijleveld,nl NED,"MF,FW",Heracles Almelo,21,1998,2.5,8,4,4,3,1,3,8,5,3,1,2,0,8,1,0,Matches
52,Justin Bijlow,nl NED,GK,Feyenoord,21,1998,7.0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,Matches
53,Mario Bilate,nl NED,FW,RKC Waalwijk,28,1991,13.9,6,2,2,1,3,1,5,4,3,0,3,0,6,5,0,Matches
54,Marco Bizot,nl NED,GK,AZ Alkmaar,28,1991,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,Matches
55,Aleksandar Bjelica,rs SRB,DF,ADO Den Haag,25,1994,0.6,2,2,1,1,0,1,2,1,1,1,0,1,3,3,0,Matches
56,Janis Blaswich,de GER,GK,Heracles Almelo,28,1991,26.0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,Matches
57,Daley Blind,nl NED,"DF,MF",Ajax,29,1990,19.4,28,17,8,18,2,11,30,19,15,10,5,29,57,43,3,Matches
58,Myron Boadu,nl NED,FW,AZ Alkmaar,18,2001,22.3,9,4,0,5,4,2,12,10,9,2,7,2,11,5,0,Matches
59,Rody de Boer,nl NED,GK,AZ Alkmaar,21,1997,1.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Matches
60,Tom Boere,nl NED,MF,Twente,26,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Omar Bogle,eng ENG,FW,ADO Den Haag,26,1993,3.7,2,0,0,2,0,0,4,4,1,1,0,0,2,11,0,Matches
62,Henk Bos,nl NED,"MF,FW",Emmen,26,1992,1.4,3,3,2,1,0,1,4,3,1,1,0,1,4,3,0,Matches
63,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,21,1997,7.1,17,11,14,3,0,11,21,10,7,2,5,11,28,23,0,Matches
64,Jesse Bosch,nl NED,MF,Twente,19,2000,2.7,5,4,3,1,1,3,14,11,4,0,4,4,9,3,0,Matches
65,Sven Botman,nl NED,DF,Heerenveen,19,2000,26.0,48,34,36,11,1,21,27,6,29,14,15,39,87,145,2,Matches
66,Eric Botteghin,br BRA,DF,Feyenoord,31,1987,19.8,43,26,28,13,2,17,37,20,21,15,6,41,84,90,1,Matches
67,Róbert Boženík,sk SVK,FW,Feyenoord,19,1999,3.3,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,Matches
68,Wout Brama,nl NED,MF,Twente,32,1986,6.7,12,7,7,3,2,6,13,7,6,1,5,8,20,11,1,Matches
69,Joshua Brenet,cw CUW,DF,Vitesse,25,1994,2.9,6,5,2,3,1,4,6,2,4,0,4,4,10,5,0,Matches
70,Tim Breukers,nl NED,DF,Heracles Almelo,31,1987,16.0,50,28,30,16,4,21,41,20,24,5,19,16,66,37,0,Matches
71,Jorn Brondeel,be BEL,GK,Twente,25,1993,1.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,Matches
72,Damian van Bruggen,nl NED,"DF,MF",VVV-Venlo,23,1996,2.4,0,0,0,0,0,0,0,0,6,4,2,3,3,7,0,Matches
73,Jordy Bruijn,nl NED,"MF,FW",Heerenveen,23,1996,7.5,15,11,2,7,6,4,16,12,8,0,8,0,15,3,0,Matches
74,Bruma,pt POR,FW,PSV Eindhoven,24,1994,10.8,18,13,8,5,5,4,11,7,2,0,2,7,25,4,0,Matches
75,Thomas Bruns,nl NED,MF,VVV-Venlo,27,1992,5.6,18,10,9,7,2,6,19,13,5,1,4,7,25,3,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Thomas Bruns,nl NED,MF,Zwolle,27,1992,4.9,14,11,3,9,2,6,11,5,3,1,2,5,19,10,0,Matches
77,Thomas Buitink,nl NED,"FW,MF",Vitesse,19,2000,4.5,3,2,2,1,0,2,10,8,2,1,1,1,4,4,0,Matches
78,Mick van Buren,nl NED,"FW,MF",ADO Den Haag,26,1992,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Matches
79,Wouter Burger,nl NED,MF,Feyenoord,18,2001,2.7,9,4,5,4,0,2,7,5,3,0,3,7,16,4,0,Matches
80,Delano Burgzorg,sr SUR,FW,Heracles Almelo,20,1998,4.7,6,4,3,2,1,3,4,1,5,0,5,0,6,3,0,Matches
81,Lorenzo Burnet,nl NED,DF,Emmen,28,1991,17.9,36,19,17,13,6,13,30,17,23,10,13,30,66,54,1,Matches
82,Oriol Busquets,es ESP,"MF,DF",Twente,20,1999,18.5,24,14,17,5,2,10,33,23,11,6,5,32,56,45,1,Matches
83,Aitor Cantalapiedra,es ESP,FW,Twente,23,1996,20.2,24,12,10,10,4,9,30,21,29,2,27,9,33,13,0,Matches
84,Àlex Carbonell,es ESP,MF,Fortuna Sittard,21,1997,7.7,15,11,9,6,0,8,27,19,14,3,11,8,23,10,0,Matches
85,Lee Cattermole,eng ENG,MF,VVV-Venlo,31,1988,8.6,20,15,10,10,0,4,17,13,15,6,9,6,26,15,0,Matches
86,Václav Černý,cz CZE,"FW,MF",Utrecht,21,1997,4.1,6,6,4,0,2,2,11,9,3,0,3,4,10,3,0,Matches
87,Michael Chacon,nl NED,MF,Emmen,25,1994,23.3,52,30,20,27,5,19,66,47,27,7,20,36,88,22,0,Matches
88,Paweł Cibicki,se SWE,FW,ADO Den Haag,25,1994,1.3,2,0,0,2,0,1,4,3,2,0,2,0,2,0,0,Matches
89,Jeremy Cijntje,cw CUW,"FW,MF",Heracles Almelo,21,1998,2.9,5,4,3,2,0,1,3,2,2,0,2,2,7,0,0,Matches
90,Amadou Ciss,sn SEN,"MF,FW",Fortuna Sittard,19,1999,20.9,43,26,18,14,11,21,48,27,25,8,17,17,60,23,0,Matches
91,Max Clark,eng ENG,DF,Vitesse,23,1996,21.8,86,53,59,20,7,63,112,49,31,4,27,23,109,68,1,Matches
92,Jordy Clasie,nl NED,"MF,DF",AZ Alkmaar,28,1991,11.1,27,21,12,12,3,10,24,14,13,2,11,19,46,19,0,Matches
93,Pelle Clement,nl NED,MF,Zwolle,23,1996,23.1,41,24,18,19,4,22,71,49,33,9,24,25,66,53,0,Matches
94,Tim Coremans,nl NED,GK,Sparta R'dam,28,1991,10.0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,Matches
95,Karim Coulibaly,fr FRA,MF,Willem II,26,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,George Cox,eng ENG,DF,Fortuna Sittard,21,1998,20.1,39,24,25,13,1,21,35,14,16,7,9,46,85,53,1,Matches
97,Vito van Crooij,nl NED,"FW,MF",Zwolle,23,1996,11.1,10,5,5,2,3,6,27,21,4,1,3,4,14,11,0,Matches
98,Lennart-Marten Czyborra,de GER,DF,Heracles Almelo,20,1999,18.3,29,15,19,7,3,16,27,11,15,4,11,42,71,45,0,Matches
99,Adrián Dalmau,es ESP,FW,Utrecht,25,1994,4.6,2,2,1,1,0,0,3,3,3,0,3,1,3,5,0,Matches
100,Vitalie Damașcan,md MDA,FW,Fortuna Sittard,20,1999,12.1,3,3,1,1,1,1,6,5,3,0,3,1,4,10,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Wessel Dammers,nl NED,DF,Fortuna Sittard,24,1995,9.1,8,7,8,0,0,6,11,5,12,10,2,15,23,42,0,Matches
102,Lennerd Daneels,be BEL,FW,RKC Waalwijk,21,1998,1.8,2,1,1,0,1,1,2,1,0,0,0,0,2,1,0,Matches
103,Danilo,br BRA,FW,Ajax,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Damil Dankerlui,sr SUR,"DF,MF",Willem II,22,1996,8.6,18,9,7,6,5,8,21,13,9,3,6,6,24,15,1,Matches
105,Oussama Darfalou,dz ALG,"MF,DF",Vitesse,25,1993,0.7,2,2,2,0,0,2,3,1,1,0,1,1,3,0,0,Matches
106,Oussama Darfalou,dz ALG,FW,VVV-Venlo,25,1993,8.0,15,11,3,5,7,5,12,7,10,2,8,2,17,9,0,Matches
107,Eli Dasa,il ISR,"DF,MF",Vitesse,26,1992,9.4,21,9,15,4,2,9,19,10,8,1,7,11,32,20,1,Matches
108,Laurens De Bock,be BEL,DF,ADO Den Haag,26,1992,7.8,17,8,9,6,2,5,14,9,10,5,5,16,33,23,0,Matches
109,Rick Dekker,nl NED,"MF,DF",Zwolle,24,1995,13.2,40,22,21,16,3,15,39,24,16,7,9,19,59,42,0,Matches
110,Tristan Dekker,nl NED,"DF,FW",VVV-Venlo,21,1998,0.7,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,Matches
