rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Dirk Abels,nl NED,DF,Sparta R'dam,22,1997,20.5,1,0,0,16,8,1,35,34,13,0,1,0,92,23,23,50.0,Matches
2,Abdallah Aberkane,nl NED,DF,Sparta R'dam,19,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
3,Nassim El Ablak,nl NED,MF,Fortuna Sittard,19,2000,0.7,0,0,0,3,1,0,2,2,0,0,0,0,3,1,1,50.0,Matches
4,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,19,2000,2.2,0,0,0,5,9,2,3,1,3,0,1,0,7,2,3,40.0,Matches
5,Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,19,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
6,Amir Absalem,nl NED,DF,Groningen,22,1997,3.9,3,0,0,8,3,0,5,7,3,0,0,0,32,5,4,55.6,Matches
7,Giorgi Aburjania,ge GEO,MF,Twente,24,1995,7.3,2,0,0,12,17,0,8,6,12,0,0,0,48,4,8,33.3,Matches
8,Ragnar Ache,de GER,FW,Sparta R'dam,21,1998,16.3,0,0,0,24,20,14,8,3,7,0,1,0,40,102,78,56.7,Matches
9,Luka Adžić,rs SRB,FW,Emmen,20,1998,1.8,0,0,0,2,1,1,3,1,3,0,0,0,10,4,4,50.0,Matches
10,Ibrahim Afellay,nl NED,MF,PSV Eindhoven,33,1986,1.2,2,1,1,2,1,0,0,1,1,0,0,0,11,0,0,,Matches
11,Hamdi Akujobi,nl NED,"FW,MF",Heerenveen,19,2000,0.4,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,,Matches
12,Edson Álvarez,mx MEX,"MF,DF",Ajax,21,1997,6.2,1,0,0,8,3,1,1,20,6,0,0,0,44,19,11,63.3,Matches
13,Gregoire Amiot,fr FRA,DF,Fortuna Sittard,24,1995,6.5,0,0,0,4,1,0,0,17,6,0,1,0,17,9,15,37.5,Matches
14,Martin Angha,ch SUI,DF,Fortuna Sittard,25,1994,13.7,2,0,0,12,12,1,12,23,17,0,2,0,48,32,30,51.6,Matches
15,Miguel Araujo,pe PER,DF,Emmen,24,1994,12.0,0,0,0,9,6,1,1,10,19,1,0,1,75,30,38,44.1,Matches
16,Jafar Arias,cw CUW,FW,Emmen,24,1995,9.0,1,0,0,26,14,3,2,1,8,0,0,0,24,29,42,40.8,Matches
17,Jonas Arweiler,de GER,"FW,DF",Utrecht,22,1997,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,4,5,44.4,Matches
18,Joel Asoro,se SWE,"FW,MF",Groningen,20,1999,13.1,1,0,0,13,17,4,16,5,10,0,0,0,32,46,51,47.4,Matches
19,Adil Auassar,nl NED,MF,Sparta R'dam,32,1986,20.0,11,1,1,48,13,1,17,31,22,1,0,0,134,40,31,56.3,Matches
20,Yassin Ayoub,nl NED,MF,Feyenoord,25,1994,0.5,0,0,0,2,1,0,0,0,1,0,0,0,7,1,0,100.0,Matches
21,Marouan Azarkan,nl NED,FW,Feyenoord,17,2001,0.2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,,Matches
