rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Dirk Abels,nl NED,DF,Sparta R'dam,22,1997,20.5,945,733,212,9,1,3,35,202,1,1,0,0,660,0,17,Matches
2,Abdallah Aberkane,nl NED,DF,Sparta R'dam,19,2000,0.0,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
3,Nassim El Ablak,nl NED,MF,Fortuna Sittard,19,2000,0.7,18,18,0,0,0,0,2,0,0,0,0,0,12,0,1,Matches
4,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,19,2000,2.2,73,66,6,2,0,1,3,4,0,0,0,0,52,1,4,Matches
5,Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,19,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Amir Absalem,nl NED,DF,Groningen,22,1997,3.9,238,210,28,0,0,5,5,28,0,0,0,0,174,0,6,Matches
7,Giorgi Aburjania,ge GEO,MF,Twente,24,1995,7.3,373,357,14,9,1,5,8,1,2,1,0,0,311,2,2,Matches
8,Ragnar Ache,de GER,FW,Sparta R'dam,21,1998,16.3,316,311,5,0,1,1,8,2,0,0,0,0,200,0,12,Matches
9,Luka Adžić,rs SRB,FW,Emmen,20,1998,1.8,56,54,2,0,1,0,3,0,2,2,0,0,38,0,0,Matches
10,Ibrahim Afellay,nl NED,MF,PSV Eindhoven,33,1986,1.2,75,74,1,1,0,0,0,0,0,0,0,0,70,0,1,Matches
11,Hamdi Akujobi,nl NED,"FW,MF",Heerenveen,19,2000,0.4,14,13,1,0,0,0,0,1,0,0,0,0,10,0,0,Matches
12,Edson Álvarez,mx MEX,"MF,DF",Ajax,21,1997,6.2,423,419,2,1,1,0,1,1,0,0,0,0,377,2,3,Matches
13,Gregoire Amiot,fr FRA,DF,Fortuna Sittard,24,1995,6.5,215,209,3,3,0,4,0,0,0,0,0,0,173,3,1,Matches
14,Martin Angha,ch SUI,DF,Fortuna Sittard,25,1994,13.7,581,529,52,19,1,1,12,33,0,0,0,0,461,0,7,Matches
15,Miguel Araujo,pe PER,DF,Emmen,24,1994,12.0,679,660,19,18,1,5,1,1,0,0,0,0,576,0,2,Matches
16,Jafar Arias,cw CUW,FW,Emmen,24,1995,9.0,354,341,12,0,0,4,2,1,0,0,0,0,270,1,4,Matches
17,Jonas Arweiler,de GER,"FW,DF",Utrecht,22,1997,0.6,18,18,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches
18,Joel Asoro,se SWE,"FW,MF",Groningen,20,1999,13.1,250,215,33,2,0,0,16,28,0,0,0,0,139,2,20,Matches
19,Adil Auassar,nl NED,MF,Sparta R'dam,32,1986,20.0,795,754,39,19,4,10,17,19,0,0,0,0,565,2,13,Matches
20,Yassin Ayoub,nl NED,MF,Feyenoord,25,1994,0.5,25,24,0,0,1,0,0,0,0,0,0,0,18,1,0,Matches
21,Marouan Azarkan,nl NED,FW,Feyenoord,17,2001,0.2,5,5,0,0,1,0,0,0,0,0,0,0,3,0,0,Matches
22,Ryan Babel,nl NED,FW,Ajax,32,1986,4.3,147,142,5,0,1,0,12,4,0,0,0,0,108,0,3,Matches
23,Nikolai Baden Frederiksen,dk DEN,"FW,MF",Fortuna Sittard,19,2000,0.5,10,7,2,1,0,0,4,0,1,1,0,0,5,1,0,Matches
24,Jean-Christophe Bahebeck,fr FRA,FW,Utrecht,26,1993,6.5,149,140,7,0,1,0,3,2,0,0,0,0,109,2,4,Matches
25,Destan Bajselmani,xk KVX,DF,Zwolle,20,1999,2.3,117,100,17,1,0,0,10,16,0,0,0,0,88,0,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Saïd Bakari,km COM,"DF,FW",RKC Waalwijk,24,1994,14.1,826,703,122,6,0,6,17,112,4,2,2,0,690,1,18,Matches
27,Navajo Bakboord,nl NED,DF,Heracles Almelo,20,1999,9.0,487,387,99,9,0,0,15,90,0,0,0,0,391,1,7,Matches
28,Danny Bakker,nl NED,MF,ADO Den Haag,24,1995,16.5,646,624,21,18,0,10,13,2,0,0,0,0,492,1,13,Matches
29,Nick Bakker,nl NED,DF,Emmen,27,1992,7.0,330,326,4,3,0,5,1,1,0,0,0,0,274,0,4,Matches
30,Tudor Băluță,ro ROU,MF,ADO Den Haag,20,1999,3.9,167,162,5,5,0,3,0,0,0,0,0,0,124,0,4,Matches
31,Naoufal Bannis,nl NED,"FW,MF",Feyenoord,17,2002,0.7,10,9,1,1,0,0,0,0,0,0,0,0,8,0,1,Matches
32,Aaron Bastiaans,nl NED,FW,VVV-Venlo,17,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Timo Baumgartl,de GER,DF,PSV Eindhoven,23,1996,12.1,741,714,26,20,0,3,0,4,0,0,0,0,653,1,5,Matches
34,Riechedly Bazoer,cw CUW,MF,Vitesse,22,1996,19.1,923,835,85,40,2,23,70,5,40,18,21,0,742,3,4,Matches
35,Filip Bednarek,pl POL,GK,Heerenveen,26,1992,6.0,208,137,70,14,0,0,0,0,0,0,0,0,142,1,0,Matches
36,Donny van de Beek,nl NED,MF,Ajax,22,1997,21.3,930,911,17,2,4,3,16,4,1,0,1,0,756,2,18,Matches
37,Sven van Beek,nl NED,FW,Feyenoord,25,1994,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Iliass Bel Hassani,ma MAR,"FW,MF",Zwolle,26,1992,10.8,431,378,51,9,0,10,47,11,23,11,7,1,303,2,17,Matches
39,Hilal Ben Moussa,nl NED,MF,Emmen,27,1992,5.7,374,368,6,4,1,4,1,2,0,0,0,0,312,0,4,Matches
40,Charlison Benschop,cw CUW,FW,Groningen,29,1989,9.5,190,183,7,0,0,3,5,0,0,0,0,0,113,0,4,Matches
41,Mitchell van Bergen,nl NED,"FW,MF",Heerenveen,19,1999,24.8,871,829,41,3,0,6,140,34,4,3,0,0,583,1,17,Matches
42,Emil Berggreen,dk DEN,FW,Twente,26,1993,4.0,108,97,10,0,1,0,1,0,0,0,0,0,75,1,2,Matches
43,Steven Berghuis,nl NED,FW,Feyenoord,27,1991,23.4,1401,1213,181,49,9,36,171,34,90,61,18,0,1036,7,42,Matches
44,Emil Bergström,se SWE,DF,Utrecht,26,1993,1.0,56,56,0,0,0,0,0,0,0,0,0,0,48,0,0,Matches
45,Steven Bergwijn,nl NED,"FW,MF",PSV Eindhoven,21,1997,14.8,661,618,39,10,6,2,16,14,10,2,4,0,566,4,13,Matches
46,Matúš Bero,sk SVK,MF,Vitesse,23,1995,20.7,1090,1045,40,27,1,10,8,8,5,2,1,0,930,5,14,Matches
47,Jan-Niklas Beste,de GER,DF,Emmen,20,1999,4.5,201,168,33,2,0,1,17,31,0,0,0,0,158,0,1,Matches
48,Tom Beugelsdijk,nl NED,DF,ADO Den Haag,28,1990,17.9,732,701,28,26,1,13,3,2,0,0,0,0,561,3,6,Matches
49,Peet Bijen,nl NED,DF,Twente,24,1995,18.9,1157,1127,28,24,1,4,0,4,0,0,0,0,1018,2,2,Matches
50,Glenn Bijl,nl NED,DF,Emmen,24,1995,23.9,1685,1359,320,39,1,20,102,276,5,0,4,0,1347,6,41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Teun Bijleveld,nl NED,"MF,FW",Heracles Almelo,21,1998,2.5,100,95,2,0,0,2,3,1,1,0,0,0,81,3,2,Matches
52,Justin Bijlow,nl NED,GK,Feyenoord,21,1998,7.0,235,170,64,16,0,0,0,0,0,0,0,0,147,1,1,Matches
53,Mario Bilate,nl NED,FW,RKC Waalwijk,28,1991,13.9,418,390,27,1,1,4,13,1,0,0,0,0,259,1,15,Matches
54,Marco Bizot,nl NED,GK,AZ Alkmaar,28,1991,23.0,765,553,209,35,0,3,0,0,0,0,0,0,576,3,0,Matches
55,Aleksandar Bjelica,rs SRB,DF,ADO Den Haag,25,1994,0.6,31,28,3,0,0,4,1,3,0,0,0,0,26,0,0,Matches
56,Janis Blaswich,de GER,GK,Heracles Almelo,28,1991,26.0,906,636,267,64,0,0,0,0,0,0,0,0,670,3,1,Matches
57,Daley Blind,nl NED,"DF,MF",Ajax,29,1990,19.4,1876,1824,46,32,5,16,14,12,0,0,0,0,1633,6,11,Matches
58,Myron Boadu,nl NED,FW,AZ Alkmaar,18,2001,22.3,425,386,38,0,0,2,0,3,0,0,0,0,351,1,8,Matches
59,Rody de Boer,nl NED,GK,AZ Alkmaar,21,1997,1.9,61,44,17,4,0,0,0,0,0,0,0,0,53,0,0,Matches
60,Tom Boere,nl NED,MF,Twente,26,1992,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Omar Bogle,eng ENG,FW,ADO Den Haag,26,1993,3.7,54,49,5,0,0,0,2,1,0,0,0,0,28,0,3,Matches
62,Henk Bos,nl NED,"MF,FW",Emmen,26,1992,1.4,48,47,1,0,0,1,0,1,0,0,0,0,41,0,1,Matches
63,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,21,1997,7.1,501,429,70,7,1,4,14,63,0,0,0,0,388,2,6,Matches
64,Jesse Bosch,nl NED,MF,Twente,19,2000,2.7,128,128,0,0,0,2,1,0,0,0,0,0,101,0,1,Matches
65,Sven Botman,nl NED,DF,Heerenveen,19,2000,26.0,1797,1755,42,36,0,19,1,6,0,0,0,0,1491,0,11,Matches
66,Eric Botteghin,br BRA,DF,Feyenoord,31,1987,19.8,1206,1174,29,24,1,7,2,5,0,0,0,0,1083,3,3,Matches
67,Róbert Boženík,sk SVK,FW,Feyenoord,19,1999,3.3,54,47,7,0,0,0,1,0,0,0,0,0,40,0,2,Matches
68,Wout Brama,nl NED,MF,Twente,32,1986,6.7,350,334,16,16,0,2,2,0,0,0,0,0,291,0,4,Matches
69,Joshua Brenet,cw CUW,DF,Vitesse,25,1994,2.9,159,122,37,5,0,0,13,31,1,1,0,0,112,0,3,Matches
70,Tim Breukers,nl NED,DF,Heracles Almelo,31,1987,16.0,678,496,178,8,0,0,21,169,1,0,0,0,489,4,19,Matches
71,Jorn Brondeel,be BEL,GK,Twente,25,1993,1.8,72,48,24,2,0,0,0,0,0,0,0,0,50,0,0,Matches
72,Damian van Bruggen,nl NED,"DF,MF",VVV-Venlo,23,1996,2.4,93,92,1,0,0,2,0,1,0,0,0,0,75,0,1,Matches
73,Jordy Bruijn,nl NED,"MF,FW",Heerenveen,23,1996,7.5,211,177,32,5,0,3,21,8,13,7,4,0,135,2,3,Matches
74,Bruma,pt POR,FW,PSV Eindhoven,24,1994,10.8,518,495,19,1,5,1,21,8,5,1,2,1,403,4,11,Matches
