rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Dirk Abels,nl NED,DF,Sparta R'dam,22,1997,20.5,1133,87,353,530,253,23,1133,5,2,40.0,3,60.0,418,1607,864,14,16,3,9,0,536,67,Matches
2,Abdallah Aberkane,nl NED,DF,Sparta R'dam,19,2000,0.0,4,0,0,4,0,0,4,0,0,,0,,2,15,2,0,0,0,1,0,2,0,Matches
3,Nassim El Ablak,nl NED,MF,Fortuna Sittard,19,2000,0.7,30,0,6,16,8,1,30,2,0,0.0,2,100.0,20,108,32,0,2,0,0,1,20,4,Matches
4,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,19,2000,2.2,112,2,6,39,69,16,112,7,1,14.3,6,85.7,70,431,191,10,9,4,8,6,93,37,Matches
5,Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,19,2000,0.0,2,0,0,0,2,0,2,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,Matches
6,Amir Absalem,nl NED,DF,Groningen,22,1997,3.9,281,11,98,143,41,3,281,3,1,33.3,2,66.7,147,750,380,6,7,0,2,1,152,19,Matches
7,Giorgi Aburjania,ge GEO,MF,Twente,24,1995,7.3,458,17,117,269,77,3,458,10,5,50.0,5,50.0,256,1661,873,15,18,0,13,14,311,13,Matches
8,Ragnar Ache,de GER,FW,Sparta R'dam,21,1998,16.3,525,21,41,218,272,50,525,20,5,25.0,15,75.0,254,1433,506,26,16,10,61,28,379,106,Matches
9,Luka Adžić,rs SRB,FW,Emmen,20,1998,1.8,84,1,9,35,43,9,84,11,5,45.5,6,54.5,51,454,327,12,5,5,4,1,62,17,Matches
10,Ibrahim Afellay,nl NED,MF,PSV Eindhoven,33,1986,1.2,87,3,12,60,15,1,87,2,2,100.0,0,0.0,57,278,102,1,0,1,2,1,69,3,Matches
11,Hamdi Akujobi,nl NED,"FW,MF",Heerenveen,19,2000,0.4,21,0,3,13,5,1,21,2,1,50.0,1,50.0,11,46,28,2,2,0,1,0,13,1,Matches
12,Edson Álvarez,mx MEX,"MF,DF",Ajax,21,1997,6.2,511,18,117,311,86,15,511,10,10,100.0,0,0.0,336,1784,927,13,13,1,12,3,360,12,Matches
13,Gregoire Amiot,fr FRA,DF,Fortuna Sittard,24,1995,6.5,288,45,154,130,7,3,288,4,3,75.0,1,25.0,156,1052,623,4,3,0,2,0,175,2,Matches
14,Martin Angha,ch SUI,DF,Fortuna Sittard,25,1994,13.7,739,70,326,348,66,10,739,3,3,100.0,0,0.0,363,1992,1138,10,6,1,10,3,418,11,Matches
15,Miguel Araujo,pe PER,DF,Emmen,24,1994,12.0,803,78,442,348,19,14,803,0,0,,0,,450,2375,1475,9,0,0,5,2,530,1,Matches
16,Jafar Arias,cw CUW,FW,Emmen,24,1995,9.0,463,7,34,239,192,30,463,20,11,55.0,9,45.0,265,1274,412,10,15,4,22,28,385,77,Matches
17,Jonas Arweiler,de GER,"FW,DF",Utrecht,22,1997,0.6,22,1,1,6,15,7,22,1,1,100.0,0,0.0,10,37,23,1,1,0,0,1,19,9,Matches
18,Joel Asoro,se SWE,"FW,MF",Groningen,20,1999,13.1,405,3,49,131,236,55,405,41,23,56.1,18,43.9,233,1534,685,33,14,11,31,27,269,74,Matches
19,Adil Auassar,nl NED,MF,Sparta R'dam,32,1986,20.0,1043,60,247,642,167,23,1043,14,5,35.7,9,64.3,465,2480,1116,17,19,2,23,14,523,25,Matches
