squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
ADO Den Haag,34,27.0,43.3,26,286,2340,26.0,22,14,36,19,3,5,57,4,29.7,25.7,19.5,45.2,292,740,0.85,0.54,1.38,0.73,1.27,1.14,0.75,1.9,0.99,1.74
Ajax,29,25.1,63.7,25,275,2250,25.0,67,54,121,64,3,3,32,0,74.2,72.0,60.1,132.0,709,1754,2.68,2.16,4.84,2.56,4.72,2.97,2.4,5.37,2.88,5.28
AZ Alkmaar,24,23.9,60.2,25,275,2250,25.0,54,36,90,45,9,10,33,2,55.0,47.3,38.9,86.2,585,1494,2.16,1.44,3.6,1.8,3.24,2.2,1.56,3.76,1.89,3.45
Emmen,29,26.3,51.8,26,286,2340,26.0,31,22,53,28,3,3,56,4,36.6,34.3,26.2,60.4,451,991,1.19,0.85,2.04,1.08,1.92,1.41,1.01,2.41,1.32,2.32
Feyenoord,30,25.7,54.3,25,275,2250,25.0,49,33,82,40,9,9,38,0,50.2,43.1,35.9,79.0,535,1157,1.96,1.32,3.28,1.6,2.92,2.01,1.44,3.44,1.72,3.16
Fortuna Sittard,27,23.2,45.1,26,286,2340,26.0,27,15,42,24,3,4,49,4,30.0,27.0,19.6,46.6,386,818,1.04,0.58,1.62,0.92,1.5,1.15,0.75,1.91,1.04,1.79
Groningen,25,23.8,48.6,26,286,2340,26.0,27,17,44,23,4,6,45,4,34.0,29.2,22.7,52.0,499,928,1.04,0.65,1.69,0.88,1.54,1.31,0.87,2.18,1.12,2.0
Heerenveen,24,22.7,51.0,26,286,2340,26.0,40,30,70,37,3,6,27,0,40.8,36.0,28.3,64.4,682,1083,1.54,1.15,2.69,1.42,2.58,1.57,1.09,2.66,1.39,2.48
Heracles Almelo,23,23.9,48.2,26,286,2340,26.0,39,28,67,38,1,2,45,1,39.3,37.7,26.6,64.3,504,951,1.5,1.08,2.58,1.46,2.54,1.51,1.02,2.53,1.45,2.47
PSV Eindhoven,29,24.0,54.7,26,286,2340,26.0,52,40,92,46,6,6,38,4,48.7,44.0,35.2,79.2,642,1237,2.0,1.54,3.54,1.77,3.31,1.87,1.35,3.23,1.69,3.05
RKC Waalwijk,28,25.0,49.8,26,286,2340,26.0,27,20,47,25,2,2,58,5,28.9,27.3,19.6,46.9,520,1026,1.04,0.77,1.81,0.96,1.73,1.11,0.75,1.86,1.05,1.8
Sparta R'dam,23,25.1,40.7,26,286,2340,26.0,40,31,71,38,2,4,48,3,37.5,34.3,26.7,61.0,391,929,1.54,1.19,2.73,1.46,2.65,1.44,1.03,2.47,1.32,2.35
Twente,25,23.5,50.2,26,286,2340,26.0,34,21,55,29,5,6,44,4,33.3,29.0,21.1,50.1,445,1001,1.31,0.81,2.12,1.12,1.92,1.28,0.81,2.09,1.12,1.93
Utrecht,30,25.2,52.5,25,275,2250,25.0,48,30,78,41,7,7,31,3,43.2,37.8,26.0,63.8,592,1190,1.92,1.2,3.12,1.64,2.84,1.73,1.04,2.77,1.51,2.55
Vitesse,25,25.5,49.1,26,286,2340,26.0,45,32,77,41,4,5,48,2,41.5,37.6,29.0,66.6,482,987,1.73,1.23,2.96,1.58,2.81,1.6,1.12,2.71,1.45,2.56
VVV-Venlo,25,27.0,40.2,26,286,2340,26.0,24,16,40,20,4,5,44,2,32.6,28.6,23.5,52.1,407,836,0.92,0.62,1.54,0.77,1.38,1.25,0.9,2.16,1.1,2.0
Willem II,24,24.7,47.7,26,286,2340,26.0,36,24,60,33,3,5,38,0,38.4,34.3,23.9,58.2,468,844,1.38,0.92,2.31,1.27,2.19,1.48,0.92,2.4,1.32,2.24
Zwolle,30,24.7,50.1,26,286,2340,26.0,37,23,60,34,3,3,45,2,34.3,32.4,24.9,57.3,446,931,1.42,0.88,2.31,1.31,2.19,1.32,0.96,2.28,1.25,2.2
