rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Justin Bijlow,nl NED,GK,Feyenoord,22,1998,14,14,1259,14.0,19,1.36,66,50,78.8,6,5,3,4,28.6,5,5,0,0,0.0,Matches
2,Marco Bizot,nl NED,GK,AZ Alkmaar,29,1991,33,33,2964,32.9,37,1.12,115,80,69.6,21,7,5,10,30.3,2,2,0,0,0.0,Matches
3,Janis Blaswich,de GER,GK,Heracles Almelo,29,1991,26,26,2326,25.8,35,1.35,95,62,64.2,11,6,9,9,34.6,2,1,0,1,0.0,Matches
4,Jorn Brondeel,be BEL,GK,Willem II,26,1993,11,10,926,10.3,20,1.94,49,29,65.3,2,1,7,2,20.0,3,3,0,0,0.0,Matches
5,Michael Brouwer,nl NED,GK,Heracles Almelo,27,1993,7,6,554,6.2,14,2.27,36,22,66.7,0,2,4,0,0.0,2,2,0,0,0.0,Matches
6,Koen Bucker,nl NED,GK,Heracles Almelo,24,1996,2,2,180,2.0,4,2.00,9,4,66.7,1,0,1,0,0.0,2,1,1,0,50.0,Matches
7,Delano van Crooy,nl NED,GK,VVV-Venlo,29,1991,6,5,495,5.5,26,4.73,58,32,58.6,0,1,4,0,0.0,2,2,0,0,0.0,Matches
8,Joel Drommel,nl NED,GK,Twente,23,1996,34,34,3060,34.0,50,1.47,157,108,72.6,10,11,13,6,17.6,10,7,2,1,22.2,Matches
9,Martin Fraisl,at AUT,GK,ADO Den Haag,27,1993,15,15,1350,15.0,32,2.13,88,56,65.9,2,5,8,3,20.0,3,2,0,1,0.0,Matches
10,Jeroen Houwen,nl NED,GK,Vitesse,24,1996,1,1,90,1.0,1,1.00,1,0,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
11,Thorsten Kirschbaum,de GER,GK,VVV-Venlo,33,1987,29,29,2565,28.5,65,2.28,184,119,69.0,6,4,19,1,3.4,9,8,1,0,11.1,Matches
12,Luuk Koopmans,nl NED,GK,ADO Den Haag,26,1993,19,19,1710,19.0,44,2.32,130,87,69.2,2,5,12,2,10.5,4,4,0,0,0.0,Matches
13,Alexei Koșelev,md MDA,GK,Fortuna Sittard,26,1993,8,6,616,6.8,16,2.34,38,22,63.2,0,2,4,1,16.7,2,2,0,0,0.0,Matches
14,Kostas Lamprou,gr GRE,GK,RKC Waalwijk,28,1991,34,34,3060,34.0,55,1.62,204,146,74.5,7,9,18,5,14.7,6,3,3,0,50.0,Matches
15,Benjamin van Leer,nl NED,GK,Sparta R'dam,28,1992,6,6,540,6.0,13,2.17,29,16,58.6,0,3,3,0,0.0,2,1,0,1,0.0,Matches
16,Nick Marsman,nl NED,GK,Feyenoord,29,1990,21,20,1801,20.0,17,0.85,77,60,81.8,10,6,4,9,45.0,4,3,0,1,0.0,Matches
17,Xavier Mous,nl NED,GK,Zwolle,24,1995,15,15,1350,15.0,24,1.60,77,54,71.4,5,2,8,3,20.0,2,2,0,0,0.0,Matches
18,Erwin Mulder,nl NED,GK,Heerenveen,31,1989,34,34,3060,34.0,49,1.44,153,105,73.2,9,12,13,10,29.4,8,8,0,0,0.0,Matches
19,Arijanet Muric,xk KVX,GK,Willem II,21,1998,14,14,1260,14.0,26,1.86,62,37,61.3,5,3,6,3,21.4,3,2,1,0,33.3,Matches
20,Yvon Mvogo,ch SUI,GK,PSV Eindhoven,26,1994,33,33,2970,33.0,35,1.06,109,74,72.5,20,9,4,11,33.3,6,5,1,0,16.7,Matches
21,Thijmen Nijhuis,nl NED,GK,Utrecht,22,1998,3,3,270,3.0,5,1.67,11,6,54.5,1,1,1,1,33.3,0,0,0,0,,Matches
22,Eric Oelschlägel,de GER,GK,Utrecht,24,1995,23,23,2070,23.0,25,1.09,74,50,71.6,11,8,4,7,30.4,4,4,0,0,0.0,Matches
23,Maduka Okoye,ng NGA,GK,Sparta R'dam,20,1999,28,28,2520,28.0,35,1.25,107,71,69.2,13,5,10,10,35.7,3,2,1,0,33.3,Matches
24,André Onana,cm CMR,GK,Ajax,24,1996,20,20,1800,20.0,15,0.75,75,60,80.0,16,2,2,9,45.0,0,0,0,0,,Matches
25,Yanick van Osch,nl NED,GK,Fortuna Sittard,23,1997,26,26,2332,25.9,42,1.62,126,86,72.2,11,3,12,2,7.7,8,7,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Sergio Padt,nl NED,GK,Groningen,30,1990,34,34,3060,34.0,37,1.09,128,91,75.0,14,8,12,12,35.3,6,5,1,0,16.7,Matches
27,Maarten Paes,id IDN,GK,Utrecht,22,1998,8,8,720,8.0,11,1.37,27,16,63.0,1,5,2,0,0.0,1,1,0,0,0.0,Matches
28,Remko Pasveer,nl NED,GK,Vitesse,36,1983,33,33,2970,33.0,37,1.12,135,97,74.1,17,7,9,12,36.4,3,2,1,0,33.3,Matches
29,Robbin Ruiter,nl NED,GK,Willem II,33,1987,10,10,874,9.7,22,2.27,59,36,66.1,1,3,6,1,10.0,3,2,1,0,33.3,Matches
30,Kjell Scherpen,nl NED,GK,Ajax,20,2000,2,2,180,2.0,1,0.50,1,0,0.0,2,0,0,1,50.0,0,0,0,0,,Matches
31,Maarten Stekelenburg,nl NED,GK,Ajax,37,1982,12,12,1080,12.0,7,0.58,33,25,81.8,10,2,0,6,50.0,2,1,1,0,50.0,Matches
32,Dennis Telgenkamp,nl NED,GK,Emmen,33,1987,14,14,1260,14.0,34,2.43,85,52,61.2,0,5,9,2,14.3,1,1,0,0,0.0,Matches
33,Lars Unnerstall,de GER,GK,PSV Eindhoven,30,1990,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
34,Piet Velthuizen,nl NED,GK,Fortuna Sittard,33,1986,2,2,112,1.2,0,0.00,2,2,100.0,1,0,1,1,50.0,0,0,0,0,,Matches
35,Hobie Verhulst,nl NED,GK,AZ Alkmaar,27,1993,2,1,94,1.0,4,3.83,6,2,66.7,0,1,0,0,0.0,2,2,0,0,0.0,Matches
36,Michael Verrips,nl NED,GK,Emmen,23,1996,14,14,1260,14.0,19,1.36,57,38,68.4,7,3,4,2,14.3,1,1,0,0,0.0,Matches
37,Felix Wiedwald,de GER,GK,Emmen,30,1990,6,6,540,6.0,15,2.50,37,22,64.9,0,1,5,0,0.0,2,2,0,0,0.0,Matches
38,Michael Zetterer,de GER,GK,Zwolle,25,1995,19,19,1710,19.0,29,1.53,81,52,65.4,4,9,6,4,21.1,1,1,0,0,0.0,Matches
