rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Ajax,34,28,4,2,102,23,79,88,2.59,97.5,31.7,65.8,1.93,1860,Dušan Tadić - 14,André Onana,
2,PSV Eindhoven,34,21,9,4,74,35,39,72,2.12,70.6,32.5,38.1,1.12,471,Donyell Malen - 19,Yvon Mvogo,→ Second qualifying round
3,AZ Alkmaar,34,21,8,5,75,41,34,71,2.09,69.0,36.0,32.9,0.97,294,"Myron Boadu, Teun Koopmeiners - 15",Marco Bizot,→ Play-off round
4,Vitesse,34,18,7,9,52,38,14,61,1.79,49.6,48.2,1.4,0.04,289,"Loïs Openda, Armando Broja - 10",Remko Pasveer,→ Third qualifying round
5,Feyenoord,34,16,11,7,64,36,28,59,1.74,64.2,41.3,22.9,0.67,2676,Steven Berghuis - 18,Nick Marsman,→ European competition qualification play-offs — Semi-finals
6,Utrecht,34,13,14,7,52,41,11,53,1.56,67.1,38.4,28.7,0.84,467,Sander van de Streek - 11,Eric Oelschlägel,→ European competition qualification play-offs — Semi-finals
7,Groningen,34,14,8,12,40,37,3,50,1.47,42.1,47.6,-5.4,-0.16,356,Jørgen Strand Larsen - 9,Sergio Padt,→ European competition qualification play-offs — Semi-finals
8,Sparta R'dam,34,13,8,13,49,48,1,47,1.38,46.4,49.5,-3.1,-0.09,301,Lennart Thy - 14,Maduka Okoye,→ European competition qualification play-offs — Semi-finals
9,Heracles Almelo,34,12,8,14,42,53,-11,44,1.29,43.6,46.6,-3.0,-0.09,340,Rai Vloet - 16,Janis Blaswich,
10,Twente,34,10,11,13,48,50,-2,41,1.21,45.5,50.8,-5.3,-0.15,1176,Danilo - 17,Joel Drommel,
11,Fortuna Sittard,34,12,5,17,50,58,-8,41,1.21,46.4,60.4,-14.0,-0.41,324,Zian Flemming - 12,Yanick van Osch,
12,Heerenveen,34,9,12,13,43,49,-6,39,1.15,46.0,55.1,-9.1,-0.27,735,Henk Veerman - 14,Erwin Mulder,
13,Zwolle,34,9,11,14,44,53,-9,38,1.12,42.5,49.7,-7.1,-0.21,349,Reza Ghoochannejad - 6,Michael Zetterer,
14,Willem II,34,8,7,19,40,68,-28,31,0.91,42.6,58.3,-15.7,-0.46,348,Vangelis Pavlidis - 12,Arijanet Muric,
15,RKC Waalwijk,34,7,9,18,33,55,-22,30,0.88,31.6,65.2,-33.6,-0.99,116,"Finn Stokkers, Cyril Ngonge - 5",Kostas Lamprou,
16,Emmen,34,7,9,18,40,68,-28,30,0.88,45.5,56.4,-10.9,-0.32,335,Michael de Leeuw - 13,"Dennis Telgenkamp, Michael Verrips",→ Semi-finals
17,VVV-Venlo,34,6,5,23,43,91,-48,23,0.68,41.0,74.8,-33.7,-0.99,84,Giorgos Giakoumakis - 26,Thorsten Kirschbaum,Relegated
18,ADO Den Haag,34,4,10,20,29,76,-47,22,0.65,26.1,75.0,-48.9,-1.44,254,Michiel Kramer - 6,Luuk Koopmans,Relegated
