rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,22,4,0,1,1,24.1,0.30,+3.1,+0.14,92,245,37.6,608,101,30.9,31.2,119,47.9,42.9,215,13,6.0,21,0.95,15.2,Matches
2,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,29,2,0,3,2,29.1,0.27,+2.1,+0.10,108,312,34.6,653,96,33.5,33.4,156,59.6,46.5,233,11,4.7,29,1.32,17.1,Matches
3,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,11,0,0,3,0,10.6,0.25,-0.4,-0.07,33,98,33.7,166,29,44.0,37.9,49,51.0,42.9,91,1,1.1,2,0.39,12.9,Matches
4,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,52,3,0,9,1,49.7,0.29,-1.3,-0.04,121,445,27.2,755,201,36.6,33.6,333,50.8,40.9,606,29,4.8,18,0.53,11.4,Matches
5,Jorn Brondeel,be BEL,GK,Willem II,27,1993,1.2,1,0,0,0,0,1.7,0.25,+0.7,+0.63,10,30,33.3,32,5,71.9,49.6,7,100.0,64.4,18,3,16.7,1,0.87,13.4,Matches
6,Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12.0,20,0,1,4,0,19.2,0.26,-0.8,-0.07,71,194,36.6,315,77,39.4,38.8,96,72.9,55.1,179,11,6.1,6,0.50,11.4,Matches
7,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2.0,3,1,0,0,0,4.6,0.40,+1.6,+0.79,20,46,43.5,60,10,48.3,36.9,23,73.9,55.5,34,2,5.9,4,2.00,17.0,Matches
8,Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3.0,4,0,0,0,2,2.3,0.18,+0.3,+0.09,18,40,45.0,71,11,47.9,37.1,17,35.3,39.6,36,2,5.6,3,1.00,15.2,Matches
9,Jeffrey De Lange,nl NED,GK,Twente,23,1998,2.0,5,0,0,0,0,4.0,0.37,-1.0,-0.49,11,37,29.7,70,13,44.3,34.3,9,66.7,47.2,34,1,2.9,9,4.50,17.2,Matches
10,Connor van den Berg,nl NED,GK,Willem II,20,2001,0.8,0,0,0,0,0,0.5,0.09,+0.5,+0.65,6,24,25.0,11,1,81.8,47.5,15,100.0,62.8,32,1,3.1,0,0.00,6.6,Matches
11,Joel Drommel,nl NED,GK,PSV Eindhoven,24,1996,26.0,32,0,0,2,2,21.3,0.28,-8.7,-0.34,86,276,31.2,585,108,34.7,33.9,140,52.1,41.7,233,13,5.6,24,0.92,14.9,Matches
12,Jay Gorter,nl NED,GK,Ajax,21,2000,1.0,2,0,0,0,0,2.5,0.57,+0.5,+0.52,0,4,0.0,30,9,13.3,27.8,2,0.0,26.5,7,1,14.3,1,1.00,20.7,Matches
13,Warner Hahn,sr SUR,GK,Go Ahead Eag,29,1992,19.0,31,4,0,5,0,28.6,0.23,-2.4,-0.13,134,373,35.9,645,83,43.7,37.3,160,56.9,45.5,365,11,3.0,20,1.05,13.8,Matches
14,Jeroen Houwen,nl NED,GK,Vitesse,25,1996,14.5,24,2,0,1,1,20.1,0.30,-2.9,-0.20,72,249,28.9,417,78,45.1,36.8,111,55.0,44.9,168,3,1.8,16,1.10,16.5,Matches
15,Fabian de Keijzer,nl NED,GK,Utrecht,21,2000,13.5,17,2,0,4,1,15.6,0.24,-0.4,-0.03,77,224,34.4,316,53,52.2,39.1,105,56.2,43.5,209,5,2.4,8,0.59,14.5,Matches
16,Kostas Lamprou,gr GRE,GK,Zwolle,29,1991,34.0,52,3,3,7,3,54.2,0.30,+5.2,+0.15,284,737,38.5,1255,162,45.3,37.0,259,64.9,48.3,424,25,5.9,59,1.74,17.5,Matches
17,Benjamin van Leer,nl NED,GK,Sparta R'dam,29,1992,1.7,4,1,0,1,0,4.5,0.29,+0.5,+0.29,12,44,27.3,62,6,50.0,39.6,16,81.3,54.6,23,0,0.0,2,1.15,17.2,Matches
18,Peter Leeuwenburgh,nl NED,GK,Groningen,27,1994,34.0,55,2,1,8,2,44.1,0.26,-8.9,-0.26,260,756,34.4,1489,210,40.0,36.1,259,62.2,48.9,443,18,4.1,49,1.44,15.6,Matches
