rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,4,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches
2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,33,33,2897,32.2,0,0,0,0,0,0,7,0,0.8,0.8,0.9,1.7,23,97,47,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,31,5,815,9.1,4,1,5,4,0,0,1,0,4.6,4.6,1.0,5.5,27,27,106,0.44,0.11,0.55,0.44,0.55,0.50,0.11,0.61,0.50,0.61,Matches
4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,29,16,1353,15.0,0,2,2,0,0,0,2,0,2.0,2.0,1.3,3.3,41,37,91,0.00,0.13,0.13,0.00,0.13,0.13,0.09,0.22,0.13,0.22,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,22,18,1717,19.1,0,0,0,0,0,0,5,1,0.3,0.3,0.3,0.5,11,45,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,16,7,725,8.1,0,1,1,0,0,0,0,0,2.2,2.2,2.0,4.3,34,19,98,0.00,0.12,0.12,0.00,0.12,0.28,0.25,0.53,0.28,0.53,Matches
7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,3,2,199,2.2,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,0,5,0,0.45,0.00,0.45,0.45,0.45,0.39,0.01,0.40,0.39,0.40,Matches
8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,28,19,1569,17.4,6,0,6,6,0,0,1,1,4.1,4.1,2.3,6.4,18,38,111,0.34,0.00,0.34,0.34,0.34,0.24,0.13,0.37,0.24,0.37,Matches
9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,5,1,142,1.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,7,3,12,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,7,2,258,2.9,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,4,3,20,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.36,0.31,0.36,Matches
11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,31,28,2331,25.9,5,1,6,5,0,0,5,0,4.6,4.6,0.4,5.0,20,152,32,0.19,0.04,0.23,0.19,0.23,0.18,0.02,0.19,0.18,0.19,Matches
12,Ben Aissa Ben Amar,ma MAR,DF,Utrecht,24,1997,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,8,1,129,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,12,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
14,Djavan Anderson,sr SUR,"DF,MF",Zwolle,26,1995,14,12,1028,11.4,0,2,2,0,0,0,0,0,1.2,1.2,0.7,1.8,28,22,60,0.00,0.18,0.18,0.00,0.18,0.10,0.06,0.16,0.10,0.16,Matches
15,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,31,30,2594,28.8,0,0,0,0,0,0,6,0,0.8,0.8,0.1,0.8,11,56,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
16,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,32,32,2730,30.3,1,1,2,1,0,0,3,0,1.1,1.1,1.0,2.1,11,132,27,0.03,0.03,0.07,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
17,Antony,br BRA,FW,Ajax,21,2000,23,21,1724,19.2,8,4,12,8,0,0,5,1,7.1,7.1,4.5,11.6,82,137,327,0.42,0.21,0.63,0.42,0.63,0.37,0.24,0.60,0.37,0.60,Matches
18,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,9,0,211,2.3,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,1,4,6,0.43,0.00,0.43,0.43,0.43,0.26,0.13,0.39,0.26,0.39,Matches
19,Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,32,31,2475,27.5,3,1,4,3,0,0,7,0,1.3,1.3,1.2,2.5,8,74,12,0.11,0.04,0.15,0.11,0.15,0.05,0.04,0.09,0.05,0.09,Matches
20,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,4,1,145,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
21,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,33,27,2488,27.6,1,4,5,1,0,0,6,0,1.7,1.7,3.1,4.8,47,233,38,0.04,0.14,0.18,0.04,0.18,0.06,0.11,0.17,0.06,0.17,Matches
22,Aventis Aventisian,am ARM,DF,Go Ahead Eag,18,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,28,20,1678,18.6,0,0,0,0,0,0,1,0,0.6,0.6,1.2,1.8,17,73,19,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
24,Ismail Azzaoui,be BEL,"FW,MF",Heracles Almelo,23,1998,12,3,436,4.8,3,1,4,3,0,0,0,0,0.5,0.5,0.9,1.4,13,18,34,0.62,0.21,0.83,0.62,0.83,0.10,0.18,0.28,0.10,0.28,Matches
25,Aliou Badara Baldé,gn GUI,FW,Feyenoord,18,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,24,17,1304,14.5,7,1,8,7,0,0,2,0,4.1,4.1,1.8,5.9,10,18,59,0.48,0.07,0.55,0.48,0.55,0.28,0.12,0.41,0.28,0.41,Matches
27,Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,10,4,436,4.8,1,0,1,1,0,0,2,0,1.1,1.1,0.3,1.4,14,8,24,0.21,0.00,0.21,0.21,0.21,0.24,0.06,0.30,0.24,0.30,Matches
28,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,31,27,2364,26.3,1,3,4,1,0,0,1,0,2.1,2.1,4.4,6.5,60,108,167,0.04,0.11,0.15,0.04,0.15,0.08,0.17,0.25,0.08,0.25,Matches
29,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,3,5,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches
30,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,9,6,484,5.4,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,7,10,11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
31,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,31,17,1528,17.0,6,0,6,6,0,0,2,1,5.5,5.5,0.7,6.3,12,30,74,0.35,0.00,0.35,0.35,0.35,0.33,0.04,0.37,0.33,0.37,Matches
32,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,13,7,735,8.2,1,1,2,0,1,1,0,0,0.9,0.1,0.9,1.0,7,34,1,0.12,0.12,0.24,0.00,0.12,0.11,0.11,0.22,0.01,0.12,Matches
33,Nick Bakker,nl NED,DF,Heerenveen,29,1992,19,18,1634,18.2,2,1,3,2,0,0,1,0,1.3,1.3,1.1,2.4,12,41,2,0.11,0.06,0.17,0.11,0.17,0.07,0.06,0.13,0.07,0.13,Matches
34,Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,17,5,446,5.0,0,1,1,0,0,0,0,0,1.5,1.5,1.3,2.8,7,7,41,0.00,0.20,0.20,0.00,0.20,0.30,0.27,0.56,0.30,0.56,Matches
35,Alex Bangura,sl SLE,DF,Cambuur,22,1999,27,27,2413,26.8,3,0,3,3,0,0,8,1,1.1,1.1,0.7,1.8,63,58,69,0.11,0.00,0.11,0.11,0.11,0.04,0.03,0.07,0.04,0.07,Matches
36,Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,2,0,16,0.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.1,1,1,0,5.63,0.00,5.63,5.63,5.63,4.57,1.89,6.46,4.57,6.46,Matches
37,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,3,0,56,0.6,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,2,6,0.00,0.00,0.00,0.00,0.00,0.67,0.08,0.75,0.67,0.75,Matches
38,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,19,14,1244,13.8,1,0,1,1,0,0,3,0,1.1,1.1,0.3,1.4,5,66,15,0.07,0.00,0.07,0.07,0.07,0.08,0.02,0.10,0.08,0.10,Matches
39,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Heracles Almelo,26,1995,27,19,1480,16.4,1,2,3,1,0,0,4,0,1.7,1.7,3.8,5.4,44,30,126,0.06,0.12,0.18,0.06,0.18,0.10,0.23,0.33,0.10,0.33,Matches
40,Cole Bassett,us USA,"MF,DF",Feyenoord,20,2001,7,0,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,1,8,4,0.00,1.00,1.00,0.00,1.00,0.07,0.31,0.38,0.07,0.38,Matches
41,Riechedly Bazoer,cw CUW,DF,Vitesse,24,1996,26,24,1962,21.8,1,4,5,1,0,0,9,0,1.0,1.0,1.5,2.5,35,134,20,0.05,0.18,0.23,0.05,0.23,0.05,0.07,0.12,0.05,0.12,Matches
42,Sven van Beek,nl NED,DF,Heerenveen,27,1994,29,29,2565,28.5,1,0,1,1,0,0,4,0,2.0,1.8,0.4,2.3,10,74,8,0.04,0.00,0.04,0.04,0.04,0.07,0.02,0.09,0.06,0.08,Matches
43,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,1.14,0.00,1.14,1.14,1.14,Matches
44,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,3,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,8,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
45,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,20,9,841,9.3,0,2,2,0,0,0,1,0,0.6,0.6,1.5,2.1,9,48,43,0.00,0.21,0.21,0.00,0.21,0.07,0.16,0.23,0.07,0.23,Matches
46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,13,6,577,6.4,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.1,2,4,23,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18,Matches
47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,19,6,621,6.9,0,2,2,0,0,0,0,0,1.2,1.2,1.4,2.5,10,13,47,0.00,0.29,0.29,0.00,0.29,0.17,0.20,0.36,0.17,0.36,Matches
48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,1,17,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches
49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,33,29,2389,26.5,8,11,19,8,0,0,0,0,8.8,8.8,9.9,18.6,48,226,227,0.30,0.41,0.72,0.30,0.72,0.33,0.37,0.70,0.33,0.70,Matches
50,Emil Bergström,se SWE,DF,Willem II,28,1993,13,8,748,8.3,0,0,0,0,0,0,0,1,0.6,0.6,0.3,0.8,1,13,3,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,27,24,2179,24.2,1,1,2,0,1,1,12,1,3.0,2.2,1.4,3.6,19,86,95,0.04,0.04,0.08,0.00,0.04,0.12,0.06,0.18,0.09,0.15,Matches
52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,25,15,1529,17.0,0,0,0,0,0,0,5,0,0.8,0.8,0.7,1.5,1,29,9,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.09,0.04,0.09,Matches
