round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Eredivisie,1,Fri,2021-08-13,20:00,Go Ahead Eag,0.8,0–1,1.2,Heerenveen,1173,De Adelaarshorst,Kevin Blom,Match Report,
Eredivisie,1,Sat,2021-08-14,16:30,RKC Waalwijk,0.8,1–0,1.6,AZ Alkmaar,3860,Mandemakers Stadion,Joey Kooij,Match Report,
Eredivisie,1,Sat,2021-08-14,18:45,Heracles Almelo,0.3,0–2,1.9,PSV Eindhoven,8053,Erve Asito,Danny Makkelie,Match Report,
Eredivisie,1,Sat,2021-08-14,20:00,Fortuna Sittard,1.7,2–1,1.3,Twente,6300,Fortuna Sittard Stadion,Jochem Kamphuis,Match Report,
Eredivisie,1,Sat,2021-08-14,21:00,Ajax,3.4,5–0,0.5,NEC Nijmegen,32275,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
Eredivisie,1,Sun,2021-08-15,12:15,Cambuur,0.5,1–2,1.6,Groningen,7000,Cambuurstadion,Allard Lindhout,Match Report,
Eredivisie,1,Sun,2021-08-15,14:30,Zwolle,1.5,0–1,1.0,Vitesse,9000,MAC³PARK Stadion,Richard Martens,Match Report,
Eredivisie,1,Sun,2021-08-15,14:30,Utrecht,3.3,4–0,0.7,Sparta R'dam,16000,Stadion Galgenwaard,Martin van den Kerkhof,Match Report,
Eredivisie,1,Sun,2021-08-15,16:45,Willem II,0.8,0–4,2.5,Feyenoord,9700,Koning Willem II Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,2,Fri,2021-08-20,20:00,NEC Nijmegen,0.7,2–0,1.0,Zwolle,8500,Goffertstadion,Sander Van der Eijk,Match Report,
Eredivisie,2,Sat,2021-08-21,18:45,Heerenveen,2.1,3–2,1.0,RKC Waalwijk,13600,Abe Lenstra Stadion,Marc Nagtegaal,Match Report,
Eredivisie,2,Sat,2021-08-21,20:00,Sparta R'dam,0.8,1–1,0.5,Heracles Almelo,7000,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
Eredivisie,2,Sat,2021-08-21,20:00,PSV Eindhoven,2.2,4–1,0.6,Cambuur,23500,Philips Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,2,Sat,2021-08-21,21:00,Groningen,1.2,0–0,0.4,Utrecht,14800,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,
Eredivisie,2,Sun,2021-08-22,12:15,Twente,0.9,1–1,1.6,Ajax,20000,De Grolsch Veste,Dennis Higler,Match Report,
Eredivisie,2,Sun,2021-08-22,14:30,Feyenoord,2.6,2–0,0.7,Go Ahead Eag,34384,Stadion Feijenoord,Rob Dieperink,Match Report,
Eredivisie,2,Sun,2021-08-22,16:45,Vitesse,1.1,0–3,1.3,Willem II,10157,GelreDome,Allard Lindhout,Match Report,
Eredivisie,3,Fri,2021-08-27,20:00,Fortuna Sittard,0.9,2–2,2.2,RKC Waalwijk,6470,Fortuna Sittard Stadion,Jeroen Manschot,Match Report,
Eredivisie,3,Sat,2021-08-28,18:45,Cambuur,2.7,2–0,1.1,Twente,6672,Cambuurstadion,Kevin Blom,Match Report,
Eredivisie,3,Sat,2021-08-28,20:00,Go Ahead Eag,2.5,2–0,1.0,Sparta R'dam,6650,De Adelaarshorst,Jannick van der Laan,Match Report,
Eredivisie,3,Sat,2021-08-28,20:00,PSV Eindhoven,1.4,5–2,1.7,Groningen,23447,Philips Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,3,Sat,2021-08-28,21:00,Willem II,1.2,1–0,0.7,Zwolle,9352,Koning Willem II Stadion,Gerard van Oostrom,Match Report,
Eredivisie,3,Sun,2021-08-29,12:15,Utrecht,3.7,3–1,1.0,Feyenoord,16000,Stadion Galgenwaard,Dennis Higler,Match Report,
Eredivisie,3,Sun,2021-08-29,14:30,Ajax,3.4,5–0,0.6,Vitesse,8053,Johan Cruyff ArenA,Danny Makkelie,Match Report,
Eredivisie,3,Sun,2021-08-29,14:30,Heracles Almelo,0.6,0–1,1.6,NEC Nijmegen,8053,Erve Asito,Jochem Kamphuis,Match Report,
Eredivisie,3,Sun,2021-08-29,16:45,Heerenveen,1.2,1–3,2.8,AZ Alkmaar,16000,Abe Lenstra Stadion,Bas Nijhuis,Match Report,
Eredivisie,4,Sat,2021-09-11,16:30,Twente,1.3,1–0,0.9,Utrecht,20000,De Grolsch Veste,Serdar Gözübüyük,Match Report,
Eredivisie,4,Sat,2021-09-11,18:45,Zwolle,0.5,0–2,1.3,Ajax,9000,MAC³PARK Stadion,Jeroen Manschot,Match Report,
Eredivisie,4,Sat,2021-09-11,18:45,Cambuur,3.1,5–2,0.9,Go Ahead Eag,6682,Cambuurstadion,Danny Makkelie,Match Report,
Eredivisie,4,Sat,2021-09-11,21:00,AZ Alkmaar,1.1,0–3,1.4,PSV Eindhoven,13000,AFAS Stadion,Allard Lindhout,Match Report,
Eredivisie,4,Sun,2021-09-12,12:15,NEC Nijmegen,1.5,0–0,0.3,Willem II,8333,Goffertstadion,Pol van Boekel,Match Report,
