rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Uriel van Aalst,,FW,Willem II,,,0.3,7,8,87.5,74,36,3,3,2,2,0,0,0,0.0,0.0,0.0,1,1,0,0,1,Matches
2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,33,1990,18.4,680,823,82.6,11514,4093,305,353,302,342,57,92,0,1.3,2.2,-1.3,16,59,26,7,86,Matches
3,Paxten Aaronson,us USA,"MF,FW",Utrecht,20,2003,29.9,718,904,79.4,11995,3016,320,361,319,373,51,86,4,2.9,4.0,+1.1,34,65,29,2,116,Matches
4,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,18,2005,3.6,89,121,73.6,1226,343,54,69,30,37,3,7,0,0.4,0.8,-0.4,5,4,10,1,15,Matches
5,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,25,1999,8.6,147,214,68.7,2389,636,82,105,49,66,13,31,0,0.9,0.7,-0.9,7,11,17,8,22,Matches
6,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,20,2003,13.6,512,676,75.7,8446,2959,271,307,188,237,41,100,1,1.3,1.3,-0.3,15,32,11,3,39,Matches
7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,19.4,712,828,86.0,14127,4091,217,243,410,437,78,131,0,0.1,0.3,-0.1,4,55,2,1,59,Matches
8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,12.4,442,572,77.3,8079,3318,182,212,211,249,43,79,0,0.6,1.1,-0.6,6,50,9,3,47,Matches
9,Amar Ahmed,se SWE,"FW,MF",Willem II,20,2004,7.8,180,255,70.6,2772,843,91,105,60,87,14,33,0,0.9,1.4,-0.9,18,10,8,0,21,Matches
10,Isaiah Ahmed,cw CUW,MF,Heerenveen,18,2005,0.1,2,4,50.0,38,0,1,1,1,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
11,Makan Aiko,fr FRA,FW,Fortuna Sittard,23,2001,13.1,92,153,60.1,1117,178,63,88,18,40,3,6,0,0.9,1.0,-0.9,9,5,1,0,6,Matches
12,Chuba Akpom,eng ENG,FW,Ajax,28,1995,9.2,186,242,76.9,2398,306,116,141,56,71,2,7,1,0.5,0.8,+0.5,4,7,6,0,17,Matches
13,Hamdi Akujobi,nl NED,DF,Almere City,24,2000,26.0,761,1058,71.9,13394,5021,347,392,319,445,77,178,1,1.7,2.1,-0.7,18,57,29,12,89,Matches
14,Gerald Alders,nl NED,DF,Twente,19,2005,0.3,15,20,75.0,224,29,8,10,7,9,0,1,0,0.0,0.0,0.0,0,1,0,0,1,Matches
15,Hussein Ali,iq IRQ,DF,Heerenveen,22,2002,2.4,82,101,81.2,1304,368,36,40,42,50,2,7,0,0.0,0.0,0.0,0,8,0,0,8,Matches
16,Jaydon Amauri Banel,nl NED,FW,Ajax,19,2004,0.7,20,30,66.7,320,56,8,9,9,13,2,4,0,0.0,0.0,0.0,0,1,1,0,3,Matches
17,Jamal Amofa,nl NED,DF,Go Ahead Eag,25,1998,1.8,120,132,90.9,2291,976,36,40,67,68,14,19,0,0.0,0.1,0.0,0,11,1,0,10,Matches
18,Silas Andersen,dk DEN,MF,Utrecht,20,2004,0.0,1,1,100.0,21,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
19,Plamen Andreev,bg BUL,GK,Feyenoord,19,2004,1.0,30,38,78.9,746,563,4,4,21,22,5,12,0,0.0,0.0,0.0,0,0,0,0,0,Matches
20,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,22,2001,26.8,663,836,79.3,9865,2112,355,408,239,305,33,52,15,9.1,6.5,+5.9,50,35,38,10,75,Matches
21,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23,2001,32.0,1617,1887,85.7,27377,8253,714,811,761,833,104,161,0,1.0,1.7,-1.0,22,151,18,5,153,Matches
22,Julian Baas,nl NED,MF,Sparta R'dam,22,2002,9.4,433,540,80.2,8601,2391,140,160,236,270,54,97,2,1.1,1.4,+0.9,18,48,3,0,44,Matches
23,Youri Baas,nl NED,DF,Ajax,21,2003,22.7,1954,2140,91.3,34419,12550,786,819,1038,1089,112,190,0,0.3,0.9,-0.3,7,149,5,1,115,Matches
24,Isaac Babadi,nl NED,MF,PSV Eindhoven,19,2005,1.9,135,164,82.3,2272,704,64,69,56,63,11,21,0,0.4,0.5,-0.4,5,17,5,1,32,Matches
25,Leandro Bacuna,cw CUW,"DF,MF",Groningen,32,1991,25.9,1012,1331,76.0,19589,6028,381,450,452,554,154,269,3,2.9,4.0,+0.1,31,82,18,5,97,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22,2002,0.1,5,10,50.0,133,42,3,4,0,2,2,4,0,0.0,0.0,0.0,0,1,0,0,1,Matches
27,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,19,2005,0.3,21,26,80.8,282,71,14,16,7,10,0,0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
28,Saïd Bakari,km COM,DF,Sparta R'dam,29,1994,23.8,951,1129,84.2,17279,4919,390,444,456,504,94,142,0,0.6,1.0,-0.6,12,89,17,8,106,Matches
29,Johan Bakayoko,be BEL,FW,PSV Eindhoven,21,2003,17.5,687,867,79.2,9956,1845,410,452,221,283,32,62,1,4.1,4.8,-3.1,36,24,51,15,63,Matches
30,Nordin Bakker,nl NED,GK,Almere City,26,1997,33.9,640,1251,51.2,23628,19514,67,68,234,240,337,940,0,0.0,0.3,0.0,0,64,5,0,1,Matches
31,Max Balard,au AUS,MF,NAC Breda,23,2000,32.6,992,1174,84.5,17676,4946,383,437,474,519,102,149,1,1.2,1.1,-0.2,11,101,11,0,130,Matches
32,Alex Balboa,gq EQG,MF,Almere City,23,2001,4.5,87,124,70.2,1482,437,35,42,39,56,8,17,0,0.1,0.4,-0.1,2,13,2,0,16,Matches
33,Théo Barbet,fr FRA,DF,Almere City,23,2001,9.6,262,324,80.9,5204,2291,83,95,153,171,24,54,0,0.0,0.0,0.0,0,19,0,0,24,Matches
34,Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31.0,793,1080,73.4,22485,15738,119,120,416,421,258,534,0,0.0,0.1,0.0,0,18,0,0,2,Matches
35,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,27,1996,14.4,305,379,80.5,5258,1426,138,163,127,144,31,51,2,2.4,1.5,-0.4,21,35,8,0,51,Matches
36,Riechedly Bazoer,cw CUW,MF,AZ Alkmaar,27,1996,0.0,1,2,50.0,10,6,1,1,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
37,Guus Beaumont,nl NED,MF,Almere City,22,2002,0.1,5,11,45.5,88,19,2,2,3,5,0,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
38,Thomas Beelen,nl NED,DF,Feyenoord,23,2001,18.9,1394,1534,90.9,27195,8235,402,436,876,920,110,154,1,0.2,0.9,+0.8,5,128,5,0,131,Matches
39,Raffael Behounek,at AUT,DF,Willem II,27,1997,30.9,1528,1801,84.8,29904,12756,546,579,793,842,175,333,1,0.5,1.6,+0.5,4,156,8,0,125,Matches
40,Kristijan Belic,rs SRB,MF,AZ Alkmaar,23,2001,6.5,336,392,85.7,5966,1524,156,174,131,147,40,46,0,0.9,1.0,-0.9,8,52,6,0,46,Matches
41,Mimeirhel Benita,nl NED,DF,Heracles Almelo,20,2003,22.6,604,853,70.8,11728,4517,250,297,253,333,88,175,1,1.0,1.3,0.0,13,62,16,6,71,Matches
42,Walter Benítez,ar ARG,GK,PSV Eindhoven,31,1993,33.5,1123,1298,86.5,27371,18720,263,266,585,589,266,434,0,0.0,0.2,0.0,0,20,4,0,2,Matches
43,Mitchell van Bergen,nl NED,FW,Sparta R'dam,24,1999,12.5,194,295,65.8,3330,850,99,117,74,113,20,48,2,1.9,2.9,+0.1,22,9,26,20,16,Matches
44,Mitchell van Bergen,nl NED,FW,Twente,24,1999,8.9,163,252,64.7,2553,567,90,112,56,88,11,30,0,0.9,1.6,-0.9,10,5,16,11,18,Matches
45,Thom van Bergen,nl NED,FW,Groningen,20,2004,27.4,441,610,72.3,5859,906,266,333,132,167,14,22,1,2.5,1.9,-1.5,28,29,11,1,37,Matches
46,Steven Berghuis,nl NED,"FW,MF",Ajax,32,1991,15.9,623,851,73.2,11005,3708,298,347,219,283,82,166,5,5.6,7.0,-0.6,36,68,44,10,97,Matches
47,Steven Bergwijn,nl NED,FW,Ajax,26,1997,0.2,13,16,81.3,233,78,5,6,8,10,0,0,0,0.0,0.1,0.0,1,0,1,0,2,Matches
48,Gijs Besselink,nl NED,MF,Twente,20,2004,3.6,100,126,79.4,1648,524,55,61,32,47,10,14,0,0.1,0.1,-0.1,1,15,3,0,12,Matches
49,Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32.0,873,1137,76.8,25104,17327,113,114,461,471,299,552,0,0.0,0.0,0.0,0,11,0,0,1,Matches
50,Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4.0,199,226,88.1,4428,2589,37,37,135,139,27,50,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Adrian Blake,eng ENG,"FW,MF",Utrecht,19,2005,5.2,115,159,72.3,1888,628,59,73,43,58,10,17,2,2.0,1.7,0.0,12,7,11,2,17,Matches
52,Thijmen Blokzijl,nl NED,DF,Groningen,19,2005,24.7,1181,1313,89.9,21973,7305,405,449,678,727,87,113,0,0.0,0.3,0.0,1,57,1,0,78,Matches
53,Ofosu Boakye,,FW,Go Ahead Eag,,,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Paweł Bochniewicz,pl POL,DF,Heerenveen,28,1996,12.3,834,961,86.8,14421,5938,358,390,394,433,59,99,0,0.2,0.5,-0.2,5,67,4,0,62,Matches
55,Jeremy Bokila,cd COD,FW,Willem II,35,1988,15.3,153,272,56.3,2286,663,80,133,61,92,3,9,1,0.7,0.9,+0.3,8,20,5,2,26,Matches
