rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Hiroyuki Abe,jp JPN,"MF,FW",Grampus,30,1989,19.4,,9,,,,,,,,,,8,,,,Matches
2,Shuto Abe,jp JPN,MF,FC Tokyo,22,1997,23.7,,33,,,,,,,,,,23,,,,Matches
3,Yuki Abe,jp JPN,MF,Urawa Reds,38,1981,1.2,,1,,,,,,,,,,1,,,,Matches
4,Adaílton,br BRA,FW,FC Tokyo,29,1990,16.2,,11,,,,,,,,,,6,,,,Matches
5,Ademilson,br BRA,FW,Gamba Osaka,26,1994,11.6,,3,,,,,,,,,,1,,,,Matches
6,Shuhei Akasaki,jp JPN,FW,Vegalta Sendai,28,1991,4.7,,0,,,,,,,,,,0,,,,Matches
7,Yosuke Akiyama,jp JPN,DF,Grampus,24,1995,0.7,,1,,,,,,,,,,1,,,,Matches
8,Juan Alano,br BRA,"MF,FW",Kashima Antlers,23,1996,22.2,,19,,,,,,,,,,16,,,,Matches
9,Tiago Alves,br BRA,"FW,MF",Sagan Tosu,27,1993,6.9,,1,,,,,,,,,,7,,,,Matches
10,Jun Amano,jp JPN,MF,Marinos,28,1991,12.7,,6,,,,,,,,,,6,,,,Matches
11,Maurício Antônio,br BRA,DF,Urawa Reds,27,1992,2.0,,3,,,,,,,,,,6,,,,Matches
12,Ryota Aoki,jp JPN,MF,Grampus,23,1996,0.2,,0,,,,,,,,,,0,,,,Matches
13,Takuya Aoki,jp JPN,MF,Urawa Reds,30,1989,12.5,,11,,,,,,,,,,18,,,,Matches
14,Toshihiro Aoyama,jp JPN,MF,Sanfrecce,33,1986,24.6,,27,,,,,,,,,,57,,,,Matches
15,Hayato Araki,jp JPN,DF,Sanfrecce,23,1996,33.0,,42,,,,,,,,,,80,,,,Matches
16,Ryotaro Araki,jp JPN,MF,Kashima Antlers,18,2002,10.1,,5,,,,,,,,,,8,,,,Matches
17,Takuma Arano,jp JPN,"MF,FW",Consa Sapporo,26,1993,23.2,,19,,,,,,,,,,30,,,,Matches
18,Arthur,br BRA,MF,FC Tokyo,24,1995,19.8,,35,,,,,,,,,,17,,,,Matches
19,Yuya Asano,jp JPN,"MF,FW",Sanfrecce,22,1997,18.6,,18,,,,,,,,,,8,,,,Matches
20,Kashif Bangunagande,jp JPN,DF,FC Tokyo,18,2001,1.9,,1,,,,,,,,,,9,,,,Matches
21,Akimi Barada,jp JPN,MF,Shonan Bellmare,28,1991,15.8,,22,,,,,,,,,,26,,,,Matches
22,Jay Bothroyd,eng ENG,FW,Consa Sapporo,37,1982,14.9,,9,,,,,,,,,,2,,,,Matches
23,Theerathon Bunmathan,th THA,"DF,MF",Marinos,29,1990,22.0,,31,,,,,,,,,,28,,,,Matches
24,Carlinhos,br BRA,"FW,MF",S-Pulse,25,1994,25.8,,20,,,,,,,,,,8,,,,Matches
25,Yusuke Chajima,jp JPN,MF,Sanfrecce,28,1991,19.3,,10,,,,,,,,,,21,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Kei Chinen,jp JPN,FW,Oita Trinita,24,1995,17.2,,15,,,,,,,,,,9,,,,Matches
27,Isaac Cuenca,es ESP,"MF,FW",Vegalta Sendai,28,1991,8.6,,7,,,,,,,,,,12,,,,Matches
28,Leandro Damião,br BRA,FW,Kawa Frontale,30,1989,19.8,,14,,,,,,,,,,10,,,,Matches
29,Teerasil Dangda,th THA,FW,S-Pulse,31,1988,7.9,,3,,,,,,,,,,4,,,,Matches
30,Dankler,br BRA,DF,Vissel Kobe,28,1992,20.0,,29,,,,,,,,,,46,,,,Matches
31,Riku Danzaki,jp JPN,MF,Consa Sapporo,19,2000,0.1,,0,,,,,,,,,,0,,,,Matches
32,Thomas Deng,au AUS,DF,Urawa Reds,22,1997,18.7,,6,,,,,,,,,,30,,,,Matches
33,Leandro Desábato,ar ARG,MF,Cerezo Osaka,29,1990,23.0,,32,,,,,,,,,,52,,,,Matches
34,Kodai Dohi,jp JPN,MF,Sanfrecce,18,2001,4.8,,10,,,,,,,,,,2,,,,Matches
35,Shoma Doi,jp JPN,"MF,FW",Kashima Antlers,27,1992,23.3,,12,,,,,,,,,,14,,,,Matches
36,Leandro Domingues,br BRA,"MF,FW",Yokohama FC,36,1983,2.9,,1,,,,,,,,,,0,,,,Matches
37,Cho Dong-geon,kr KOR,FW,Sagan Tosu,33,1986,9.1,,9,,,,,,,,,,2,,,,Matches
38,Douglas,br BRA,FW,Vissel Kobe,32,1987,19.0,,11,,,,,,,,,,5,,,,Matches
39,Douglas,br BRA,"FW,MF",Consa Sapporo,25,1995,10.4,,5,,,,,,,,,,6,,,,Matches
40,Dudu,br BRA,DF,Sagan Tosu,26,1993,20.9,,29,,,,,,,,,,45,,,,Matches
41,Junior Dutra,br BRA,"FW,MF",S-Pulse,31,1988,12.3,,7,,,,,,,,,,5,,,,Matches
42,Elsinho,br BRA,"DF,MF",S-Pulse,30,1989,16.6,,16,,,,,,,,,,38,,,,Matches
43,Tarik Elyounoussi,no NOR,FW,Shonan Bellmare,31,1988,11.9,,8,,,,,,,,,,5,,,,Matches
44,Keita Endo,jp JPN,MF,Marinos,22,1997,4.0,,2,,,,,,,,,,4,,,,Matches
45,Yasuhito Endō,jp JPN,MF,Gamba Osaka,40,1980,4.1,,5,,,,,,,,,,5,,,,Matches
46,Yasushi Endo,jp JPN,"FW,MF",Kashima Antlers,31,1988,9.6,,10,,,,,,,,,,7,,,,Matches
47,Ataru Esaka,jp JPN,MF,Kashiwa Reysol,27,1992,29.8,,18,,,,,,,,,,18,,,,Matches
48,Ewerton,br BRA,MF,Urawa Reds,27,1992,19.7,,29,,,,,,,,,,29,,,,Matches
49,Ezequiel,br BRA,"MF,FW",Sanfrecce,21,1998,5.7,,5,,,,,,,,,,5,,,,Matches
50,Lucas Fernandes,br BRA,MF,Consa Sapporo,25,1994,25.5,,37,,,,,,,,,,34,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Hiroki Fujiharu,jp JPN,"DF,MF",Gamba Osaka,31,1988,21.8,,10,,,,,,,,,,17,,,,Matches
52,Haruya Fujii,jp JPN,DF,Grampus,19,2000,0.0,,0,,,,,,,,,,0,,,,Matches
53,Tomoya Fujii,jp JPN,MF,Sanfrecce,21,1998,4.3,,6,,,,,,,,,,2,,,,Matches
54,Kazuki Fujimoto,jp JPN,MF,Oita Trinita,21,1998,1.2,,2,,,,,,,,,,0,,,,Matches
55,Noriaki Fujimoto,jp JPN,FW,Vissel Kobe,30,1989,14.0,,3,,,,,,,,,,7,,,,Matches
